.VERSION 1.0
.INCLUDE ibm/ibm0.doc
.INCLUDE ibm/data/ibm0/r0204.dat
.SEGMENT CHARACTER 344 ? "7"
.SEGMENT CHARACTER 347-348 ? "0"
.SEGMENT CHARACTER 349-350 ? "0"
.SEGMENT CHARACTER 351-352 ? "1"
.SEGMENT CHARACTER 353-354 ? "0"
.SEGMENT CHARACTER 356 ? "7"
.SEGMENT CHARACTER 366 ? "8"
.SEGMENT CHARACTER 367-368 ? "4"
.SEGMENT CHARACTER 378 ? "2"
.SEGMENT CHARACTER 379 ? "0"
.SEGMENT CHARACTER 383 ? "3"
.SEGMENT CHARACTER 384-385 ? "1"
.SEGMENT CHARACTER 398 ? "5"
.SEGMENT CHARACTER 399-400 ? "1"
.SEGMENT CHARACTER 419 ? "6"
.SEGMENT CHARACTER 427-428 ? "4"
.SEGMENT CHARACTER 429-430 ? "4"
.SEGMENT CHARACTER 431 ? "9"
.SEGMENT CHARACTER 433 ? "7"
.SEGMENT CHARACTER 434 ? "6"
.SEGMENT CHARACTER 435 ? "7"
.SEGMENT CHARACTER 653 ? "8"
.SEGMENT CHARACTER 657 ? "7"
.SEGMENT CHARACTER 658 ? "2"
.SEGMENT CHARACTER 663-664 ? "4"
.SEGMENT CHARACTER 666 ? "6"
.SEGMENT CHARACTER 669-670 ? "4"
.SEGMENT CHARACTER 677 ? "5"
.SEGMENT CHARACTER 687 ? "7"
.SEGMENT CHARACTER 696 ? "5"
.SEGMENT CHARACTER 703 ? "3"
.SEGMENT CHARACTER 936-937 ? "1"
.SEGMENT CHARACTER 939 ? "7"
.SEGMENT CHARACTER 941 ? "2"
.SEGMENT CHARACTER 946 ? "9"
.SEGMENT CHARACTER 954-955 ? "0"
.SEGMENT CHARACTER 957 ? "6"
.SEGMENT CHARACTER 960 ? "9"
.SEGMENT CHARACTER 968 ? "3"
.SEGMENT CHARACTER 974 ? "8"
.SEGMENT CHARACTER 975-976 ? "1"
.SEGMENT CHARACTER 981-982 ? "0"
.SEGMENT CHARACTER 988-989 ? "4"
.SEGMENT CHARACTER 992 ? "2"
.SEGMENT CHARACTER 994 ? "8"
.SEGMENT CHARACTER 996 ? "6"
.SEGMENT CHARACTER 1134-1135 ? "1"
.SEGMENT CHARACTER 1148 ? "8"
.SEGMENT CHARACTER 1154 ? "5"
.SEGMENT CHARACTER 1155 ? "2"
.SEGMENT CHARACTER 1156 ? "0"
.SEGMENT CHARACTER 1192 ? "0"
.SEGMENT CHARACTER 1243 ? "0"
.SEGMENT CHARACTER 1313 ? "3"
.SEGMENT CHARACTER 1317 ? "0"
.SEGMENT CHARACTER 1326 ? "3"
.SEGMENT CHARACTER 1330 ? "1"
.SEGMENT CHARACTER 1342 ? "4"
.SEGMENT CHARACTER 1348 ? "5"
