


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	jhkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Jeong-hyun
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
	24 0
	25 3
	25 8
	27 12
	28 18
	30 24
	32 28
	34 31
	36 35
	39 39
	40 42
	43 47
	47 50
	49 54
	50 57
	51 54
	51 48
	52 44
	53 40
	53 35
	55 32
	55 29
	56 25
	57 20
	57 17
	58 14
	59 11
	60 9
.PEN_UP
.PEN_DOWN
	32 28
	36 28
	39 28
	43 28
	47 28
	50 29
	55 29
.PEN_UP
.PEN_DOWN
	24 38
	25 33
	25 29
	27 24
	28 21
	28 15
	28 11
	30 7
	30 4
	30 1
	26 0
	23 2
	23 6
	23 10
	23 13
	23 16
	23 19
	23 22
	25 25
	25 28
	27 31
	31 34
	34 37
	37 39
	40 39
	43 40
	46 40
	50 40
	51 37
	51 34
	50 31
	47 29
	43 27
	40 25
	37 24
	40 25
	44 25
	47 24
	51 22
	55 21
	56 18
	57 15
	57 12
	54 9
	51 7
	46 5
	43 4
	40 4
	37 4
	34 4
	34 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 46
	31 48
	34 48
	37 48
	40 49
	44 49
	47 50
	50 50
	53 51
	57 49
.PEN_UP
.PEN_DOWN
	29 26
	32 26
	35 26
	38 25
	41 25
	45 25
	49 26
	53 26
	55 26
.PEN_UP
.PEN_DOWN
	35 40
	33 36
	30 29
	29 26
	29 23
	29 18
	29 14
	29 10
	30 7
	33 4
	36 3
	39 2
	44 1
	47 1
	52 1
	58 0
	62 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 50
	39 50
	42 50
	45 50
	50 50
	55 50
	58 50
	62 50
	65 50
	66 48
.PEN_UP
.PEN_DOWN
	48 45
	48 42
	48 38
	48 33
	48 30
	48 27
	48 24
	48 20
	48 14
	49 11
	50 7
	50 5
.PEN_UP
.PEN_DOWN
	37 1
	41 0
	45 0
	48 0
	54 1
	58 2
	64 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 45
	49 41
	49 38
	48 29
	48 26
	48 23
	48 19
	48 16
	48 13
	49 9
	50 5
	50 2
	52 0
.PEN_UP
.PEN_DOWN
	76 38
	73 37
	68 36
	64 34
	61 32
	58 31
	54 28
	50 24
	50 21
	52 18
	57 15
	63 13
	66 13
	71 11
	74 8
	76 4
	77 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 64
	27 59
	27 56
	27 52
	26 49
	26 44
	25 40
	24 35
	24 31
	22 27
	22 23
	21 18
	20 15
	20 12
	23 10
.PEN_UP
.PEN_DOWN
	31 55
	33 52
	34 47
	36 44
	36 40
	39 37
	43 35
	46 34
	49 34
	54 38
	57 41
	58 45
	59 48
	60 52
	62 56
	64 59
	67 61
	67 57
	67 54
	66 50
	66 47
	66 42
	65 36
	65 32
	64 24
	64 20
	64 16
	64 13
	64 9
	64 6
	66 2
	69 0
.PEN_UP
.PEN_DOWN
	27 44
	27 39
	26 34
	25 28
	25 25
	25 20
	24 15
	24 12
	23 8
	23 5
	22 2
	22 0
.PEN_UP
.PEN_DOWN
	30 39
	34 40
	37 39
	39 36
	40 31
	42 28
	43 25
	44 22
	46 18
	49 13
	51 10
	54 6
	57 4
	60 3
	63 4
	63 7
	62 11
	62 14
	60 18
	60 21
	59 25
	58 28
	58 31
	58 34
	58 37
	58 41
	58 44
	61 42
	65 40
	67 40
.PEN_UP
.PEN_DOWN
	53 38
	50 40
	45 37
	44 33
	42 30
	41 27
	39 22
	39 18
	38 14
	38 11
	38 8
	40 3
	42 0
	48 0
	51 0
	55 1
	59 3
	63 6
	66 10
	66 16
	63 19
	61 23
	58 26
	54 28
	52 31
	54 31
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 55
	27 52
	26 48
	25 44
	25 41
	24 36
	24 32
	24 28
	24 20
	24 17
	24 13
	24 9
	24 6
	27 4
	29 0
	33 0
	37 0
	41 2
	45 6
	49 9
	51 12
	53 15
	55 19
	57 23
	59 27
	60 31
	61 39
	63 42
	63 45
	63 48
	63 53
	63 56
	60 58
	56 60
	49 58
	45 55
	41 52
	41 49
.PEN_UP
.PEN_DOWN
	36 24
	38 21
	39 18
	42 14
	44 11
	47 7
	51 7
	55 4
	59 4
	62 3
	65 2
.PEN_UP
.PEN_DOWN
	38 50
	37 45
	37 42
	37 35
	37 31
	37 28
	37 23
	37 19
	37 16
	38 13
	39 10
	40 7
	40 3
	41 0
	43 0
.PEN_UP
.PEN_DOWN
	45 47
	47 50
	50 50
	54 50
	57 48
	61 45
	62 42
	64 39
	64 36
	65 32
	62 29
	59 25
	55 23
	50 22
	47 22
	52 19
	55 16
	58 13
	61 11
	66 9
	70 7
	73 5
	74 2
	74 1
.PEN_UP
.PEN_DOWN
	47 47
	42 47
	39 46
	36 46
	33 46
	30 46
	27 45
	26 42
	27 39
	29 35
	32 32
	36 29
	40 27
	43 24
	46 21
	49 19
	52 16
	53 13
	53 10
	53 7
	51 3
	48 2
	45 0
	40 0
	37 0
	32 1
	29 3
	25 6
	24 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	30 51
	30 48
	30 43
	30 40
	30 36
	30 32
	29 29
	29 21
	29 17
	29 14
	29 11
	31 7
	33 4
	36 4
	41 5
	44 6
	47 7
	49 10
	52 13
	56 17
	59 22
	62 26
	63 29
	63 32
.PEN_UP
.PEN_DOWN
	67 47
	66 44
	66 41
	66 36
	66 32
	66 29
	66 21
	66 17
	65 11
	65 8
	65 4
	65 0
	67 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 58
	25 55
	25 51
	25 47
	25 44
	25 39
	26 36
	26 32
	27 24
	27 20
	29 16
	30 13
	30 10
	33 13
	34 17
	35 20
	36 24
	37 29
	39 32
	40 35
	42 40
	44 37
	44 33
	44 30
	44 27
	45 23
	45 19
	45 16
	46 13
	47 8
	48 3
	51 0
	54 0
	56 4
	58 7
	59 11
	60 16
	61 21
	61 24
	62 27
	62 30
	64 36
	65 42
	66 45
	69 47
	71 47
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 58
	42 58
	46 58
	49 58
	52 58
	55 56
	58 52
	57 48
	54 44
	51 41
	49 38
	44 34
	40 27
	37 23
	35 19
	34 16
	34 13
	36 10
	41 7
	44 5
	47 5
	52 3
	56 2
	59 2
	64 1
	66 0
.PEN_UP
.PEN_DOWN
	29 32
	33 31
	39 31
	42 31
	47 31
	51 31
	54 31
	61 31
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 54
	33 50
	33 46
	33 41
	33 36
	33 29
	33 25
	34 22
	34 18
	34 13
	36 10
	37 6
	37 3
	37 0
.PEN_UP
.PEN_DOWN
	34 46
	37 49
	40 50
	44 50
	50 50
	53 50
	56 50
	60 48
	61 45
	57 42
	54 40
	51 39
	48 38
	44 37
	41 36
	44 32
	48 31
	50 28
	53 26
	56 22
	57 19
	59 15
	59 12
	57 9
	53 8
	50 6
	47 6
	43 5
	40 5
	36 5
	33 7
.PEN_UP
.PEN_DOWN
	61 35
	58 37
	55 37
	52 38
	48 40
	44 40
	39 40
	36 38
	32 35
	32 32
	30 28
	30 25
	30 22
	31 17
	33 12
	36 8
	39 7
	44 4
	48 3
	51 2
	57 1
	62 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 61
	32 61
	36 61
	40 62
	45 62
	48 62
	51 62
	54 63
	58 63
	62 63
	63 63
.PEN_UP
.PEN_DOWN
	34 56
	34 52
	34 49
	34 46
	34 43
	34 40
	34 37
	34 33
	34 30
	34 27
	34 24
	34 18
	35 13
	36 9
	36 6
	37 2
	39 0
.PEN_UP
.PEN_DOWN
	38 27
	42 29
	45 29
	49 30
	53 31
	57 31
	63 31
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 53
	28 52
	31 52
	34 51
	37 50
	43 50
	48 50
	52 50
	55 51
	59 51
	59 49
.PEN_UP
.PEN_DOWN
	41 45
	42 42
	43 35
	43 32
	43 28
	43 23
	44 20
	44 17
	44 13
	43 9
	42 6
	40 3
	36 1
	33 0
	30 0
	26 1
	25 4
	24 6
.PEN_UP
.PEN_DOWN
	31 44
	31 41
	31 37
	32 33
	33 30
	33 26
	33 21
	33 14
