


.DATE		08 ? 92
.STYLE		CURSIVE
.WRITER_ID	hykim
.COUNTRY	Korea
.HAND		R
.AGE		23
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				HoYon
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 16
	22 17
	25 18
	28 20
	32 22
	36 23
	39 25
	42 26
	44 29
	48 33
	49 37
	53 39
	54 42
	54 45
	55 49
	55 52
	54 55
	52 58
	51 61
	48 62
	45 61
	44 57
	42 54
	40 51
	38 48
	36 45
	35 41
	33 37
	31 30
	30 26
	29 21
	28 17
	28 13
	28 10
	29 6
	30 3
	31 0
	35 0
	39 2
	40 5
	42 8
	43 11
	45 14
	45 17
	44 20
	41 22
	38 23
	35 23
	31 22
	30 19
	34 19
	37 19
	42 19
	46 20
	51 20
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 16
	46 19
	43 20
	40 21
	37 21
	34 21
	30 20
	27 18
	24 16
	21 13
	20 10
	20 7
	20 3
	23 0
	26 0
	29 0
	32 0
	37 0
	39 3
	43 6
	45 10
	46 14
	47 17
	47 22
	48 25
	48 30
	49 34
	49 37
	49 40
	50 43
	50 46
	50 50
	50 54
	47 53
	47 50
	45 46
	44 42
	44 36
	42 33
	41 30
	41 26
	40 23
	40 20
	40 16
	40 11
	40 8
	45 3
	49 1
.PEN_UP
.PEN_DOWN
	31 10
	36 10
	39 12
	42 13
	45 16
	48 18
	48 21
	46 24
	44 27
	41 28
	37 28
	34 27
	31 25
	28 22
	27 19
	26 15
	26 11
	27 8
	30 6
	33 4
	37 2
	40 1
	43 1
	46 1
	50 0
	51 0
.PEN_UP
.PEN_DOWN
	28 39
	31 41
	36 43
	39 46
	43 49
	46 53
	48 56
	49 60
	51 63
	52 66
	53 69
	54 73
	54 76
	54 79
	54 82
	54 85
	54 88
	54 91
	51 90
	48 87
	44 81
	40 78
	40 75
	38 71
	36 66
	34 61
	32 56
	30 53
	30 49
	28 46
	26 41
	26 37
	24 33
	22 28
	21 25
	21 21
	20 16
	20 13
	19 10
	19 7
	19 3
	20 0
	24 0
	27 2
	29 5
	30 8
	33 10
	34 13
	35 17
	35 20
	34 23
	32 26
	31 29
	27 31
	24 33
	29 33
	33 33
	36 33
	41 33
	45 33
	48 33
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 39
	32 42
	36 44
	38 47
	41 49
	42 52
	43 56
	45 59
	45 62
	46 65
	44 62
	44 57
	44 53
	44 50
	45 47
	45 42
	45 38
	46 33
	47 29
	47 26
	48 23
	49 19
	49 15
	49 12
	49 8
	47 5
	45 2
	42 0
	38 0
	35 1
	32 3
	29 9
	28 14
.PEN_UP
.PEN_DOWN
	43 90
	47 90
	50 90
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 28
	37 24
	37 20
	36 16
	34 12
	32 7
	30 3
	29 0
	29 3
	30 7
	31 11
	32 14
	36 18
	38 21
	40 24
	43 24
	45 21
	45 18
	45 12
	43 9
	41 6
	43 9
	46 12
	49 16
	51 20
	54 21
	56 25
	59 26
	62 25
	63 22
	63 19
	62 16
	61 12
	60 8
	57 5
	56 2
	57 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 19
	37 22
	37 25
	34 27
	31 27
	27 24
	23 21
	21 18
	21 14
	18 13
	18 10
	18 6
	19 2
	23 0
	27 0
	31 1
	35 1
	38 4
	41 5
	42 8
	45 11
	46 15
	46 18
	46 21
	45 24
	42 27
	39 29
	36 29
	33 29
	30 27
	29 24
	29 20
	32 16
	35 15
	38 15
	43 15
	48 15
	51 15
	57 17
	61 18
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	63 48
	64 51
	61 51
	58 52
	54 50
	51 47
	48 45
	46 42
	45 39
	47 35
	50 35
	53 35
	56 37
	59 37
	61 40
	61 43
	59 39
	58 36
	57 32
	56 29
	56 25
	56 21
	56 17
	55 14
	55 11
	56 8
	56 5
	59 2
	62 0
	66 0
	67 3
	69 6
	70 9
	70 12
	70 15
	69 20
	66 24
	64 27
	61 29
	58 31
	60 34
	63 36
	67 37
	70 40
	73 40
	76 40
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 0
	39 3
	43 6
	45 10
	47 14
	50 20
	52 24
	52 27
	54 32
	54 37
	55 41
	55 44
	55 47
	54 44
	54 41
	51 37
	51 34
	51 31
	50 25
	49 22
	49 19
	47 16
	47 11
	47 6
	49 3
	51 0
	54 0
	57 1
	60 3
	64 4
.PEN_UP
.PEN_DOWN
	33 22
	37 22
	41 22
	44 23
	49 24
	53 25
	56 26
	59 26
	64 28
	72 28
.PEN_UP
.PEN_DOWN
	25 22
	25 19
	23 15
	23 12
	22 9
	22 6
	22 3
	22 0
	25 0
	28 0
	32 2
	35 6
	39 8
	41 11
	43 14
	45 18
	46 21
	47 24
	47 27
	45 24
	44 19
	44 16
	45 12
	45 8
	46 5
	49 5
	54 5
	57 6
	58 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 18
	15 15
	18 17
	23 18
	27 20
	31 21
	34 22
	37 22
	35 19
	33 15
	30 12
	27 10
	24 7
	20 4
	16 2
	19 0
	23 1
	28 4
	33 4
	37 6
	40 6
	43 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 18
	34 21
	31 23
	28 23
	23 22
	20 20
	17 18
	14 12
	13 9
	13 6
	14 3
	16 0
	23 0
	28 0
	33 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 11
	37 15
	40 18
	41 22
	43 26
	45 30
	45 34
	45 37
	43 33
	41 25
	40 22
	40 19
	40 16
	41 12
	41 9
	41 6
	42 2
	45 0
	49 0
	52 1
	52 4
	55 7
.PEN_UP
.PEN_DOWN
	32 50
	35 50
	40 49
	43 49
	47 49
.PEN_UP
.PEN_DOWN
	39 29
	41 32
	43 35
	46 38
	47 42
	48 45
	48 48
	48 45
	48 41
	47 37
	47 32
	47 28
	47 25
	47 22
	47 19
	48 15
	48 12
	46 8
	46 5
	44 2
	40 0
	37 1
	34 3
	32 7
	31 8
.PEN_UP
.PEN_DOWN
	38 66
	41 65
	44 65
	49 63
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 8
	22 11
	25 14
	29 16
	32 22
	35 24
	38 29
	40 32
	41 36
	44 39
	44 42
	46 45
	46 49
	47 53
	47 59
	47 62
	47 65
	44 66
	40 66
	38 62
	36 59
	33 55
	31 51
	31 48
	28 45
	27 41
	26 38
	24 30
	23 26
	23 22
	23 19
	23 16
	25 13
	26 9
	29 7
	33 4
	41 2
	47 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 5
	25 8
	25 11
	25 14
	27 17
	30 21
	33 24
	36 25
	39 26
	42 22
	42 19
	41 16
	41 12
	40 9
	37 6
	39 9
	40 12
	41 16
	43 21
	46 24
	48 27
	51 30
	52 27
	53 23
	52 20
	52 17
	52 14
	52 11
	52 8
	52 5
	52 2
	55 0
	59 0
.PEN_UP
.PEN_DOWN
	45 31
	42 31
	39 31
	35 30
	33 27
	30 24
	30 21
	27 17
	26 13
	26 10
	26 6
	27 3
	30 0
	33 0
	36 2
	40 5
	43 8
	45 12
	46 16
	46 19
	46 22
	47 25
	46 29
	42 31
	39 31
	37 28
	37 23
	37 20
	40 18
	44 17
	47 17
	50 19
	54 19
.PEN_UP
.PEN_DOWN
	31 48
	34 52
	37 55
	39 58
	42 61
	45 64
	45 67
	43 63
	42 60
	41 57
	40 54
	39 50
	39 47
	38 42
	38 39
	37 36
	36 33
	36 30
	36 25
	36 22
	34 19
	34 14
	33 10
	33 7
	34 3
	34 0
	31 2
	31 5
	32 9
	33 12
	33 15
	34 19
	34 23
	35 29
	36 33
	38 38
	40 42
	44 45
	47 48
	49 51
	52 53
	55 55
	59 56
	62 56
	63 53
	62 50
	59 47
	56 45
	53 42
	50 41
	46 40
	43 38
	40 38
	37 38
	39 37
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	15 0
	18 3
	18 6
	20 9
	22 14
	24 18
	25 21
	26 24
	26 27
	26 30
	29 32
	33 31
	36 31
	39 31
	42 31
	45 31
	48 31
	45 29
	44 25
	42 22
	42 18
	42 14
	43 11
	44 8
	47 4
	50 2
	53 1
	58 1
	63 4
.PEN_UP
.PEN_DOWN
	19 2
	22 5
	26 9
	29 10
	33 14
	36 18
	38 21
	39 24
	39 27
	39 30
	39 33
	42 30
	44 27
	47 25
	48 22
	49 18
	50 15
	50 12
	50 9
	47 6
	44 4
	41 3
	38 4
	34 5
	30 6
	27 8
	24 10
	27 10
	30 7
	33 5
	36 4
	41 2
	46 0
	49 0
	52 0
.PEN_UP
.PEN_DOWN
	26 0
	28 3
	31 6
	34 9
	37 13
	38 17
	41 20
	41 25
	42 28
	44 33
	45 37
	46 41
	47 44
	47 41
	46 38
	46 35
	44 31
	44 25
	43 20
	42 17
	41 12
	41 8
	44 4
	47 1
	50 1
	53 1
	55 2
.PEN_UP
.PEN_DOWN
	28 22
	31 22
	34 23
	37 23
	40 24
	45 24
	49 26
