


.DATE		07 ? 93
.STYLE		PRINTED
.WRITER_ID	yklyu
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				YoungKwon
	Last name:				Lyu
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	58 40
	55 40
	52 42
	49 43
	46 43
	43 43
	40 43
	37 41
	34 39
	31 37
	30 34
	28 31
	27 28
	25 25
	25 21
	25 18
	25 15
	25 12
	26 9
	27 6
	29 3
	31 0
	34 0
	37 0
	41 1
	45 3
	47 6
	49 9
	51 12
	53 15
	54 18
	56 21
	56 24
	57 28
	57 31
	57 34
	57 37
	57 40
	58 43
	57 40
	57 37
	57 34
	57 31
	57 28
	58 25
	58 22
	58 19
	60 16
	61 13
	63 10
	64 7
	67 6
	70 5
	70 6
.PEN_UP
.PEN_DOWN
	19 35
	22 36
	25 38
	28 39
	31 42
	34 44
	37 45
	39 48
	42 52
	43 55
	44 58
	45 61
	45 64
	42 64
	40 61
	39 58
	39 55
	36 52
	36 49
	35 45
	33 42
	33 39
	32 35
	31 32
	29 28
	29 24
	28 21
	27 18
	27 15
	27 12
	27 8
	27 5
	28 2
	31 0
	35 0
	38 2
	40 5
	41 8
	43 11
	44 14
	46 17
	47 20
	47 23
	46 26
	45 29
	43 26
	44 23
	46 20
	50 19
	53 19
	56 20
	59 21
	62 21
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 25
	39 28
	37 31
	34 31
	31 31
	28 31
	25 28
	23 25
	20 21
	18 17
	16 14
	16 11
	16 8
	16 5
	18 2
	21 0
	24 0
	27 1
	30 2
	33 4
	36 7
	38 10
	39 13
	41 16
	43 19
	44 22
	45 25
	46 28
	47 31
	47 35
	49 38
	49 41
	51 44
	52 47
	52 50
	54 53
	51 54
	51 51
	50 47
	49 44
	47 41
	46 38
	46 35
	46 32
	44 29
	44 26
	44 23
	43 20
	43 17
	42 14
	42 11
	43 8
	43 5
	46 5
	49 5
	53 7
	55 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	44 55
	45 58
	42 60
	39 62
	36 62
	33 62
	30 60
	28 57
	27 54
	25 51
	24 48
	23 45
	22 42
	23 39
	25 36
	28 34
	32 34
	35 34
	38 37
	41 39
	44 42
	45 45
	47 48
	49 52
	49 55
	50 58
	48 54
	48 51
	47 48
	46 45
	45 42
	45 39
	44 36
	44 33
	44 30
	42 27
	42 24
	41 21
	40 18
	39 14
	37 11
	35 8
	33 5
	31 2
	28 1
	24 0
	21 0
	21 3
	21 6
	21 10
	22 13
	22 16
	24 19
	27 21
	30 22
	33 23
	36 22
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	42 55
	45 55
	46 54
.PEN_UP
.PEN_DOWN
	34 32
	37 33
	39 36
	40 39
	40 36
	39 33
	39 30
	39 27
	39 24
	39 21
	39 18
	39 15
	39 12
	39 9
	40 5
	41 2
	44 0
	47 1
	50 3
	52 6
	54 7
.PEN_UP
.PEN_DOWN
	47 79
	50 78
	51 77
.PEN_UP
.PEN_DOWN
	51 64
	51 61
	52 58
	52 55
	52 52
	52 48
	52 45
	52 42
	52 39
	53 36
	52 32
	52 29
	52 26
	51 23
	51 20
	51 17
	49 14
	49 11
	47 8
	46 5
	43 2
	40 0
	37 0
	34 1
	32 4
	30 7
	28 10
	28 13
	33 14
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 1
	29 3
	31 6
	33 9
	35 12
	36 15
	37 18
	39 21
	41 25
	41 28
	43 31
	44 34
	44 37
	46 40
	46 43
	46 46
	48 49
	48 52
	48 55
	48 58
	48 61
	48 64
	48 67
	48 70
	48 73
	45 75
	42 73
	40 70
	39 67
	38 64
	37 60
	37 57
	37 53
	37 48
	37 45
	37 42
	37 38
	37 35
	37 32
	37 28
	37 25
	37 22
	37 19
	37 16
	37 13
	38 10
	38 7
	39 4
	42 1
	45 0
	47 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	16 9
	19 11
	22 12
	25 14
	26 17
	28 20
	30 23
	32 26
	34 29
	35 32
	38 34
	40 37
	43 39
	46 39
	49 38
	52 38
	55 37
	58 35
	61 32
	62 29
	62 26
	62 23
	62 20
	61 17
	60 14
	59 11
	57 8
	56 5
	53 4
	50 3
	47 1
	44 0
	44 3
	43 7
	43 10
	44 13
	45 16
	48 16
	51 15
	53 12
	55 9
	57 6
	60 4
	63 2
	66 3
.PEN_UP
.PEN_DOWN
	30 0
	33 2
	36 4
	37 7
	39 10
	42 13
	44 17
	45 20
	47 23
	49 26
	49 29
	52 33
	54 36
	56 40
	57 43
	58 46
	59 49
	60 52
	61 55
	63 58
	64 61
	62 58
	60 55
	58 50
	56 46
	54 43
	54 40
	52 36
	51 33
	51 30
	50 27
	48 23
	48 19
	47 16
	46 13
	45 10
	46 7
	49 6
	52 6
	55 7
	58 8
	61 10
	62 12
.PEN_UP
.PEN_DOWN
	37 35
	40 35
	43 36
	46 37
	49 38
	52 38
	55 39
	58 38
	61 38
	64 37
	64 36
.PEN_UP
.PEN_DOWN
	25 27
	24 24
	24 21
	23 17
	22 13
	21 10
	21 7
	21 4
	22 1
	25 0
	28 1
	31 3
	34 3
	37 6
	40 9
	43 11
	44 14
	46 17
	48 20
	51 23
	52 26
	53 29
	52 26
	50 23
	50 20
	49 17
	49 14
	48 11
	48 8
	48 5
	47 2
	50 0
	53 0
	56 0
	59 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 37
	24 34
	24 31
	23 28
	23 24
	22 21
	22 18
	22 14
	21 10
	21 7
	21 4
	20 1
	23 0
	26 3
	28 6
	31 8
	33 11
	36 15
	38 18
	39 21
	41 24
	43 27
	43 30
	45 33
	46 30
	45 27
	45 24
	44 20
	44 17
	44 14
	43 11
	43 8
	43 5
	45 2
	48 1
	51 3
	54 6
	55 10
	58 13
	59 16
	61 20
	63 23
	63 26
	65 29
	67 32
	69 35
.PEN_UP
.PEN_DOWN
	17 32
	20 34
	23 35
	25 38
	28 39
	32 40
	35 40
	37 37
	37 34
	38 31
	38 28
	37 25
	36 22
	35 19
	34 16
	33 13
	31 10
	30 7
	29 4
	26 2
	23 0
	20 0
	17 0
	15 4
	14 7
	15 8
.PEN_UP
.PEN_DOWN
	59 37
	56 39
	53 39
	50 39
	47 38
	45 35
	42 33
	40 30
	39 27
	37 24
	35 21
	35 18
	34 15
	33 12
	33 9
	34 6
	35 3
	38 2
	41 1
	44 1
	47 2
	50 4
	53 5
	53 4
.PEN_UP
.PEN_DOWN
	29 67
	29 64
	29 61
	29 58
	29 55
	29 52
	29 49
	29 45
	29 42
	31 39
	34 37
	37 38
	40 39
	42 42
	43 45
	45 48
	47 51
	48 54
	49 58
	49 61
	49 64
	49 67
	49 70
	51 73
	49 70
	49 67
	49 64
	49 60
	48 57
	48 54
	48 51
	48 48
	47 45
	47 42
	47 39
	47 36
	47 33
	47 30
	46 27
	46 24
	46 21
	45 18
	45 15
	44 12
	44 9
	43 6
	42 3
	39 1
	36 0
	32 3
	29 5
	28 8
	26 11
	26 14
	26 17
	28 20
	30 23
	33 25
	34 23
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	41 30
	38 30
	34 29
	31 28
	28 25
	25 22
	24 19
	22 16
	21 13
	20 10
	20 7
	20 4
	23 2
	27 0
	30 0
	33 2
	36 4
	40 6
	42 9
	45 12
	45 15
	45 18
	46 21
	46 24
	46 27
	46 30
	46 33
	44 29
	44 26
	44 23
	44 20
	45 17
	45 14
	45 11
	46 8
	47 5
	51 3
	54 2
	57 2
	59 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 33
	50 35
	47 35
	44 35
	41 35
	38 35
	35 34
	32 33
	29 31
	26 29
	25 25
	23 22
	23 19
	23 16
	24 13
	24 10
	26 7
	28 4
	31 2
	34 0
	37 0
	40 0
	43 1
	46 3
	48 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 15
	30 15
	33 15
	36 16
	39 17
	43 17
	46 19
	49 22
	52 25
	53 28
	50 30
	47 30
	44 31
	41 30
	38 29
	35 27
	33 24
	32 21
	31 18
	30 15
	29 12
	29 9
	31 6
	33 3
	36 2
	39 2
	42 1
	45 1
	48 0
	50 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	44 56
	41 56
	38 56
	35 55
	33 52
	30 50
	29 47
	29 44
	29 41
	29 38
	30 35
	32 32
	35 31
	39 31
	42 34
	45 36
	47 39
	49 42
	50 45
	50 48
	50 51
	50 54
	47 52
	47 49
	47 46
	47 43
	47 40
	47 37
	47 33
	47 30
	47 27
	47 24
	47 20
	47 17
	47 14
	47 11
	46 8
	45 5
	44 2
	41 0
	38 0
	35 1
	32 2
	30 5
	29 8
	29 11
	29 14
	31 17
	34 20
	37 21
	41 21
	41 22
.PEN_UP
.PEN_DOWN
	14 23
	19 24
	23 25
	26 27
	29 29
	33 32
	36 35
	37 38
	39 41
	40 44
	43 46
	43 49
	44 52
	45 55
	45 59
	45 62
	42 64
	38 63
	36 60
	35 55
	34 51
	33 48
	33 45
	33 41
	33 38
	33 34
	33 31
	32 28
	31 25
	31 22
	30 19
	30 16
	29 13
	29 9
	28 6
	27 3
	26 0
	26 3
	27 6
	29 9
	31 12
	34 14
	36 17
	38 21
	40 24
	43 25
	45 22
	45 19
	45 16
	45 13
	45 10
