


.DATE		07 ? 93
.STYLE		PRINTED
.WRITER_ID	ykryu
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				YoungKwon
	Last name:				Ryu
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	46 28
	47 31
	47 34
	47 37
	45 40
	42 42
	39 43
	36 43
	33 40
	31 37
	28 34
	27 31
	27 28
	25 25
	25 21
	24 17
	24 14
	24 11
	24 8
	25 4
	25 1
	28 0
	31 0
	34 2
	38 5
	42 8
	45 11
	47 14
	49 17
	51 21
	52 25
	54 29
	54 33
	55 36
	56 39
	55 42
	55 39
	54 36
	54 33
	53 30
	53 27
	53 24
	53 20
	52 16
	52 12
	53 8
	56 6
	59 6
	62 6
	65 5
	68 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	50 70
	50 67
	52 64
	52 61
	52 56
	52 53
	53 50
	54 45
	54 42
	54 39
	55 35
	55 32
	54 29
	54 26
	54 23
	54 19
	53 15
	52 12
	52 9
	50 6
	49 3
	48 0
	45 0
	42 1
	39 2
	36 3
	34 6
	34 7
.PEN_UP
.PEN_DOWN
	50 90
	53 88
	53 85
	55 82
	57 79
	57 78
.PEN_UP
.PEN_DOWN
	17 5
	20 6
	23 7
	28 10
	31 13
	34 14
	37 17
	42 21
	44 24
	47 28
	49 31
	51 34
	54 37
	54 40
	56 43
	59 46
	60 49
	62 53
	63 56
	65 59
	65 62
	65 65
	65 68
	66 71
	66 74
	67 77
	68 80
	68 83
	66 86
	63 85
	62 82
	60 79
	60 76
	58 72
	57 69
	57 66
	56 62
	56 59
	54 56
	54 53
	52 50
	52 46
	51 43
	51 40
	51 37
	50 34
	50 31
	49 28
	49 25
	47 22
	47 19
	47 16
	45 13
	44 10
	43 7
	41 3
	41 0
	41 3
	42 6
	44 9
	45 12
	46 15
	47 18
	49 21
	51 24
	52 28
	56 30
	57 33
	60 36
	63 37
	66 39
	69 40
	72 39
	72 36
	69 33
	68 29
	65 29
	63 26
	60 26
	57 26
	54 26
	57 23
	60 20
	62 17
	64 14
	66 11
	66 8
	69 6
	72 4
	75 4
	76 7
	78 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
