


.DATE		Aug. 92
.STYLE		PRINTED
.WRITER_ID	jwkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				JinWoo
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
	54 69
	53 65
	51 56
	50 53
	49 48
	47 44
	46 40
	45 36
	43 32
	42 28
	41 25
	41 22
	40 19
	39 12
	39 9
	39 6
	39 3
	39 0
	37 4
.PEN_UP
.PEN_DOWN
	60 74
	61 70
	61 67
	61 64
	62 61
	63 58
	63 55
	64 50
	65 46
	65 42
	66 37
	67 33
	68 28
	70 19
	71 16
	72 13
	73 10
	74 7
	76 3
	77 0
	74 2
.PEN_UP
.PEN_DOWN
	50 33
	54 33
	58 33
	62 32
	65 32
	69 32
	68 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	63 48
	64 52
	64 55
	63 58
	62 61
	61 64
	58 67
	54 69
	51 69
	48 69
	43 67
	40 64
	37 60
	34 56
	32 51
	31 47
	29 44
	29 41
	28 34
	28 30
	28 27
	29 23
	30 20
	31 17
	33 14
	35 11
	39 7
	45 2
	49 0
	53 0
	57 0
	60 1
	63 2
	67 4
	70 6
	72 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 71
	29 71
	33 72
	36 72
	40 72
	43 73
	47 73
	51 74
	54 75
	58 76
	62 77
	65 78
	61 78
	58 78
	55 78
	51 78
.PEN_UP
.PEN_DOWN
	45 73
	47 68
	48 64
	50 59
	51 53
	52 47
	52 41
	52 35
	52 29
	52 24
	51 19
	50 10
	49 7
	48 4
	46 1
	43 0
	40 1
	35 4
	31 8
	28 13
	26 16
	26 19
	27 24
	29 26
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	46 61
	43 61
	40 58
	37 54
	34 49
	33 46
	29 38
	28 35
	27 31
	26 26
	25 23
	25 19
	25 15
	25 11
	26 8
	27 5
	29 2
	33 0
	36 0
	40 0
	43 0
	47 1
	50 3
	53 6
	57 11
	59 15
	59 20
	59 23
	59 26
	59 29
	59 32
	58 35
