


.DATE		Aug. 92
.STYLE		PRINTED
.WRITER_ID	jhkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Jeong-hyun
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	34 62
	34 59
	34 55
	35 48
	35 43
	35 38
	35 35
	35 30
	35 26
	35 22
	35 15
	35 11
	35 8
	35 5
	34 2
	35 5
	35 8
	36 11
	37 15
	37 19
	39 23
	41 26
	43 29
	45 32
	48 32
	52 34
	55 34
	58 35
	61 34
	64 34
	66 31
	67 26
	67 22
	67 19
	65 16
	63 13
	59 9
	55 7
	52 4
	48 2
	45 0
	41 1
	40 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 72
	47 69
	48 66
	48 61
	48 56
	49 53
	49 49
	49 44
	50 39
	50 34
	50 30
	50 26
	50 23
	50 20
	49 16
	49 12
	46 7
	46 3
	44 0
	41 0
	38 4
	36 8
	36 12
	35 16
	34 20
	34 23
	35 26
	38 27
	43 27
	46 28
	49 29
.PEN_UP
.PEN_DOWN
	43 89
	46 89
	52 88
.PEN_UP
.PEN_DOWN
	37 53
	38 50
	38 46
	38 43
	38 39
	38 36
	38 33
	38 30
	38 27
	37 24
	36 20
	36 17
	36 9
	36 6
	36 3
	38 2
.PEN_UP
.PEN_DOWN
	57 30
	54 28
	51 27
	48 23
	45 20
	43 16
	42 13
	45 10
	48 7
	51 6
	54 3
	57 2
	58 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 17
	19 20
	19 23
	20 26
	21 30
	24 33
	27 35
	30 36
	30 33
	32 29
	32 25
	32 21
	32 18
	32 15
	31 12
	29 9
	29 6
	27 3
	27 0
	27 3
	27 6
	28 9
	29 12
	31 17
	34 21
	37 25
	40 28
	44 31
	47 32
	50 32
	50 29
	49 25
	49 21
	48 18
	47 14
	46 11
	43 9
	46 10
	49 13
	52 16
	54 20
	56 23
	58 26
	61 28
	60 25
	58 20
	56 14
	56 10
	56 6
	57 3
	60 1
	63 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 33
	48 32
	46 29
	43 27
	40 23
	38 19
	36 16
	36 12
	36 8
	36 5
	38 2
	41 1
	45 0
	48 0
	52 0
	56 1
	59 2
	63 4
	67 8
	68 12
	69 16
	69 19
	68 22
	67 25
	65 28
