


.DATE		Aug. 92
.STYLE		CURSIVE
.WRITER_ID	jwkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				JinWoo
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 19
	20 18
	23 19
	26 20
	29 22
	32 25
	36 29
	40 33
	45 39
	46 43
	48 46
	49 50
	50 53
	52 57
	53 60
	53 63
	53 66
	53 69
	50 69
	48 66
	45 61
	43 56
	42 53
	41 50
	40 47
	38 43
	37 39
	36 36
	34 32
	33 29
	32 26
	30 19
	29 14
	29 12
	29 9
	29 5
	30 2
	33 0
	36 1
	39 4
	41 7
	42 10
	43 14
	44 16
	45 19
	47 23
	48 26
	49 29
	49 25
	51 21
	53 18
	57 18
	61 18
	65 19
	69 21
	69 22
	69 25
	67 28
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 3
	37 6
	39 10
	41 14
	42 17
	43 20
	44 23
	45 26
	47 30
	48 33
	47 30
	46 25
	44 22
	44 18
	42 13
	42 9
	42 6
	42 3
	44 0
	47 0
	51 1
	54 3
	58 7
	60 9
.PEN_UP
.PEN_DOWN
	50 45
	54 44
	58 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 32
	37 37
	41 41
	45 45
	48 49
	51 54
	53 59
	56 66
	57 69
	57 72
	54 74
	53 71
	52 68
	51 65
	51 61
	49 56
	48 51
	48 47
	47 44
	46 40
	45 36
	45 32
	43 25
	42 22
	42 19
	41 16
	40 13
	39 8
	38 4
	37 0
	37 3
	37 6
	38 13
	38 18
	38 21
	38 25
	38 28
	39 31
	41 34
	44 38
	47 41
	50 43
	53 44
	56 44
	59 39
	59 36
	59 33
	57 30
	56 26
	53 24
	48 21
	45 21
	48 20
	52 16
	56 11
	61 7
	66 4
	70 3
	72 6
	72 7
.PEN_UP
.PEN_DOWN
	38 0
	41 3
	42 7
	43 10
	45 15
	45 19
	46 23
	47 27
	48 32
	50 42
	51 48
	52 53
	54 56
	55 60
	56 65
	53 64
	50 59
	49 56
	47 53
	46 49
	45 45
	45 41
	45 37
	45 32
	45 28
	45 20
	46 16
	46 13
	48 9
	50 6
	53 6
	56 6
	59 8
	62 9
.PEN_UP
.PEN_DOWN
	20 17
	22 20
	23 23
	25 26
	27 29
	31 34
	33 37
	36 39
	37 36
	37 33
	37 29
	37 25
	35 20
	35 15
	34 10
	33 6
	32 3
	32 0
	32 3
	33 6
	35 11
	36 15
	37 19
	39 23
	40 27
	42 31
	43 34
	46 37
	49 39
	50 36
	50 33
	49 30
	49 26
	48 20
	47 17
	46 14
	46 11
	47 8
	48 11
	49 15
	49 18
	50 21
	51 25
	52 28
	53 31
	54 34
	56 38
	59 41
	62 42
	62 39
	62 36
	61 33
	60 29
	60 24
