


.DATE		08 ? 92
.STYLE		CURSIVE
.WRITER_ID	jwkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				JinWoo
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 45
	53 48
	51 51
	48 53
	45 53
	42 53
	39 51
	35 48
	31 45
	28 42
	27 39
	24 36
	22 32
	20 25
	19 22
	19 19
	19 16
	19 12
	19 8
	20 4
	24 1
	28 0
	31 0
	35 1
	39 2
	43 4
	45 7
	48 8
	50 11
	51 13
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	50 55
	47 56
	44 56
	41 55
	38 54
	35 50
	32 46
	30 42
	28 37
	27 33
	26 30
	25 26
	25 22
	26 19
	29 17
	32 16
	35 16
	39 16
	43 18
	46 20
	49 22
	52 25
	54 28
	55 31
	54 34
	51 34
	48 33
	45 30
	43 26
	41 23
	39 19
	38 15
	38 12
	38 8
	39 5
	42 2
	46 0
	49 0
	53 1
	56 2
	59 3
	62 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 81
	56 84
	53 86
	48 86
	45 86
	42 85
	39 83
	36 80
	32 76
	28 69
	26 66
	24 63
	23 59
	22 56
	22 51
	22 47
	25 45
	30 44
	33 44
	37 45
	41 47
	44 49
	47 51
	50 54
	52 58
	54 62
	56 66
	58 70
	59 73
	59 76
	56 78
	55 71
	54 65
	54 60
	53 56
	53 51
	52 46
	51 40
	50 34
	49 28
	48 22
	47 17
	45 9
	44 6
	43 3
	41 0
	38 0
	36 4
	34 8
	31 10
	28 12
	29 15
	34 18
	40 20
	43 21
	47 23
	51 24
	55 25
	58 25
	61 26
	65 26
	68 26
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	52 19
	49 20
	46 23
	44 26
	42 30
	41 33
	40 36
	39 39
	38 42
	38 45
	38 48
	38 52
	39 55
	40 58
	41 61
	42 64
	45 64
	48 61
	50 58
	51 55
	52 52
	53 48
	53 45
	54 42
	55 39
	55 36
	56 33
	56 30
	56 27
	56 24
	56 21
	56 18
	56 15
	55 12
	54 9
	53 6
	52 3
	49 1
	46 0
	43 1
	40 4
	38 7
	35 9
	33 13
	32 15
	31 19
	30 22
	30 25
	30 28
	30 31
	30 29
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	16 42
	18 45
	21 48
	24 52
	27 55
	30 56
	31 52
	31 48
	31 44
	31 40
	31 36
	31 33
	30 28
	30 24
	30 21
	29 17
	29 14
	28 11
	28 7
	27 4
	26 0
	26 4
	26 7
	26 11
	27 14
	28 18
	28 21
	29 22
	29 25
	30 29
	31 33
	33 36
	34 40
	36 43
	38 47
	40 50
	43 52
	46 54
	48 51
	48 48
	48 45
	48 42
	47 39
