


.DATE		07 ? 93
.STYLE		PRINTED
.WRITER_ID	ktum
.COUNTRY	Korea
.HAND		R
.AGE		19
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				KyungTae
	Last name:				Um
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	53 40
	50 41
	47 40
	44 40
	42 37
	39 35
	37 32
	36 29
	34 26
	34 23
	33 19
	33 15
	33 12
	34 9
	35 6
	36 3
	39 2
	42 2
	45 4
	48 7
	50 10
	51 13
	53 17
	54 20
	55 23
	55 26
	56 29
	57 32
	57 35
	57 38
	57 41
	57 38
	59 35
	59 32
	59 29
	60 26
	60 23
	60 20
	60 17
	60 14
	62 11
	62 8
	63 5
	65 2
	68 0
.PEN_UP
.PEN_DOWN
	29 66
	29 63
	30 59
	30 55
	30 51
	31 47
	31 44
	31 40
	31 36
	31 32
	31 29
	31 26
	31 23
	31 20
	31 17
	31 14
	31 11
	31 8
	31 5
	31 2
	32 5
	32 9
	32 12
	33 17
	34 20
	34 23
	35 26
	35 29
	37 32
	38 35
	39 38
	42 40
	45 40
	48 40
	51 39
	52 36
	55 34
	57 30
	57 27
	58 24
	58 21
	57 18
	56 15
	55 12
	52 9
	50 6
	47 5
	46 2
	43 1
	40 0
	37 0
	34 1
	34 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	56 69
	56 66
	56 62
	56 58
	57 54
	57 51
	57 47
	58 43
	59 40
	59 36
	59 31
	60 27
	60 24
	60 19
	61 15
	61 12
	61 8
	61 4
	62 0
	60 3
	60 6
	60 9
	59 12
	59 15
	59 18
	59 21
	58 24
	58 27
	59 30
	57 33
	54 34
	51 35
	48 36
	45 36
	43 33
	41 30
	39 27
	38 24
	37 21
	36 18
	35 15
	34 12
	33 9
	34 6
	37 4
	40 4
	43 4
	46 4
	50 4
	53 4
	56 4
	59 4
	62 5
.PEN_UP
.PEN_DOWN
	25 15
	28 14
	31 14
	34 14
	37 15
	41 16
	44 17
	47 18
	50 19
	52 22
	54 25
	56 28
	56 31
	56 34
	53 36
	49 39
	45 40
	42 40
	39 40
	35 39
	31 38
	30 35
	27 32
	25 29
	24 26
	23 22
	22 19
	22 16
	22 13
	22 10
	25 9
	27 6
	30 4
	32 1
	35 1
	39 1
	42 0
	45 0
	48 0
	51 0
	54 0
	57 1
	60 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 66
	44 68
	41 68
	38 67
	34 66
	31 63
	30 60
	29 57
	28 54
	27 50
	27 46
	28 43
	28 39
	29 36
	31 33
	34 32
	37 34
	40 37
	42 40
	44 43
	45 46
	46 50
	46 53
	46 56
	46 59
	46 62
	46 65
	46 68
	44 65
	43 61
	43 57
	43 53
	43 49
	43 46
	43 43
	43 40
	43 36
	42 32
	42 29
	41 26
	41 23
	40 20
	39 17
	38 14
	38 11
	37 8
	34 6
	31 3
	27 0
	24 0
	21 0
	19 3
	19 6
	20 9
	23 12
	24 15
	27 17
	29 20
	32 22
	35 23
	38 24
	42 25
	45 26
	48 26
	52 27
	56 28
	59 28
	62 28
	65 29
	68 29
	72 30
	75 31
	76 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	45 63
	45 60
.PEN_UP
.PEN_DOWN
	43 41
	43 37
	44 33
	44 30
	45 26
	46 22
	48 18
	49 15
	49 12
	50 9
	50 6
	51 3
	51 0
	52 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	38 64
	38 61
	38 58
	38 54
	38 50
	38 47
	38 42
	38 39
	38 36
	38 32
	38 28
	38 25
	39 22
	40 16
	40 12
	40 8
	42 5
	42 2
	45 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 37
	60 40
	57 41
	52 41
	48 41
	44 39
	42 36
	40 33
	39 30
	38 27
	37 24
	37 21
	35 18
	35 15
	35 12
	35 9
	36 5
	38 2
	42 1
	45 0
	49 0
	53 0
	56 0
	59 0
	62 1
	65 2
	68 4
	70 7
	73 10
	73 13
	74 16
	74 20
	72 25
	72 28
	71 31
	68 34
	66 38
	63 39
	60 40
	57 40
	54 40
	51 39
	48 39
.PEN_UP
.PEN_DOWN
	36 91
	36 88
	36 85
	35 82
	34 78
	33 74
	33 70
	32 65
	31 61
	30 55
	29 52
	28 49
	28 46
	28 42
	27 39
	27 36
	26 33
	25 27
	24 24
	24 21
	23 16
	22 13
	22 9
	20 3
	20 0
	21 3
	21 5
.PEN_UP
.PEN_DOWN
	41 92
	44 92
	48 91
	51 90
	54 89
	57 86
	59 83
	61 80
	61 77
	61 74
	61 71
	62 68
	62 65
	61 62
	58 60
	55 58
	52 56
	49 55
	46 53
	43 51
	40 51
	36 51
	33 51
	30 51
	26 51
	23 51
	25 52
.PEN_UP
.PEN_DOWN
	53 70
	50 72
	47 72
	44 72
	41 72
	38 71
	35 70
	32 67
	30 64
	30 61
	28 58
	28 55
	28 51
	28 48
	28 45
	29 42
	30 39
	32 36
	33 33
	34 30
	36 27
	39 26
	42 28
	45 30
	47 33
	48 36
	50 39
	50 42
	51 45
	51 48
	52 51
	52 54
	53 57
	53 60
	53 63
	53 66
	53 69
	53 72
	53 69
	53 66
	53 63
	53 60
	53 57
	53 54
	53 51
	54 48
	54 45
	54 42
	55 39
	55 36
	55 33
	56 30
	56 27
	56 24
	57 21
	58 18
	58 15
	59 12
	59 9
	61 6
	62 3
	63 0
	66 0
	69 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 40
	56 40
	53 39
	49 38
	46 37
	45 34
	45 31
	48 29
	51 28
	54 26
	57 24
	60 23
	63 22
	66 21
	68 18
	70 15
	71 12
	70 9
	67 6
	64 3
	61 1
	58 0
	55 1
	52 2
	49 4
	48 7
	50 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	18 26
	20 29
	22 32
	23 35
	26 37
	29 39
	32 40
	35 39
	35 35
	34 32
	34 29
	34 26
	32 23
	32 19
	32 15
	31 12
	31 9
	33 6
	33 3
	33 0
	36 2
	39 4
	40 7
	41 11
	43 14
	44 18
	46 23
	47 26
	49 29
	50 32
	51 35
	52 38
	52 41
	52 44
	52 41
	50 38
	50 35
	49 32
	49 29
	48 26
	48 23
	48 20
	48 17
	49 14
	49 11
	50 8
	52 4
	53 1
	55 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 43
	46 40
	43 38
	41 35
	38 32
	36 28
	33 24
	31 20
	28 16
	25 13
	22 11
	19 8
	17 5
	18 3
.PEN_UP
.PEN_DOWN
	19 43
	20 40
	21 37
	24 34
	26 31
	29 28
	31 24
	34 22
	37 19
	39 16
	42 15
	45 11
	49 9
	51 6
	54 4
	55 1
	59 0
.PEN_UP
.PEN_DOWN
	32 90
	32 87
	34 83
	35 80
	36 77
	37 74
	38 70
	41 65
	41 62
	43 59
	45 54
	46 51
	48 47
	49 44
	51 41
	53 38
	53 41
	53 43
.PEN_UP
.PEN_DOWN
	69 90
	69 87
	67 84
	66 80
	65 75
	64 72
	60 63
	59 60
	57 56
	57 53
	56 50
	54 46
	53 43
	53 40
	52 37
	51 33
	50 29
	48 26
	47 23
	45 20
	42 17
	41 14
	38 12
	38 9
	37 3
	36 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	60 31
	58 34
	55 36
	52 37
	49 37
	46 37
	42 34
	39 32
	36 29
	33 26
	32 23
	31 20
	30 17
	29 13
	29 10
	30 6
	31 3
	34 1
	37 0
	40 1
	43 3
	46 4
	48 7
	51 10
	53 14
	53 17
	56 20
	57 23
	59 26
	60 29
	61 32
	61 35
	59 32
	58 29
	58 26
	57 23
	57 19
	57 16
	57 12
	57 9
	58 6
	59 3
	61 0
	64 0
	65 4
	68 8
	72 12
	75 13
.PEN_UP
.PEN_DOWN
	29 62
	29 59
	29 56
	29 52
	29 48
	29 45
	29 42
	29 39
	29 34
	29 31
	29 28
	28 25
	28 22
	28 19
	28 16
	27 13
	26 10
	26 7
	26 4
	25 1
	25 4
	26 8
	27 12
	30 15
	31 18
	33 21
	36 23
	39 24
	42 24
	46 24
	50 23
	53 20
	53 17
	53 14
	54 11
	54 8
	53 4
	50 3
	47 1
	44 0
	41 0
	38 0
	35 0
	32 1
	29 2
	26 3
	23 5
	23 8
	27 8
.PEN_UP
.PEN_DOWN
	47 33
	44 35
	41 35
	37 36
	34 36
	30 35
	26 34
	23 32
	22 29
	20 26
	19 23
	18 20
	18 17
	18 14
	18 11
	20 8
	21 5
	24 3
	27 1
	30 1
	33 1
	37 0
	40 0
	43 0
	46 0
	49 1
	51 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 22
	30 21
	33 21
	38 21
	41 21
	44 21
	48 22
	51 25
	53 28
	55 31
	56 34
	55 37
	52 39
	49 40
	46 41
	43 41
	39 41
	36 39
	33 38
	29 36
	26 34
	24 31
	23 28
	23 25
	23 22
	23 19
	23 15
	24 12
	27 10
	29 7
	32 7
	34 4
	37 4
	40 2
	43 1
	46 0
	49 0
	52 0
	55 1
	58 1
	61 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 72
	51 72
	48 72
	45 72
	42 70
	38 67
	35 64
	35 61
	34 58
	34 55
	34 52
	34 49
	34 46
	34 43
	36 40
	37 37
	39 34
	42 34
	45 36
	48 37
	51 40
	54 42
	56 45
	57 48
	58 51
	58 55
	59 58
	59 61
	59 64
	59 67
	59 70
	59 73
	59 70
