


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	jjlee
.COUNTRY	Korea
.HAND		R
.AGE		23
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Jae-Joon
	Last name:				Lee
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
	47 47
	44 47
	40 46
	37 44
	33 40
	31 36
	29 32
	28 29
	26 23
	26 19
	26 15
	26 11
	27 8
	28 5
	30 2
	33 0
	36 1
	39 4
	41 7
	43 11
	44 16
	45 19
	46 23
	46 28
	46 31
	47 34
	47 37
	48 40
	48 43
	48 40
	48 36
	49 33
	50 30
	51 26
	52 23
	54 19
	55 16
	57 13
	59 10
	60 7
	63 8
	64 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 68
	50 64
	50 60
	49 55
	49 52
	49 49
	49 46
	49 43
	49 40
	49 37
	49 32
	48 25
	48 22
	48 18
	48 15
	49 11
	49 8
	50 3
	50 0
	50 3
	50 6
	50 9
	50 12
	50 16
	49 21
	48 24
	46 27
	44 30
	42 33
	40 36
	37 37
	34 36
	30 33
	28 30
	26 27
	25 24
	25 21
	25 18
	25 15
	26 12
	28 9
	31 7
	34 5
	37 4
	40 3
	43 3
	46 3
	49 3
	52 5
	53 6
.PEN_UP
.PEN_DOWN
	28 22
	31 22
	34 22
	37 22
	40 22
	43 23
	46 24
	49 26
	50 29
	50 33
	49 36
	49 39
	47 42
	44 43
	40 43
	37 42
	34 40
	30 37
	26 32
	23 28
	22 24
	20 21
	20 17
	20 14
	21 9
	22 6
	25 4
	28 2
	31 0
	34 0
	37 0
	40 0
	43 1
	46 2
	49 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 71
	56 74
	53 77
	50 78
	47 79
	42 79
	39 79
	36 78
	33 75
	30 72
	29 68
	29 64
	29 59
	29 55
	29 51
	29 48
	32 45
	35 45
	39 45
	43 47
	47 51
	50 55
	53 59
	55 63
	56 66
	57 69
	57 72
	57 69
	55 66
	54 61
	53 57
	52 52
	51 49
	50 44
	49 41
	48 38
	45 33
	43 28
	41 24
	40 21
	38 17
	37 14
	35 10
	34 6
	32 2
	29 0
	26 4
	24 7
	22 11
	20 14
	18 18
	18 21
	17 24
	17 29
	19 32
	22 35
	26 37
	30 38
	34 40
	38 40
	42 40
	45 40
	49 40
	53 39
	56 40
	59 40
	62 40
	63 40
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 5
	34 8
	37 12
	39 15
	41 19
	44 24
	45 28
	46 31
	46 34
	47 37
	45 33
	45 30
	45 26
	45 23
	44 18
	44 14
	45 10
	45 6
	46 3
	48 0
	51 0
	54 2
	57 4
	59 7
	62 10
.PEN_UP
.PEN_DOWN
	47 59
	49 56
	50 56
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	30 73
	29 70
	29 66
	29 63
	28 60
	28 57
	28 53
	27 45
	26 41
	26 37
	26 33
	26 30
	26 25
	25 22
	25 18
	25 14
	25 10
	24 7
	24 3
	24 0
	25 1
.PEN_UP
.PEN_DOWN
	53 49
	50 47
	47 43
	44 39
	42 36
	39 34
	36 30
	33 27
	30 24
	29 21
	32 22
	35 22
	38 22
	43 21
	46 19
	49 17
	52 14
	55 11
	58 9
	60 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 36
	27 39
	31 41
	35 43
	38 43
	39 40
	39 34
	38 30
	36 25
	35 21
	34 16
	33 13
	32 10
	30 6
	32 10
	33 13
	35 16
	37 19
	39 23
	41 26
	44 29
	46 32
	47 28
	47 24
	45 20
	44 16
	43 12
	42 9
	42 12
	43 16
	45 20
	47 24
	50 28
	52 32
	55 35
	58 36
	58 33
	58 30
	58 27
	57 23
	56 19
	55 16
	55 13
	54 9
	54 5
	53 2
	56 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 47
	48 47
	44 46
	41 44
	37 40
	33 36
	30 31
	28 27
	25 21
	24 17
	24 13
	24 9
	25 6
	27 3
	30 1
	33 0
	36 0
	39 2
	42 3
	47 6
	49 9
	51 12
	53 15
	54 19
	55 22
	57 27
	57 31
	58 34
	58 38
	58 41
	57 44
	56 47
	53 49
	49 48
	46 46
	43 43
.PEN_UP
.PEN_DOWN
	37 63
	37 60
	35 55
	34 52
	33 49
	32 45
	30 41
	29 37
	27 29
	26 26
	25 23
	25 20
	24 16
	23 12
	23 9
	21 4
	21 1
	21 0
.PEN_UP
.PEN_DOWN
	38 65
	41 67
	45 68
	48 68
	52 67
	55 64
	57 61
	58 57
	58 54
	57 51
	55 46
	53 43
	50 40
	47 38
	43 35
	40 34
	37 34
	34 34
	31 35
	29 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 37
	48 40
	45 40
	41 41
	38 41
	34 40
	31 39
	30 36
	30 33
	32 30
	36 27
	39 25
	42 23
	45 21
	49 18
	52 15
	53 12
	54 9
	54 6
	53 3
	50 0
	47 0
	44 0
	41 1
	38 2
	34 4
	32 7
	29 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 40
	38 36
	38 33
	38 28
	39 25
	39 22
	39 19
	40 15
	42 8
	43 5
	44 2
	47 0
	50 3
	54 7
	56 11
	57 14
	61 20
	62 24
	63 28
	64 31
	64 34
	65 37
	67 37
.PEN_UP
.PEN_DOWN
	21 42
	21 39
	21 36
	21 33
	20 30
	20 27
	19 24
	19 21
	19 16
	19 10
	19 6
	20 3
	21 0
	25 0
	27 3
	29 7
	32 11
	34 16
	36 20
	38 26
	39 29
	40 32
	41 29
	41 24
	42 20
	42 16
	43 12
	45 9
	48 8
	52 10
	55 14
	57 18
	59 21
	60 25
	61 30
	62 34
	63 38
	63 42
	63 45
	63 48
	62 51
	61 51
.PEN_UP
.PEN_DOWN
	26 32
	28 29
	30 25
	32 22
	33 19
	35 15
	37 12
	38 9
	41 6
	42 3
	43 0
	45 1
.PEN_UP
.PEN_DOWN
	47 33
	44 31
	41 29
	37 26
	34 24
	29 20
	25 16
	21 12
	18 10
	15 7
	13 4
	13 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 28
	52 31
	50 34
	47 37
	43 39
	40 40
	35 39
	32 38
	29 35
	27 31
	25 27
	24 24
	24 20
	24 16
	25 13
	26 9
	29 5
	33 2
	36 0
	39 0
	43 0
	46 0
	49 1
	52 2
	55 3
	57 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	40 72
	39 69
	39 63
	38 60
	37 57
	36 49
	36 45
	35 41
	34 37
	34 32
	33 28
	33 24
	32 20
	31 17
	31 14
	31 9
	30 6
	29 3
	29 0
	30 3
	31 6
	32 10
	34 15
	36 19
	37 22
	39 26
	41 30
	43 33
	46 36
	49 37
	52 37
	55 34
	55 30
	55 26
	55 23
	56 19
	56 15
	56 12
	57 9
	58 6
	59 3
	62 3
	65 3
	67 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	42 73
	41 70
	40 66
	38 61
	38 58
	37 55
	36 51
	36 48
	35 44
	34 35
	33 31
	33 27
	33 24
	32 21
	32 18
	32 15
	32 10
	32 6
	32 3
	32 0
	33 3
.PEN_UP
.PEN_DOWN
	57 45
	53 42
	50 39
	44 34
	40 31
	38 28
	36 25
	39 23
	42 22
	45 21
	48 20
	51 18
	54 17
	57 15
	60 12
	63 10
	64 10
.PEN_UP
.PEN_DOWN
	24 6
	28 7
	31 8
	34 10
	37 12
	40 15
	43 18
	45 22
	47 25
	50 30
	50 33
	52 36
	53 40
	53 43
	54 46
	56 51
	57 56
	57 59
	57 64
	56 67
	56 70
	52 70
	49 67
	46 64
	45 60
	42 56
	41 52
	40 49
	38 45
	36 41
	35 36
	34 32
	33 28
	33 24
	34 21
	35 18
	36 15
	37 12
	39 9
	41 6
	44 4
	47 2
	50 0
	52 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	15 22
	17 25
	20 27
	23 29
	26 31
	29 32
	31 28
	31 24
	30 20
	30 17
	28 13
	27 10
	26 6
	24 3
	22 0
	22 4
	23 7
	25 11
	26 14
	29 18
	32 22
	36 26
	39 28
	40 25
	40 22
	40 18
	39 14
	39 11
	38 6
	38 2
	41 0
	45 0
	48 2
	51 4
	54 7
	55 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	38 69
	36 66
	35 61
	34 58
	33 55
	32 51
	30 47
	29 43
	28 39
	27 34
	24 26
	23 23
	23 20
	22 15
	21 11
	20 7
	20 4
	20 0
	20 3
.PEN_UP
.PEN_DOWN
	36 71
	39 73
	42 73
	46 73
	49 71
	52 69
	54 66
	55 63
	56 60
	56 57
	56 54
	54 49
	53 46
	50 43
	47 40
	44 38
	40 36
	36 33
	33 32
	30 31
	27 31
	27 32
.PEN_UP
.PEN_DOWN
	52 68
	52 71
	50 74
	47 74
	44 72
	40 69
	36 66
	34 62
	31 58
	29 54
	28 50
	28 46
	28 42
	29 38
	32 35
	37 34
	40 35
	44 36
	47 38
