


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	scoh
.COUNTRY	Korea
.HAND		R
.AGE		27
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Sechang
	Last name:				Oh
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	52 45
	49 42
	45 37
	42 32
	39 29
	37 26
	36 23
	34 19
	32 16
	30 12
	29 9
	28 6
	27 3
	28 0
	32 0
	34 3
	37 7
	41 12
	42 15
	45 18
	46 21
	48 24
	48 27
	50 30
	51 33
	52 36
	52 39
	53 42
	53 37
	53 34
	53 28
	53 25
	53 22
	53 19
	53 14
	54 10
	54 7
	57 6
	60 7
	61 10
	64 13
	68 15
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 39
	56 36
	51 32
	50 29
	47 25
	43 24
	40 18
	36 14
	33 11
	30 7
	29 4
	28 1
	31 0
	34 2
	39 5
	41 9
	44 12
	49 18
	52 22
	54 25
	56 28
	56 24
	55 21
	55 17
	55 12
	55 9
	56 6
	57 3
	61 3
	65 5
	71 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 34
	56 31
	54 28
	49 25
	45 21
	42 19
	41 16
	37 12
	35 9
	33 6
	32 3
	33 0
	36 0
	40 3
	43 5
	46 8
	51 15
	53 18
	55 21
	57 24
	55 21
	55 17
	55 13
	55 10
	56 7
	57 4
	60 2
	63 0
	67 1
	70 1
.PEN_UP
.PEN_DOWN
	50 35
	45 31
	43 28
	41 25
	37 21
	34 16
	31 13
	29 9
	27 6
	27 3
	30 2
	34 3
	38 5
	41 9
	43 12
	46 17
	49 20
	50 25
	52 28
	51 25
	50 22
	48 18
	47 14
	47 10
	47 6
	48 3
	50 0
	53 0
	56 0
	59 0
	61 0
.PEN_UP
.PEN_DOWN
	51 37
	48 34
	45 31
	42 27
	40 24
	37 23
	34 20
	30 17
	28 14
	24 10
	22 6
	22 3
	25 3
	29 3
	33 5
	36 6
	40 9
	43 13
	45 16
	48 21
	51 25
	52 28
	53 31
	52 28
	50 25
	48 22
	48 19
	48 15
	48 11
	48 6
	49 3
	51 0
	54 0
	57 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	55 50
	52 50
	49 49
	45 47
	41 43
	38 41
	36 38
	33 35
	30 33
	29 30
	25 27
	24 21
	21 19
	19 16
	17 12
	17 8
	18 5
	22 5
	26 6
	31 9
	36 14
	41 18
	42 22
	44 25
	48 31
	48 34
	50 38
	50 41
	50 38
	50 35
	49 31
	49 26
	49 22
	49 19
	49 14
	49 10
	50 6
	50 2
	53 0
	56 0
	59 1
	63 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	52 41
	49 39
	45 37
	42 33
	38 30
	36 26
	33 22
	30 17
	29 13
	25 11
	23 7
	22 4
	22 1
	25 1
	28 4
	31 5
	36 8
	38 11
	42 15
	45 19
	47 23
	49 26
	50 29
	50 33
	49 29
	47 25
	47 22
	46 17
	46 10
	47 7
	48 4
	50 1
	53 0
	56 1
	60 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	45 37
	41 32
	38 30
	35 28
	31 23
	26 18
	22 15
	19 10
	16 9
	16 6
	16 3
	20 2
	26 4
	29 5
	33 8
	37 10
	41 14
	43 17
	46 22
	48 25
	49 29
	49 26
	46 21
	46 18
	45 14
	45 9
	45 6
	47 3
	50 0
	54 0
	58 1
	62 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	46 74
	45 69
	45 66
	42 58
	42 54
	42 51
	40 48
	39 45
	39 42
	37 39
	37 35
	36 31
	36 28
	33 26
	33 20
	31 17
	31 14
	30 11
	31 14
	32 18
	35 21
	36 25
	40 28
	43 31
	47 33
	51 33
	54 30
	56 23
	57 19
	57 15
	56 11
	53 8
	50 5
	45 1
	42 0
	39 0
	36 0
	33 1
	31 4
	29 8
	27 11
	27 15
	30 18
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 73
	56 70
	55 66
	52 59
	51 55
	50 51
	48 47
	46 43
	45 39
	43 35
	41 30
	40 26
	38 23
	35 20
	33 14
	31 11
	30 7
	32 11
	35 14
	37 17
	39 20
	43 24
	45 27
	47 30
	51 33
	55 36
	58 38
	62 38
	65 39
	68 37
	69 34
	69 31
	69 26
	68 21
	65 16
	65 13
	62 11
	60 7
	57 5
	54 2
	50 0
	47 0
	43 1
	41 5
	41 9
	41 14
	41 19
	41 22
	42 24
.PEN_UP
.PEN_DOWN
	39 70
	39 62
	37 58
	37 54
	36 50
	36 46
	34 42
	33 38
	33 34
	31 30
	30 27
	30 23
	27 19
	27 16
	25 12
	25 9
	26 14
	29 18
	30 21
	33 25
	37 31
	41 35
	44 35
	47 36
	50 36
	55 34
	58 31
	59 28
	59 25
	59 22
	59 18
	59 15
	58 12
	56 8
	52 5
	48 3
	45 1
	41 0
	38 1
	35 4
	34 8
	32 13
	32 16
	32 20
	34 20
.PEN_UP
.PEN_DOWN
	45 72
	43 67
	43 62
	43 59
	41 54
	41 50
	40 45
	39 40
	37 36
	37 28
	35 24
	33 20
	33 17
	31 13
	31 10
	30 7
	28 3
	27 0
	29 4
	30 7
	34 16
	37 19
	40 21
	44 24
	48 26
	51 26
	54 26
	58 25
	60 22
	61 19
	61 15
	61 11
	60 8
	56 5
	53 4
	48 4
	44 4
	41 5
	37 7
	34 8
	31 12
	31 15
	31 19
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	46 60
	46 57
	46 52
	46 48
	45 45
	44 40
	42 37
	41 31
	41 27
	40 23
	38 20
	37 17
	37 14
	36 8
	35 5
	34 2
	34 9
	37 12
	37 15
	40 18
	42 21
	45 24
	49 28
	52 28
	55 25
	56 21
	56 18
	55 14
	53 9
	49 6
	46 2
	42 1
	39 0
	36 0
	33 2
	28 4
	28 7
	29 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	48 38
	45 38
	42 37
	39 34
	36 31
	35 28
	32 25
	28 18
	26 13
	26 10
	26 6
	27 3
	30 0
	33 0
	36 1
	38 2
.PEN_UP
.PEN_DOWN
	48 37
	45 37
	42 34
	39 32
	36 30
	34 26
	31 23
	30 20
	26 16
	23 14
	21 10
	20 7
	21 4
	22 1
	25 0
	28 0
	32 0
	38 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	44 37
	40 36
	36 33
	31 30
	27 25
	24 20
	21 17
	21 12
	21 8
	22 5
	24 2
	31 0
	36 0
	40 0
	43 0
	46 0
	50 0
	53 1
	57 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 36
	44 38
	41 38
	37 38
	34 38
	31 36
	31 32
	31 27
	31 22
	31 17
	31 14
	31 10
	32 7
	33 3
	34 0
	37 0
	40 0
	46 0
.PEN_UP
.PEN_DOWN
	62 34
	57 36
	54 36
	49 36
	46 36
	43 35
	40 35
	40 32
	36 31
	32 27
	29 23
	29 20
	26 17
	26 14
	26 10
	26 7
	29 4
	32 1
	35 0
	38 0
	41 1
	45 1
.PEN_UP
.PEN_DOWN
	51 27
	48 28
	45 28
	41 28
	38 28
	35 27
	32 26
	28 24
	28 21
	26 18
	24 14
	24 10
	24 7
	28 3
	30 0
	33 0
	37 0
	42 0
.PEN_UP
.PEN_DOWN
	69 31
	66 33
	63 34
	60 34
	56 34
	53 34
	48 33
	45 31
	42 28
	39 24
	37 20
	36 17
	36 14
	36 11
	36 7
	37 4
	42 1
	46 0
	51 0
	54 0
	59 0
	63 0
.PEN_UP
.PEN_DOWN
	55 31
	53 34
	50 36
	47 36
	43 36
	38 33
	35 30
	35 27
	30 23
	29 18
	28 14
	28 11
	29 8
	32 6
	34 3
	37 2
	41 1
	44 1
	50 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 35
	43 34
	39 32
	35 29
	32 25
	29 21
	27 18
	25 15
	23 11
	22 6
	22 3
	22 0
	25 0
	29 4
	32 6
	35 9
	37 12
	39 15
	41 19
	44 23
	46 26
	47 30
	50 35
	52 44
	55 48
	55 53
	58 57
	58 61
	60 65
	60 69
	61 73
	62 77
	62 80
	63 83
	63 86
	63 93
	61 85
	61 81
	60 77
	60 73
	59 68
	59 64
	59 60
	58 56
	58 52
	56 43
	56 40
	56 36
	56 31
	56 28
	56 24
	57 21
	57 18
	59 15
	63 12
.PEN_UP
.PEN_DOWN
	61 27
	57 26
	52 25
	48 22
	45 21
	41 19
	39 15
	36 14
	32 10
	31 7
	31 4
	32 1
	36 0
	39 0
	44 4
	47 6
	50 7
	53 10
	57 15
	61 18
	63 22
	67 31
	70 35
	71 40
	73 45
	75 49
	77 53
	78 56
	79 61
	80 65
	81 68
	81 71
	82 75
	79 71
	78 64
	77 60
	77 56
	75 53
	74 48
	74 45
	73 41
	73 37
	72 34
	71 31
	71 27
	71 21
	71 17
	71 14
	72 11
	73 8
	76 6
	79 6
	82 6
	84 7
.PEN_UP
.PEN_DOWN
	41 33
	38 32
	35 30
	32 27
	29 24
	26 21
	20 15
	17 10
	15 7
	14 4
	14 1
	17 0
	20 0
	23 1
	26 3
	31 7
	34 9
	35 12
	40 15
	42 18
	43 27
	50 30
	52 34
	54 39
	55 43
	57 47
	59 51
	59 55
	60 59
	60 62
	60 65
	60 72
	59 75
	58 79
	57 75
