


.DATE		Aug. 92
.STYLE		CURSIVE
.WRITER_ID	scoh
.COUNTRY	Korea
.HAND		R
.AGE		27
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Sechang
	Last name:				Oh
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	49 35
	46 33
	43 30
	41 27
	38 23
	36 19
	33 15
	31 12
	29 8
	28 5
	28 2
	31 0
	34 0
	38 2
	45 8
	48 12
	51 13
	52 16
	54 20
	57 24
	57 27
	58 31
	59 36
	58 31
	57 28
	57 23
	57 20
	57 17
	57 14
	59 10
	60 7
	61 4
	64 3
	68 5
.PEN_UP
.PEN_DOWN
	40 36
	37 34
	36 31
	33 30
	28 26
	24 21
	20 17
	17 14
	15 11
	14 8
	14 5
	17 4
	21 6
	24 7
	29 10
	34 14
	37 18
	40 22
	42 26
	42 29
	43 25
	43 22
	43 19
	43 16
	45 12
	45 8
	49 4
	51 1
	54 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 36
	45 31
	41 27
	40 24
	37 23
	33 18
	30 13
	28 10
	26 6
	26 3
	28 0
	33 0
	37 2
	41 4
	44 6
	48 10
	51 12
	54 17
	57 22
	58 25
	55 21
	54 16
	54 13
	54 10
	57 6
	58 3
	61 2
	65 2
.PEN_UP
.PEN_DOWN
	53 36
	49 33
	48 30
	45 26
	41 22
	40 19
	35 13
	33 10
	32 7
	32 4
	35 4
	39 6
	42 9
	46 11
	48 14
	50 19
	53 20
	54 23
	56 27
	57 30
	56 26
	55 22
	54 19
	54 15
	54 11
	54 8
	58 4
	61 1
	64 0
	67 0
	70 0
	75 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	44 31
	41 27
	38 24
	34 19
	30 15
	27 12
	25 8
	23 5
	23 2
	26 2
	29 3
	33 4
	36 8
	41 12
	41 15
	44 18
	47 22
	49 27
	51 30
	51 33
	50 29
	50 25
	47 21
	46 17
	46 13
	47 9
	48 6
	50 3
	52 0
	56 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 36
	45 33
	42 30
	40 26
	37 22
	34 20
	31 17
	30 13
	27 8
	26 5
	26 2
	29 0
	32 2
	36 3
	39 5
	43 9
	46 11
	49 13
	53 18
	56 22
	59 27
	59 30
	60 33
	57 31
	56 27
	56 24
	56 20
	57 15
	58 12
	60 9
	63 6
	66 5
	68 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	18 27
	21 27
	24 29
	27 30
	30 32
	34 36
	39 39
	41 42
	44 45
	45 50
	48 52
	51 57
	52 61
	52 64
	52 68
	52 71
	52 75
	47 72
	45 68
	43 65
	41 62
	41 59
	40 55
	37 52
	35 46
	34 42
	31 38
	30 33
	29 30
	27 26
	27 23
	27 20
	25 14
	25 11
	25 8
	25 5
	27 2
	31 0
	34 1
	37 2
	39 5
	42 7
	44 10
	46 13
	48 17
	50 20
	52 24
	54 27
	55 30
	56 33
	56 30
	55 27
	58 24
	62 24
	66 25
	69 26
	74 27
.PEN_UP
.PEN_DOWN
	25 29
	28 31
	31 33
	34 34
	38 36
	41 38
	43 41
	46 43
	49 46
	53 54
	56 58
	58 62
	60 65
	60 69
	60 72
	57 74
	54 74
	51 71
	48 69
	46 66
	43 63
	42 60
	41 56
	38 51
	38 48
	37 45
	36 40
	35 37
	34 33
	34 30
	33 27
	32 21
	31 17
	31 12
	31 9
	32 6
	34 3
	38 0
	41 0
	46 1
	49 3
	53 6
	56 9
	58 12
	59 15
	61 19
	61 22
	61 26
	61 29
	59 32
	62 29
	65 28
	68 27
	71 27
	74 27
.PEN_UP
.PEN_DOWN
	16 24
	20 26
	25 28
	29 30
	33 33
	34 37
	37 39
	39 42
	42 46
	44 49
	46 53
	48 56
	49 59
	51 62
	51 66
	51 69
	47 69
	44 68
	41 65
	39 62
	34 57
	32 53
	29 49
	28 46
	25 43
	23 38
	22 34
	21 31
	20 27
	19 23
	18 19
	18 16
	17 12
	17 9
	18 6
	20 3
	24 0
	27 0
	31 1
	35 1
	40 4
	43 8
	45 11
	48 14
	48 18
	49 21
	52 19
	55 19
	58 19
	61 20
	64 20
	68 20
	71 21
	76 22
.PEN_UP
.PEN_DOWN
	16 18
	20 19
	23 21
	27 23
	32 25
	35 26
	40 28
	44 34
	47 38
	49 42
	51 45
	52 48
	54 53
	54 56
	54 59
	54 62
	51 63
	48 61
	44 57
	44 54
	42 51
	39 49
	38 46
	36 43
	33 39
	31 36
	29 33
	28 30
	28 26
	27 23
	26 20
	25 17
	24 14
	24 11
	24 8
	24 5
	27 1
	30 1
	33 0
	36 1
	39 3
	41 6
	42 9
	44 13
	44 16
	44 19
	44 22
	46 19
	49 18
	52 17
	56 15
	59 15
	62 15
	65 15
	65 16
.PEN_UP
.PEN_DOWN
	21 22
	24 23
	28 25
	31 26
	35 29
	39 33
	41 37
	44 39
	47 44
	48 49
	51 52
	52 57
	52 60
	53 64
	53 67
	52 70
	49 71
	46 71
	43 68
	41 65
	39 62
	37 59
	34 54
	33 51
	32 48
	31 45
	31 41
	30 37
	29 34
	29 29
	29 26
	29 22
	29 19
	28 16
	28 13
	28 10
	28 7
	29 4
	30 1
	33 0
	37 0
	39 3
	42 7
	44 11
	46 15
	48 18
	48 21
	48 24
	48 27
	49 24
	52 24
	55 24
	58 24
	62 24
	66 25
	66 27
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 21
	24 22
	27 23
	31 25
	35 27
	39 29
	42 30
	44 33
	47 37
	49 41
	52 45
	53 49
	54 52
	54 55
	53 59
	50 61
	47 59
	45 56
	43 53
	41 49
	39 46
	38 43
	36 39
	35 36
	34 33
	34 30
	32 27
	31 24
	31 21
	30 18
	30 15
	30 12
	31 9
	31 6
	32 3
	35 1
	38 0
	41 3
	44 7
	44 10
	44 13
	46 16
	46 19
	47 22
	47 25
	50 27
	52 24
	55 22
	59 22
	62 22
	61 24
.PEN_UP
.PEN_DOWN
	15 17
	18 17
	22 18
	28 20
	32 21
	36 23
	39 24
	44 27
	48 29
	52 33
	55 37
	58 41
	58 44
	58 47
	58 50
	56 53
	54 56
	51 57
	48 57
	46 54
	44 51
	42 48
	39 45
	37 41
	35 38
	33 35
	32 30
	30 26
	28 20
	28 17
	27 13
	27 10
	26 7
	27 3
	30 0
	34 0
	37 1
	40 2
	45 5
	46 8
	48 11
	48 14
	48 17
	48 20
	48 23
	47 20
	50 19
	53 18
	56 18
	59 18
	62 18
	63 21
	64 20
.PEN_UP
.PEN_DOWN
	19 14
	24 15
	27 17
	32 19
	35 19
	39 22
	44 25
	47 26
	51 30
	54 32
	57 35
	60 39
	61 42
	61 45
	61 48
	60 51
	59 54
	56 55
	53 56
	50 54
	47 53
	46 50
	43 46
	41 43
	38 41
	38 38
	35 35
	34 31
	32 27
	32 23
	31 19
	31 16
	30 13
	30 8
	30 5
	32 2
	35 0
	38 0
	41 0
	45 3
	49 7
	50 10
	51 13
	51 17
	51 20
	51 23
	51 26
	52 23
	55 20
	58 20
	62 18
	65 18
	67 20
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 30
	53 31
	50 31
	46 31
	42 28
	39 25
	38 22
	36 17
	35 13
	35 9
	35 6
	37 3
	41 1
	45 0
	49 0
	55 2
	59 2
	60 2
.PEN_UP
.PEN_DOWN
	72 36
	69 36
	65 36
	63 33
	59 30
	58 26
	55 24
	52 19
	49 17
	48 12
	47 9
	47 6
	52 2
	56 0
	59 0
	64 0
	69 1
	73 2
	76 3
	77 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	56 32
	53 32
	50 32
	46 31
	41 30
	38 26
	34 23
	32 19
	29 16
	28 13
	28 9
	29 5
	32 4
	35 1
	39 1
	43 0
	46 0
	50 0
	54 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	45 30
	42 28
	39 28
	38 25
	35 24
	32 20
	29 19
	27 16
	22 10
	19 7
	18 4
	18 1
	22 0
	27 2
	32 4
	36 8
	39 10
	43 15
	46 19
	50 24
	51 28
	53 32
	55 35
	56 39
	57 42
	59 46
	60 49
	60 53
	61 56
	62 61
	62 66
	62 69
	62 72
	62 75
	62 78
	62 81
	59 77
	56 72
	56 69
	55 66
	53 62
	51 55
	50 51
	49 47
	47 43
	47 40
	46 37
	46 32
	46 29
	46 26
	46 23
	47 17
	48 12
	49 9
	51 5
	53 3
.PEN_UP
.PEN_DOWN
	44 29
	39 26
	35 23
	31 19
	28 15
	25 13
	22 9
	20 6
	19 3
	19 0
	22 0
	27 1
	32 4
	38 7
	41 10
	46 15
	49 18
	51 25
	56 29
	58 33
	60 37
	61 41
	63 46
	64 50
	65 53
	65 56
	67 59
	68 62
	68 65
	68 71
	68 74
	65 68
	64 65
	63 61
	62 58
	60 55
	59 52
	59 49
	58 46
	57 42
	55 38
	55 35
	53 31
	51 25
	51 22
	51 19
	50 14
	50 11
	50 8
	50 4
	53 2
	55 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 28
	28 27
	24 25
	20 22
	16 19
	13 16
	8 13
	8 9
	6 6
	6 3
	8 0
	11 0
	14 0
	20 2
	23 3
	26 4
	29 6
	34 9
	38 13
	40 16
	41 19
	42 23
	44 30
	47 34
	49 38
	49 42
	51 46
	53 50
	53 54
	54 58
	55 61
	56 65
	56 69
	56 73
	52 73
	48 68
	47 65
	44 57
	44 53
	44 49
	44 45
	42 42
	42 38
	42 34
	42 30
	42 26
	42 23
	42 19
	42 16
	44 12
	44 9
	45 6
	48 5
	53 5
.PEN_UP
.PEN_DOWN
0 0
