


.DATE		08 ? 92
.STYLE		CURSIVE
.WRITER_ID	scoh
.COUNTRY	Korea
.HAND		R
.AGE		27
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Sechang
	Last name:				Oh
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 62
	34 59
	36 56
	37 52
	37 47
	37 44
	37 39
	37 36
	37 33
	36 26
	36 23
	34 20
	32 16
	32 13
	29 11
	26 7
	21 3
	20 0
	17 0
	14 0
	11 3
	11 6
	11 9
	12 13
	15 14
	18 15
	22 14
	24 11
	27 9
	31 5
	35 2
	38 1
	42 1
	45 2
	48 4
	52 7
	54 10
	55 14
	58 17
	59 21
	60 25
	60 29
	60 32
	60 35
	58 41
	56 44
	54 48
	51 49
	48 50
	46 47
	45 43
	45 39
	45 36
	45 33
	45 29
	45 25
	45 21
	46 17
	49 15
	52 12
	56 12
	60 12
	64 12
	66 12
.PEN_UP
.PEN_DOWN
	52 69
	49 68
	45 66
	42 64
	38 62
	35 60
	31 58
	26 55
	20 51
	18 48
	16 45
	15 42
	15 39
	15 36
	19 34
	23 34
	27 34
	30 35
	35 36
	39 39
	42 40
	45 41
	48 44
	51 46
	47 44
	43 41
	41 37
	39 34
	36 31
	34 28
	31 23
	29 19
	27 15
	27 12
	25 9
	25 5
	26 2
	29 0
	32 0
	35 1
	39 2
	42 4
	45 7
	49 9
	52 11
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 29
	43 29
	40 30
	36 31
	32 31
	28 34
	26 38
	24 41
	22 45
	22 48
	22 51
	22 54
	22 57
	23 61
	24 65
	26 68
	29 71
	32 74
	35 77
	39 78
	42 79
	46 78
	48 75
	51 73
	53 68
	54 65
	55 61
	55 58
	55 53
	55 49
	54 45
	53 42
	53 39
	53 36
	51 32
	50 28
	49 25
	48 22
	47 16
	44 13
	43 9
	42 6
	39 3
	36 0
	32 0
	28 0
	25 1
	22 3
	21 4
.PEN_UP
.PEN_DOWN
	53 33
	50 35
	47 36
	43 38
	39 41
	36 41
	34 44
	31 46
	29 50
	26 52
	22 58
	18 63
	16 66
	15 69
	13 72
	11 76
	11 79
	12 82
	15 85
	18 88
	21 89
	24 91
	27 95
	30 96
	33 97
	36 95
	36 92
	36 89
	36 84
	36 80
	34 77
	34 74
	33 66
	33 63
	32 59
	31 55
	31 52
	30 49
	30 45
	29 42
	29 39
	29 36
	28 32
	27 28
	26 25
	26 22
	25 19
	23 16
	22 13
	20 10
	17 5
	16 2
	13 0
	11 3
	9 6
	9 10
	8 13
	8 17
	8 20
	8 24
	9 27
	11 30
	14 33
	16 37
	19 38
	23 41
	26 43
	29 45
	32 47
	38 49
	42 51
	47 52
	50 53
	53 54
	54 54
.PEN_UP
.PEN_DOWN
	34 71
	37 69
	40 64
	41 59
	41 56
	41 50
	40 46
	40 43
	38 40
	37 37
	36 33
	34 30
	32 24
	29 21
	26 17
	25 14
	21 10
	18 6
	15 3
	12 0
	11 1
.PEN_UP
.PEN_DOWN
	71 80
	69 83
	66 83
	62 85
	59 84
	56 82
	55 79
	54 76
	53 72
	53 69
	53 65
	52 61
	52 58
	52 54
	52 50
	52 46
	51 43
	49 39
	47 36
	44 33
	41 34
	38 34
	38 37
	38 40
	40 43
	43 45
	46 43
	47 40
	48 37
	50 34
	50 31
	50 27
	50 24
	49 21
	50 18
	52 15
	55 13
	58 12
	61 13
	65 14
.PEN_UP
.PEN_DOWN
	62 68
	59 70
	56 72
	52 72
	49 72
	46 69
	43 66
	43 63
	42 59
	41 56
	40 50
	39 42
	38 38
	38 34
	37 29
	36 25
	35 20
	33 16
	29 12
	28 9
	25 6
	23 3
	20 2
	17 0
	13 1
	10 3
	10 6
	10 10
	11 13
	14 17
	17 19
	21 21
	24 21
	27 21
	31 22
	35 22
	37 19
	39 15
	40 12
	42 9
	44 6
	49 3
	53 2
	57 2
	60 3
	64 3
	64 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 62
	31 63
	35 64
	39 64
	42 61
	43 58
	43 53
	41 45
	40 42
	38 37
	37 33
	35 30
	32 27
	31 23
	29 20
	25 16
	22 11
	19 7
	17 3
	15 0
	16 3
	18 7
	22 12
	23 15
	26 19
	29 22
	31 26
	34 31
	40 38
	41 41
	43 44
	46 46
	48 49
	52 52
	54 55
	58 57
	63 60
	66 61
	67 56
	65 51
	63 45
	61 42
	59 39
	58 36
	56 32
	55 28
	54 24
	54 21
	54 17
	55 14
	56 11
	58 8
	61 7
	65 7
	70 8
.PEN_UP
.PEN_DOWN
	41 59
	38 56
	36 51
	33 45
	31 42
	28 37
	27 33
	25 30
	25 27
	24 24
	21 18
	20 15
	20 11
	20 7
	21 4
	23 1
	27 0
	30 1
	33 2
	36 3
	40 6
	45 9
	46 13
	49 17
	52 20
	53 23
	54 27
	54 32
	54 37
	54 41
	52 47
	49 50
	48 53
	45 55
	42 57
	38 57
	36 52
	35 47
	35 44
	35 41
	35 38
	37 35
	39 32
	42 29
	46 29
	49 30
	54 30
	57 31
	60 31
	64 31
.PEN_UP
.PEN_DOWN
	19 57
	22 58
	26 61
	29 61
	32 64
	35 67
	35 63
	34 59
	33 56
	30 49
	30 46
	29 43
	28 40
	27 37
	26 34
	24 30
	23 26
	19 19
	15 14
	12 10
	10 6
	9 3
	7 0
	8 4
	8 7
	11 12
	13 17
	15 22
	16 25
	18 29
	20 33
	22 37
	24 41
	28 46
	30 49
	32 53
	36 56
	39 59
	42 62
	45 64
	48 66
	50 69
	53 71
	56 72
	59 71
	59 67
	58 64
	57 61
	56 57
	55 54
	54 49
	51 45
	50 42
	48 39
	46 36
	44 33
	39 31
	36 31
	33 31
	30 33
	27 34
	30 34
	31 34
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 62
	28 65
	31 67
	34 68
	37 70
	40 70
	43 71
	46 70
	49 69
	52 66
	54 63
	57 62
	60 63
	63 64
	67 68
	70 71
	72 75
	75 76
	76 79
	77 82
	75 79
	74 76
	72 73
	69 67
	68 62
	66 58
	65 55
	64 52
	63 49
	61 45
	60 41
	56 36
	52 29
	50 26
	48 23
	46 20
	45 17
	43 14
	40 10
	38 7
	35 4
	32 2
	29 0
	26 2
	23 8
	22 11
	22 15
	22 18
	21 21
	21 24
	22 27
	26 28
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 49
	27 51
	30 53
	33 53
	36 53
	40 50
	40 46
	40 43
	40 40
	40 37
	38 34
	37 30
	36 27
	34 23
	32 20
	30 15
	28 12
	25 8
	24 5
	23 2
	26 0
	30 2
	33 6
	36 10
	39 13
	41 16
	43 23
	46 27
	48 31
	51 36
	52 39
	53 42
	53 45
	51 40
	49 36
	49 33
	48 29
	47 24
	47 20
	47 17
	47 13
	47 10
	49 7
	51 3
	54 1
	57 4
	59 9
	61 14
	62 17
	64 23
	66 27
	67 31
	68 35
	69 38
	70 45
	70 48
	67 50
	67 47
	67 43
	67 40
	67 37
	70 34
	72 30
	75 27
	78 25
	81 25
	85 27
	89 30
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	48 59
	45 61
	42 61
	39 60
	36 59
	32 55
	27 50
	22 45
	20 42
	16 37
	15 34
	13 31
	12 28
	11 23
	11 16
	11 11
	13 8
	15 5
	20 3
	24 1
	31 0
	35 0
	38 0
	42 2
	46 5
	49 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	50 56
	47 57
	44 58
	41 57
	37 55
	34 54
	31 53
	29 49
	25 46
	22 43
	19 39
	16 35
	15 32
	14 29
	14 26
	16 23
	20 22
	26 23
	30 23
	35 24
	38 24
	41 27
	45 28
	42 28
	39 26
	36 25
	33 22
	30 22
	27 20
	24 16
	22 13
	22 10
	25 5
	27 2
	30 0
	33 0
	36 0
	40 2
	43 2
	46 4
	50 4
	53 4
	56 4
	59 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 62
	20 62
	23 60
	26 57
	27 52
	27 47
	27 44
	27 40
	27 37
	26 34
	26 30
	25 27
	24 24
	22 21
	18 13
	15 10
	12 6
	10 3
	8 0
	6 3
	8 4
.PEN_UP
.PEN_DOWN
	59 65
	58 61
	58 58
	57 55
	55 50
	54 46
	52 43
	52 40
	50 36
	50 33
	49 30
	46 24
	45 19
	43 15
	42 11
	41 8
	40 5
	39 2
	38 5
	38 8
	38 11
	40 15
	42 18
	43 21
	43 24
	44 27
	44 30
	43 33
	40 35
	37 35
	34 33
	34 30
	34 27
	37 26
	40 26
	43 27
	47 27
	50 27
	55 27
	58 27
	61 27
	64 27
	67 28
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	30 52
	34 55
	37 57
	40 59
	44 59
	45 56
	46 49
	46 45
	45 42
	44 39
	44 35
	42 30
	41 27
	39 24
	39 21
	36 19
	33 14
	31 10
	28 6
	26 3
	26 7
	27 10
	31 17
	34 22
	36 27
	39 30
	41 34
	42 37
	46 41
	49 45
	52 47
	55 47
	58 45
	58 41
	58 38
