


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	jjlee
.COUNTRY	Korea
.HAND		R
.AGE		23
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Jae-Joon
	Last name:				Lee
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 77
	33 73
	33 70
	33 66
	32 58
	31 54
	31 50
	31 45
	30 40
	30 36
	29 31
	29 27
	29 23
	29 20
	29 13
	30 10
	30 6
	30 3
	31 0
	32 0
.PEN_UP
.PEN_DOWN
	29 70
	29 73
	32 75
	35 75
	39 75
	42 74
	45 73
	48 70
	50 67
	53 63
	55 59
	56 54
	56 51
	55 48
	54 45
	50 42
	46 40
	43 39
	40 38
	43 38
	46 38
	51 37
	55 34
	58 33
	60 30
	61 26
	61 23
	60 20
	56 16
	52 12
	48 10
	43 8
	39 6
	35 5
	32 3
	29 4
	29 7
	29 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 75
	30 68
	30 65
	30 62
	30 58
	30 55
	30 51
	30 48
	30 44
	30 41
	30 38
	30 34
	30 28
	30 25
	30 20
	30 16
	30 13
	30 9
	30 6
	32 7
.PEN_UP
.PEN_DOWN
	29 78
	31 81
	35 81
	39 80
	43 77
	46 75
	50 71
	52 68
	56 63
	59 59
	61 56
	63 53
	64 49
	65 44
	65 40
	65 35
	64 30
	63 27
	61 22
	60 18
	58 14
	56 11
	53 8
	51 5
	47 2
	44 0
	41 0
	38 1
	34 3
.PEN_UP
.PEN_DOWN
	21 79
	24 79
	27 78
	30 78
	34 77
	39 76
	42 76
	45 75
	48 75
	51 74
	54 73
	51 76
	49 76
.PEN_UP
.PEN_DOWN
	28 76
	28 73
	28 65
	28 62
	28 58
	28 53
	27 49
	27 46
	26 42
	26 39
	26 36
	25 32
	25 29
	25 26
	25 20
	25 17
	25 14
	25 10
	26 6
	26 3
	28 0
	32 0
	35 0
	39 1
	42 2
	46 3
	50 4
	53 5
	56 6
	59 7
.PEN_UP
.PEN_DOWN
	26 41
	29 42
	32 42
	35 42
	38 41
	41 41
	44 40
	48 39
	51 39
	54 38
	57 38
	60 38
.PEN_UP
.PEN_DOWN
	27 84
	31 83
	35 82
	38 81
	42 81
	45 80
	49 79
	53 78
	56 77
	59 76
	57 79
	54 79
	53 80
.PEN_UP
.PEN_DOWN
	31 79
	30 76
	30 68
	30 64
	30 60
	29 56
	29 52
	29 47
	29 42
	28 38
	28 34
	28 30
	28 26
	28 22
	27 16
	27 11
	27 7
	27 3
	28 0
	30 1
.PEN_UP
.PEN_DOWN
	25 39
	24 42
	27 43
	30 43
	34 42
	37 42
	44 40
	48 39
	51 39
	54 38
	57 38
	57 39
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 88
	22 85
	22 81
	22 78
	22 75
	21 67
	20 63
	20 59
	20 54
	19 51
	19 47
	19 43
	19 39
	19 36
	19 33
	18 30
	18 27
	18 22
	17 19
	17 16
	17 13
	19 13
.PEN_UP
.PEN_DOWN
	20 44
	23 45
	26 45
	30 45
	34 44
	40 42
	43 41
	46 41
	49 40
	50 42
.PEN_UP
.PEN_DOWN
	55 84
	55 80
	55 77
	55 72
	55 69
	55 66
	55 63
	54 60
	54 57
	53 53
	52 47
	52 44
	51 40
	51 37
	51 34
	49 29
	49 26
	48 22
	48 18
	47 15
	47 12
	47 9
	47 6
	47 3
	47 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	23 79
	22 75
	22 72
	22 69
	21 65
	20 61
	20 57
	20 53
	19 48
	19 45
	18 41
	18 38
	18 34
	18 28
	18 25
	18 20
	18 17
	18 13
	18 10
	18 7
	19 9
.PEN_UP
.PEN_DOWN
	27 74
	27 71
	28 67
	29 63
	29 60
	30 55
	31 51
	33 47
	34 43
	35 40
	37 37
	38 34
	41 36
	44 41
	47 44
	50 48
	51 51
	55 56
	57 60
	59 65
	61 69
	63 72
	64 75
	65 72
	64 69
	64 66
	64 61
	63 56
	63 53
	63 49
	62 46
	62 39
	62 36
	62 31
	62 28
	62 25
	63 21
	63 17
	63 13
	63 10
	63 7
	64 4
	65 1
	65 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	43 72
	39 70
	36 66
	32 62
	30 59
	29 56
	28 53
	27 50
	25 46
	25 42
	24 35
	24 32
	24 28
	25 25
	26 20
	27 17
	27 14
	29 10
	32 6
	34 3
	37 1
	41 0
	45 0
	48 0
	52 2
	55 4
	58 7
	61 11
	64 14
	65 17
	68 20
	69 24
	70 28
	70 32
	70 37
	68 44
	68 47
	66 52
	65 55
	63 59
	60 63
	58 66
	54 70
	51 72
	47 74
	44 74
	41 73
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 88
	36 88
	40 88
	43 87
	49 87
	53 86
	56 85
	60 85
	63 85
	66 85
	67 84
.PEN_UP
.PEN_DOWN
	45 82
	44 79
	42 72
	42 69
	41 66
	41 62
	41 58
	41 54
	41 50
	41 45
	41 42
	42 38
	42 35
	43 29
	44 26
	44 23
	44 18
	45 14
	45 10
	45 7
	45 3
	44 0
	46 2
.PEN_UP
.PEN_DOWN
	20 70
	19 67
	19 64
	18 61
	18 57
	17 50
	17 47
	17 42
	17 39
	17 34
	17 29
	17 25
	16 20
	16 17
	16 14
	16 11
	17 8
	19 5
	22 4
	25 2
	28 2
	32 0
	35 0
	38 0
	41 0
	44 1
	47 3
	50 4
	53 5
	56 5
	59 6
	62 7
	63 10
	64 13
	65 16
	66 19
	66 22
	67 26
	67 29
	68 33
	68 38
	68 41
	67 46
	67 49
	67 52
	67 55
	67 58
	67 61
	67 65
	65 62
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	15 66
	16 69
	17 65
	17 60
	18 55
	18 48
	19 43
	19 39
	20 34
	21 30
	21 26
	22 23
	23 19
	24 16
	24 13
	25 10
	26 4
	27 0
	28 3
	29 8
	31 13
	32 16
	33 20
	34 23
	35 26
	36 29
	38 35
	38 38
	39 41
	41 38
	42 33
	43 30
	43 27
	43 24
	44 19
	44 16
	45 12
	46 9
	48 6
	51 5
	54 8
	56 12
	58 16
	59 19
	60 22
	60 25
	61 28
	62 31
	64 38
	64 42
	65 47
	65 50
	65 55
	65 59
	65 62
	64 65
	65 64
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	23 69
	25 66
	27 63
	29 58
	32 54
	33 51
	36 47
	39 44
	42 41
	45 38
.PEN_UP
.PEN_DOWN
	63 68
	60 65
	57 61
	53 56
	48 50
	45 46
	44 43
	42 40
	41 37
	42 34
	43 31
	43 27
	43 22
	43 17
	43 13
	42 10
	42 6
	42 3
	43 0
	45 1
.PEN_UP
.PEN_DOWN
	36 77
	41 77
	44 77
	48 76
	52 76
	55 76
	58 75
	61 74
	60 71
	58 68
	57 65
	55 61
	53 58
	52 55
	50 52
	48 48
	47 45
	45 42
	41 35
	39 32
	38 29
	37 26
	34 21
	31 17
	29 13
	29 10
	30 7
	34 5
	37 4
	40 3
	44 2
	48 2
	52 1
	56 0
	59 0
	59 1
.PEN_UP
.PEN_DOWN
	36 53
	40 49
	43 47
	49 43
	53 41
	56 40
	59 38
	62 37
	63 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	65 78
	62 80
	58 80
	55 81
	52 81
	48 80
	44 80
	40 78
	36 75
	32 71
	29 66
	28 63
	25 60
	24 57
	22 52
	20 46
	19 43
	19 38
	19 35
	19 32
	19 29
	20 24
	21 21
	23 17
	25 13
	27 10
	30 7
	34 4
	37 2
	41 1
	45 1
	48 0
	51 0
	54 0
	57 1
	60 2
	63 4
	66 5
	67 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 84
	27 83
	32 82
	36 82
	39 81
	42 81
	45 80
	48 80
	53 78
	57 78
	55 79
.PEN_UP
.PEN_DOWN
	28 80
	27 76
	26 71
	26 68
	25 64
	24 60
	23 56
	22 52
	21 47
	20 38
	20 35
	19 31
	19 27
	19 24
	18 20
	18 17
	18 14
	18 9
	18 3
	18 0
	22 0
	25 0
	28 1
	32 1
	36 2
	42 3
	45 3
	48 4
	51 5
	54 5
	56 6
.PEN_UP
.PEN_DOWN
	27 48
	30 48
	33 47
	37 46
	43 44
	47 43
	50 42
	53 42
	56 41
	57 41
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
