.VERSION 1.0
.INCLUDE syn/syn1.doc
.INCLUDE syn/data/syn1/bek-dig2.dat
.SEGMENT CHARACTER 0 OK "0"
.SEGMENT CHARACTER 2 OK "0"
.SEGMENT CHARACTER 3 OK "2"
.SEGMENT CHARACTER 4 OK "0"
.SEGMENT CHARACTER 14 OK "0"
.SEGMENT CHARACTER 21 OK "1"
.SEGMENT CHARACTER 22 OK "0"
.SEGMENT CHARACTER 23 OK "1"
.SEGMENT CHARACTER 25 OK "1"
.SEGMENT CHARACTER 30-31 OK "4"
.SEGMENT CHARACTER 32 OK "1"
.SEGMENT CHARACTER 35 OK "1"
.SEGMENT CHARACTER 40 OK "1"
.SEGMENT CHARACTER 41 OK "8"
.SEGMENT CHARACTER 42 OK "1"
.SEGMENT CHARACTER 46 OK "2"
.SEGMENT CHARACTER 47 OK "1"
.SEGMENT CHARACTER 51 OK "3"
.SEGMENT CHARACTER 55 OK "2"
.SEGMENT CHARACTER 56-57 OK "5"
.SEGMENT CHARACTER 59 OK "6"
.SEGMENT CHARACTER 61-62 OK "7"
.SEGMENT CHARACTER 65 OK "2"
.SEGMENT CHARACTER 68 OK "0"
.SEGMENT CHARACTER 69 OK "3"
.SEGMENT CHARACTER 70 OK "1"
.SEGMENT CHARACTER 72 OK "2"
.SEGMENT CHARACTER 74 OK "3"
.SEGMENT CHARACTER 75 OK "3"
.SEGMENT CHARACTER 81 OK "3"
.SEGMENT CHARACTER 82 OK "6"
.SEGMENT CHARACTER 83 OK "3"
.SEGMENT CHARACTER 86 OK "3"
.SEGMENT CHARACTER 88 OK "3"
.SEGMENT CHARACTER 90-91 OK "4"
.SEGMENT CHARACTER 92 OK "0"
.SEGMENT CHARACTER 93-94 OK "4"
.SEGMENT CHARACTER 95 OK "1"
.SEGMENT CHARACTER 98 OK "2"
.SEGMENT CHARACTER 101 OK "3"
.SEGMENT CHARACTER 110-111 OK "4"
.SEGMENT CHARACTER 112 OK "6"
.SEGMENT CHARACTER 115-116 OK "7"
.SEGMENT CHARACTER 117-118 OK "4"
.SEGMENT CHARACTER 119 OK "8"
.SEGMENT CHARACTER 120-121 OK "4"
.SEGMENT CHARACTER 122 OK "9"
.SEGMENT CHARACTER 123-124 OK "5"
.SEGMENT CHARACTER 125 OK "0"
.SEGMENT CHARACTER 126-127 OK "5"
.SEGMENT CHARACTER 129-130 OK "5"
.SEGMENT CHARACTER 131 OK "2"
.SEGMENT CHARACTER 132-133 OK "5"
.SEGMENT CHARACTER 134 OK "3"
.SEGMENT CHARACTER 135-136 OK "5"
.SEGMENT CHARACTER 139-140 OK "5"
.SEGMENT CHARACTER 143-144 OK "5"
.SEGMENT CHARACTER 152 OK "8"
.SEGMENT CHARACTER 156 OK "6"
.SEGMENT CHARACTER 158 OK "6"
.SEGMENT CHARACTER 159 OK "1"
.SEGMENT CHARACTER 161 OK "2"
.SEGMENT CHARACTER 162 OK "6"
.SEGMENT CHARACTER 164 OK "6"
.SEGMENT CHARACTER 165-166 OK "4"
.SEGMENT CHARACTER 167 OK "6"
.SEGMENT CHARACTER 170 OK "6"
