

.DATE 8 26 94
.STYLE CURSIVE
.COMMENT previously: .WRITER_ID wccl.109
.WRITER_ID wcc
.HAND L
.AGE 22
.SEX M
.WRITER_INFO
	First name: William
	Last name: Chavez
	Where learned to write in cursive: Las Vegas, New Mexico, USA
	When learned to write in cursive: 9 years old, 3rd grade
	Usually writes in print or in cursive: print

.PEN_DOWN
0 693
4 681
7 671
19 656
.PEN_UP
.PEN_DOWN
63 703
75 695
85 686
92 676
97 664
.PEN_UP
.PEN_DOWN
470 725
453 727
443 727
421 725
399 717
329 668
303 641
277 608
252 573
236 538
237 509
245 489
259 479
281 481
307 487
339 501
373 524
405 553
436 589
463 623
487 653
503 671
506 672
499 665
491 651
480 631
465 605
448 574
437 547
442 523
450 506
466 496
487 496
515 501
548 513
581 531
618 557
654 590
689 626
720 659
730 684
724 684
711 669
695 647
678 620
658 588
644 554
639 523
644 494
657 472
678 460
705 464
737 473
.PEN_UP
.PEN_DOWN
597 620
614 617
641 615
665 615
675 615
739 615
755 615
.PEN_UP
.PEN_DOWN
1048 496
1058 496
1072 498
1082 503
1106 510
1182 543
1205 560
1230 580
1256 603
1280 628
1293 648
1287 656
1280 650
1270 635
1258 617
1249 595
1242 565
1244 540
1255 522
1279 517
1316 526
1369 544
1429 570
1493 607
1558 655
1616 703
1666 750
1704 791
1722 823
1713 841
1696 840
1668 826
1633 800
1589 764
1547 721
1507 673
1470 627
1438 584
1407 546
1397 520
1405 512
1415 519
1430 527
1447 535
1471 544
1496 548
1514 543
1534 538
1553 534
1573 534
1598 537
1621 543
1638 552
1642 549
1636 543
1639 534
1646 525
1657 520
1676 523
1702 532
1730 547
1758 564
1783 585
1800 603
1807 606
1803 596
1797 578
1789 557
1778 530
1762 502
1743 479
1727 470
1729 472
1739 476
1756 481
1776 484
1797 489
1822 495
.PEN_UP
.PEN_DOWN
1170 630
1160 632
1172 637
1206 632
1238 627
.PEN_UP
.PEN_DOWN
1740 683
1726 683
.PEN_UP
.PEN_DOWN
2116 478
2118 469
2135 466
2145 466
2155 469
2242 498
2278 519
2318 545
2361 576
2406 614
2443 653
2475 692
2498 728
2501 751
2493 755
2484 744
2469 726
2451 703
2427 672
2403 637
2382 606
2363 577
2353 551
2355 529
2363 513
2378 503
2397 504
2420 508
2446 517
2469 529
2491 546
2508 563
2515 568
2510 562
2501 553
2493 540
2497 525
2507 512
2520 506
2538 510
2562 517
2587 527
2612 539
2636 555
2659 566
2675 569
2673 563
2664 550
2651 534
2637 518
2636 512
2644 520
2659 530
2674 542
2696 559
2721 573
2744 580
2751 574
2744 561
2730 544
2716 525
2712 511
2718 508
2730 514
2746 527
2764 544
2785 564
2806 581
2821 581
2828 573
2825 563
2820 548
2820 529
2826 512
2841 500
2862 492
2889 494
2921 500
2947 511
2967 528
2981 549
2979 568
2972 582
2959 585
2941 578
2922 567
2906 552
2903 532
2910 509
2927 487
2954 477
2993 479
3038 487
3079 500
3111 516
.PEN_UP
.PEN_DOWN
2311 678
2321 678
2330 678
2352 678
2372 678
2442 678
2464 678
2488 680
2512 681
.PEN_UP
.PEN_DOWN
2643 737
2647 727
2638 722
2625 722
.PEN_UP
.PEN_DOWN
3281 544
3281 554
3279 539
3274 527
3269 513
3236 436
3224 416
3207 391
.PEN_UP
.PEN_DOWN
3476 513
3486 510
3496 510
3513 510
3523 510
3565 532
3580 541
3601 554
3623 570
3644 590
3650 605
3645 602
3634 592
3621 579
3621 563
3626 547
3636 537
3648 539
3664 545
3683 556
3698 569
3700 574
3694 569
3691 561
3694 548
3701 538
3714 532
3733 535
3756 544
3779 557
3799 574
3812 592
3815 596
3812 589
3810 578
3813 566
3821 555
3836 548
3857 550
3884 556
3911 565
3934 579
3937 596
3927 607
3911 608
3895 601
3873 590
3860 573
3865 553
3880 533
3901 518
3931 510
3966 510
4000 514
4028 521
.PEN_UP
.PEN_DOWN
4264 513
4274 510
4283 510
4303 510
4320 510
4368 529
4387 540
4407 553
4422 571
4423 591
4416 606
4406 614
4391 609
4373 601
4353 589
4344 574
4352 558
4365 545
4381 536
4399 534
4425 536
4450 540
4474 545
4500 550
4528 561
4556 574
4590 592
4623 617
4651 642
4676 673
4693 705
4703 734
4701 763
4695 780
4683 783
4666 775
4645 760
4621 743
4596 716
4571 681
4548 647
4527 614
4512 584
4504 558
4507 536
4517 519
4532 508
4551 501
4574 501
4596 504
4619 507
4641 512
4663 521
4681 535
4683 551
4674 562
4663 558
4650 550
4637 538
4630 521
4635 504
4646 489
4660 479
4676 478
4700 479
4724 484
4748 491
4771 502
4793 517
4813 531
4836 542
4850 548
4848 551
4837 548
4827 542
4815 530
4807 512
4816 496
4829 486
4851 490
4877 499
4908 511
4940 526
4973 552
5007 581
5044 618
5083 659
5119 696
5147 732
5153 756
5142 761
5124 750
5100 731
5070 705
5041 672
5018 636
5002 606
4992 579
4990 553
4993 530
5001 510
5015 497
5035 493
5060 496
5087 502
5116 511
5144 522
5172 537
5188 553
5183 567
5174 578
5162 584
5145 580
5130 572
5117 559
5112 542
5116 521
5128 502
5143 488
5163 484
5186 489
5208 496
5231 506
5257 517
5282 530
5309 545
5331 556
5337 563
5329 565
5313 562
5295 554
5276 542
5262 526
5267 507
5277 493
5293 487
5312 492
5335 503
5361 521
5385 547
5407 583
5427 626
5448 672
5470 718
5489 758
5494 778
5483 770
5466 756
5443 729
5414 697
5385 661
5363 619
5356 583
5362 551
5375 524
5392 502
5416 490
5442 492
.PEN_UP
.PEN_DOWN
4961 669
4952 671
4942 674
4930 674
4942 674
5025 654
5066 647
5114 643
5169 644
5213 648
.PEN_UP
.PEN_DOWN
5678 491
5688 493
5700 505
5710 513
5724 515
5775 540
5792 548
5811 556
5833 562
5852 565
5861 561
5856 550
5846 533
5832 511
5824 490
5830 487
5839 500
5855 514
5877 532
5904 551
5934 564
5955 561
5960 551
5956 537
5958 518
5965 501
5978 487
5999 480
6026 483
6055 489
6081 499
6104 517
6124 534
6144 541
6159 534
6165 523
6159 509
6148 497
6132 485
6114 481
6098 487
6098 497
6106 508
6118 521
6140 532
6165 540
6192 543
6217 544
6237 546
6262 555
6290 576
6319 605
6347 638
6370 670
6387 694
6387 703
6380 698
6368 682
6352 661
6333 633
6314 597
6304 563
6305 532
6311 506
6322 488
6341 477
6365 474
6393 479
6423 489
6443 503
6446 518
.PEN_UP
.PEN_DOWN
6273 652
6307 644
6334 639
6356 635
6378 635
6432 638
6445 642
.PEN_UP
.PEN_DOWN
6578 510
6592 508
6602 508
6617 508
6634 508
6689 519
6709 536
6736 562
6770 596
6804 638
6834 677
6855 712
6864 741
6858 751
6844 743
6827 726
6805 702
6779 671
6759 634
6744 600
6744 568
6751 545
6760 529
6779 521
6802 523
6829 529
6859 539
6887 546
6905 543
6905 533
6894 520
6880 503
6862 492
6845 499
6838 511
6844 525
6859 542
6877 557
6897 568
6922 571
.PEN_UP
.PEN_DOWN
6712 639
6734 639
6756 639
6770 639
6797 639
6876 639
.PEN_UP
.PEN_DOWN
7199 467
7214 467
7224 469
7233 474
7243 479
7293 500
7307 509
7323 519
7340 531
7348 541
7343 546
7334 543
7320 537
7304 526
7292 510
7297 495
7306 483
7322 481
7341 485
7363 493
7385 504
7389 509
7383 503
7375 491
7365 466
7348 431
7322 387
7290 343
7255 304
7221 270
7192 246
7170 237
7170 243
7185 258
7206 277
7237 301
7276 332
7321 359
7365 384
7406 408
7445 432
7479 456
7512 479
7540 498
7549 514
7545 525
7535 527
7523 521
7509 510
7501 496
7508 479
7517 462
7530 452
7546 448
7569 451
7593 457
7620 470
7647 489
7674 518
7702 551
7727 583
7749 613
7757 635
7752 647
7744 648
7730 642
7715 632
7697 612
7680 586
7666 554
7658 522
7661 493
7668 469
7682 451
7707 444
7739 448
7774 457
7803 469
7812 481
.PEN_UP
.PEN_DOWN
7633 591
7643 591
7655 591
7682 591
7706 591
7770 591
7793 591
.PEN_UP
.PEN_DOWN
7977 440
7987 440
7997 442
8006 447
8026 450
8087 464
8111 474
8136 491
8160 513
8172 527
8167 526
8158 519
8147 508
8137 491
8134 471
8139 453
8152 442
8171 446
8194 454
8222 468
8248 486
8271 504
8294 512
8309 507
8308 498
8300 484
8290 468
8278 451
8279 446
8287 453
8300 464
8318 478
8341 495
8366 513
8388 522
8400 517
8399 508
8394 494
8395 476
8402 459
8416 446
8434 443
8457 450
8482 464
8505 482
8530 501
8552 519
8564 526
8562 520
8555 509
8548 494
8551 476
8558 458
8570 452
8589 457
8612 468
8639 481
8665 500
8687 524
8697 538
8698 538
8695 530
8697 520
8703 509
8717 500
8737 493
8761 497
8784 507
8801 521
8817 540
8830 547
8839 542
8837 532
8831 518
8822 502
8808 487
8790 485
8773 492
8768 503
8775 516
8786 533
8803 551
8823 563
8847 571
8870 572
8891 569
8912 567
8933 566
8952 566
8975 571
9002 581
9030 597
9056 618
9079 644
9100 673
9120 705
9135 739
9139 768
9130 780
9116 775
9096 758
9068 735
9037 703
9007 666
8980 630
8962 596
8951 566
8953 539
8959 515
8970 497
8987 488
9009 490
9032 493
9054 499
9073 506
9091 515
9111 527
9131 534
9137 528
9139 518
9138 504
9138 488
9140 471
9147 461
9159 466
9176 475
9199 489
9223 506
9247 525
9269 542
9276 551
9278 548
9278 539
9281 526
9292 516
9308 510
9330 511
9356 514
9380 517
9394 524
9390 534
9384 536
9374 530
9364 520
9355 506
9357 491
9365 475
9376 466
9392 462
9410 465
9431 470
9452 477
9472 486
9494 499
9515 512
9538 528
9561 541
9575 547
9566 547
9554 544
9538 540
9526 530
9519 515
9526 497
9538 482
9554 478
9574 487
9599 503
9621 526
9646 559
9669 601
9690 647
9711 690
9722 726
9716 747
9703 740
9681 721
9654 693
9626 654
9604 610
9596 566
9602 530
9613 504
9629 482
9648 475
9671 475
.PEN_UP
.PEN_DOWN
8294 657
8289 645
.PEN_UP
.PEN_DOWN
10001 462
10015 462
10025 467
10047 472
10067 481
10155 525
10191 549
10238 582
10289 618
10342 658
10383 698
10414 735
10433 768
10434 797
10426 816
10417 822
10403 817
10383 808
10357 792
10329 767
10298 733
10269 693
10241 651
10212 606
10185 563
10166 521
10165 489
10175 471
10189 468
10212 474
10240 483
10270 499
10299 520
10324 540
10336 549
10343 542
10345 531
10351 520
10361 514
10380 513
10404 518
10429 525
10455 533
10479 540
10492 551
10486 556
10476 554
10462 547
10450 535
10442 519
10444 501
10453 483
10469 472
10488 466
10510 468
10533 471
10558 477
10582 486
10604 496
10627 511
10648 526
10670 539
10688 543
10694 544
10688 542
10677 541
10664 537
10648 527
10633 510
10632 490
10640 473
10650 463
10664 465
10683 471
10706 478
10729 485
10756 495
10779 506
10804 518
10828 531
10850 543
10870 552
10874 551
10867 545
10856 538
10842 529
10829 516
10821 500
10827 485
10838 474
10853 479
10868 487
10885 500
10898 509
10903 505
10901 498
10901 487
10907 476
10919 470
10938 472
10961 480
10987 492
11010 505
11028 520
11032 524
11031 517
11030 506
11030 492
11036 481
11049 477
11067 483
11088 493
11108 507
11122 519
11124 520
11121 512
11120 500
11122 486
11129 472
11143 465
11163 469
11188 478
11213 491
11236 508
11258 532
11273 544
11280 537
11278 527
11270 511
11258 490
11243 469
11225 449
11204 440
11197 442
11203 444
11214 445
11230 445
11249 445
11275 446
11302 448
11329 454
11357 464
11377 479
11391 498
11396 520
11391 536
11381 547
11366 545
11347 537
11331 526
11328 509
11339 490
11357 472
11383 459
11416 453
11452 454
11484 459
.PEN_UP
.PEN_DOWN
11649 459
11659 459
11676 459
11686 459
11705 462
11769 490
11791 501
11817 518
11839 537
11849 548
11846 547
11840 539
11835 527
11834 512
11839 497
11848 485
11861 479
11879 480
11901 487
11924 497
11947 512
11956 522
11955 517
11952 510
11946 498
11947 482
11955 469
11967 462
11985 468
12008 477
12031 489
12055 503
12075 523
12088 540
12092 543
12088 536
12088 525
12094 513
12103 504
12122 495
12149 497
12179 502
12211 512
12237 526
12250 545
12244 562
12235 570
12219 565
12200 554
12183 542
12178 526
12186 510
12198 497
12217 488
12248 487
12287 491
12325 496
12359 502
.PEN_UP
.PEN_DOWN
12622 467
12644 472
12671 481
12705 491
12739 506
12845 565
12889 591
12936 626
12977 663
13015 702
13035 738
13035 766
13027 786
13015 786
12995 772
12967 747
12932 714
12895 671
12854 623
12812 573
12771 527
12732 485
12701 450
12683 432
12687 429
12700 436
12715 447
12736 462
12760 481
12785 500
12810 516
12834 524
12850 518
12858 509
12860 497
12860 482
12865 467
12876 458
12894 456
12919 458
12946 463
12974 471
13001 482
13027 497
13051 514
13075 531
13087 543
13084 543
13073 538
13059 530
13039 518
13020 501
13012 481
13018 465
13028 454
13042 454
13057 461
13074 473
13090 489
13103 508
13112 522
13115 519
13110 510
13113 498
13120 486
13133 480
13152 483
13177 490
13202 500
13227 511
13251 523
13271 534
13279 535
13274 530
13265 521
13257 507
13251 489
13247 468
13250 453
13259 448
13273 453
13293 460
13316 471
13339 486
13359 506
13378 529
13389 546
13386 544
13382 532
13382 519
13388 506
13398 495
13415 488
13439 490
13465 496
13493 507
13518 519
13532 537
13528 554
13521 568
13505 574
13486 568
13468 555
13459 540
13465 520
13479 496
13499 480
13526 469
13561 468
13595 471
13625 479
13653 491
.PEN_UP
.PEN_DOWN
13938 407
13948 405
13958 405
13968 405
13985 407
14071 437
14104 453
14149 477
14205 510
14264 548
14318 588
14360 626
14392 665
14416 703
14430 734
14427 761
14420 771
14409 766
14395 756
14377 737
14353 714
14328 685
14298 652
14269 617
14239 581
14212 545
14188 512
14168 481
14156 454
14151 427
14157 407
14168 394
14183 390
14203 395
14229 404
14254 416
14280 432
14304 451
14324 470
14332 482
14334 481
14332 473
14335 462
14344 452
14358 444
14378 440
14403 442
14428 446
14454 452
14473 463
14475 477
14466 485
14454 482
14443 474
14432 462
14426 447
14431 430
14440 416
14457 407
14478 403
14502 404
14527 406
14549 413
14572 422
14595 436
14615 453
14623 471
14616 481
14605 476
14593 467
14585 454
14589 439
14596 425
14608 413
14626 410
14648 418
14674 429
14699 441
14723 454
14744 460
14754 455
14751 447
14746 435
14744 424
14749 420
14758 426
14771 437
14790 450
14812 464
14832 470
14845 464
14852 453
14860 441
14874 430
14896 425
14925 429
14955 435
.PEN_UP
.PEN_DOWN
15206 439
15197 437
15187 429
15177 422
15175 412
15213 412
15227 418
15243 428
15261 442
15288 459
15318 475
15349 489
15383 500
15402 507
15404 506
15397 503
15385 498
15370 492
15352 478
15348 459
15354 443
15368 433
15386 435
15409 441
15436 451
15454 466
15463 482
15465 487
15462 482
15460 472
15456 460
15457 444
15463 427
15474 418
15496 422
15528 433
15572 454
15620 480
15675 515
15733 561
15786 611
15833 665
15867 719
15887 767
15886 806
15878 833
15861 841
15839 830
15809 807
15777 777
15749 735
15723 688
15702 642
15686 593
15674 550
15667 509
15662 475
15659 448
15662 429
15669 430
15686 438
15708 453
15734 471
15763 490
15780 499
15784 494
15791 485
15800 478
15817 475
15839 478
15868 484
15900 498
15932 520
15968 550
16004 593
16041 640
16072 692
16098 739
16112 776
16107 799
16098 797
16077 780
16048 755
16014 718
15978 676
15949 630
15925 583
15907 541
15897 502
15897 467
15901 439
15911 419
15925 413
15945 419
15972 427
15998 437
16026 450
16052 468
16062 486
16057 500
16044 504
16024 498
16006 485
15996 468
16000 447
16014 427
16039 413
16075 407
16121 410
16167 417
16201 428
.PEN_UP
.PEN_DOWN
16494 446
16503 446
16530 449
16555 454
16577 461
16652 506
16678 524
16709 549
16743 577
16776 606
16804 633
16821 656
16817 671
16808 672
16798 663
16779 644
16755 620
16729 589
16704 555
16689 527
16689 501
16697 484
16712 479
16737 485
16766 494
16798 503
16828 512
16847 510
16854 498
16843 480
16826 458
16806 438
16786 434
16775 442
16780 453
16792 468
16813 488
16837 508
16861 515
16870 509
.PEN_UP
.PEN_DOWN
16662 612
16674 614
16701 614
16720 614
16740 612
16800 602
16820 598
16841 597
16867 598
.PEN_UP
.PEN_DOWN
17052 446
17064 449
17074 449
17084 451
17101 458
17151 497
17166 513
17182 529
17199 550
17212 562
17221 556
17224 544
17224 524
17218 498
17203 469
17182 441
17155 420
17128 413
17119 418
17125 426
17137 433
17155 438
17178 443
17209 446
17239 448
17268 449
17296 451
17322 457
17349 469
17374 486
17400 508
17424 531
17438 544
17437 547
17427 541
17408 532
17383 518
17356 499
17339 476
17340 455
17349 439
17362 433
17379 436
17397 445
17415 457
17430 473
17444 491
17451 497
17451 492
17446 481
17441 468
17444 451
17451 437
17463 432
17484 437
17514 450
17551 468
17594 495
17637 527
17678 562
17713 603
17740 642
17759 683
17766 716
17759 738
17748 742
17736 736
17721 719
17700 695
17676 661
17653 619
17631 580
17612 541
17598 506
17587 475
17588 447
17595 426
17606 417
17626 422
17648 433
17673 446
17699 462
17719 477
17722 478
17717 471
17714 460
17718 449
17729 438
17747 435
17769 439
17795 448
17818 461
17840 481
17861 504
17881 526
17892 536
17892 530
17886 518
17879 501
17868 482
17857 458
17842 437
17824 425
17815 423
17823 424
17837 424
17858 425
17887 426
17920 430
17955 441
17986 458
18015 484
18047 517
18078 552
18111 589
18139 625
18164 657
18177 688
18170 711
18161 719
18142 713
18116 695
18086 670
18051 637
18017 591
17985 543
17956 493
17929 441
17905 392
17884 349
17862 309
17857 283
17864 283
17878 298
17899 318
17925 346
17957 378
17986 408
18011 423
18026 419
18036 411
18048 403
18064 405
18087 411
18112 420
18137 434
18157 455
18174 478
18190 496
18195 498
18191 489
18196 481
18206 475
18223 480
18243 485
18268 497
18289 507
18294 502
18285 489
18271 469
18250 438
18222 397
18185 344
18146 295
18108 247
18073 207
18045 185
18032 186
18040 201
18059 223
18087 252
18122 283
18166 315
18209 338
18247 353
.PEN_UP
.PEN_DOWN
17574 617
17610 617
17642 617
17671 612
17703 612
17809 614
17837 617
17858 621
17856 622
.PEN_UP
.PEN_DOWN
17879 722
17888 722
17903 722
17913 719
17925 714
.PEN_UP
.PEN_DOWN
18605 541
18603 527
18603 517
18608 500
18613 490
18643 458
18656 451
18674 451
18697 456
18722 466
18747 478
18766 488
18777 486
18776 475
18766 458
18750 434
18728 410
18704 395
18687 398
18684 405
18688 420
18696 439
18707 460
18723 484
18743 502
18764 508
18785 506
18806 501
18830 498
18854 495
18880 497
18909 501
