


.DATE		08 ? 92
.STYLE		MIXED
.WRITER_ID	jhkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Jeong-hyun
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
	50 28
	52 31
	54 34
	57 36
	60 36
	60 33
	60 30
	60 26
	60 23
	59 18
	59 14
	57 11
	56 8
	56 5
	57 10
	59 14
	62 18
	63 23
	66 26
	70 29
	72 32
	73 29
	73 26
	73 22
	73 18
	73 13
	73 10
	73 7
	73 4
	75 7
	76 10
	78 13
	79 16
	84 20
	87 23
	88 26
	88 29
	90 32
	90 29
	90 26
	90 23
	90 20
	89 16
	89 13
	89 10
	89 7
	89 4
	92 3
	95 7
	96 11
	99 12
	101 16
	104 19
	106 22
	106 26
	109 28
	112 26
	115 26
	118 26
	120 29
	117 30
	114 30
	111 28
	107 24
	105 17
	103 13
	103 9
	103 5
	104 1
	108 0
	110 3
	114 7
	115 10
	118 14
	120 17
	120 20
	121 23
	122 19
	122 16
	122 13
	122 10
	121 5
	121 2
	125 7
	127 11
	129 16
	132 21
	135 24
	137 27
	140 28
	141 24
	140 20
	139 16
	139 12
	138 9
	138 5
	141 9
	143 12
	146 16
	149 21
	153 25
	156 28
	156 25
	155 22
	153 18
	153 14
	153 11
	154 7
	157 5
	160 5
	164 5
	168 5
	170 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	114 59
	113 55
	113 50
	113 46
	113 42
	113 35
	113 26
	113 23
	114 18
	114 14
	114 11
	114 7
	114 4
	114 0
	114 3
	115 7
	115 10
	117 13
	119 16
	122 18
	125 21
	129 23
	133 22
	136 19
	136 16
	135 13
	131 10
	126 9
	123 8
	120 8
	117 8
	113 9
	115 11
.PEN_UP
.PEN_DOWN
	148 29
	147 26
	145 22
	145 18
	145 14
	147 11
	148 8
	150 5
	153 5
	156 8
	159 12
	159 16
	162 20
	162 23
	163 26
	163 23
	163 20
	162 15
	162 12
	162 9
	166 8
	171 8
	174 11
	178 13
	181 16
	184 18
	185 21
	188 24
	190 27
	193 30
	196 34
	196 37
	196 40
	196 47
	198 51
	195 51
	191 48
	191 45
	188 43
	187 39
	186 34
	186 31
	186 28
	185 24
	185 21
	185 18
	185 15
	187 11
	190 8
	193 6
	196 6
	199 6
	201 5
.PEN_UP
.PEN_DOWN
	170 36
	173 38
	176 38
	180 38
	187 39
	190 39
	193 40
	196 40
	199 40
	202 40
	207 40
	210 40
	212 41
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	66 10
	71 16
	74 20
	77 25
	81 30
	83 33
	86 38
	87 41
	90 45
	92 49
	92 53
	89 51
	87 48
	86 45
	85 42
	85 37
	84 32
	84 28
	84 25
	84 22
	84 16
	86 13
	89 12
	92 14
	94 18
	96 21
	98 25
	102 29
	103 32
	106 35
	109 40
	111 43
	113 48
	116 51
	118 57
	118 61
	119 64
	116 64
	114 61
	113 57
	112 54
	111 51
	110 46
	110 43
	109 39
	109 36
	108 33
	108 27
	108 24
	106 18
	106 13
	106 10
	106 6
	106 3
	104 0
	103 3
	105 6
	106 9
	108 12
	110 15
	114 19
	116 23
	121 26
	122 29
	124 26
	125 22
	125 19
	124 16
	124 13
	124 10
	124 7
	124 4
	127 3
	131 2
	135 3
	137 6
	140 9
	143 12
	145 16
	146 19
	147 23
	147 26
	144 28
	141 26
	138 24
	137 21
	136 17
	136 13
	136 9
	138 5
	141 3
	144 3
	148 3
	151 3
	154 3
	158 4
	161 6
	160 6
.PEN_UP
.PEN_DOWN
	72 42
	77 44
	81 45
	84 45
	87 46
	92 47
	96 47
	102 47
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	66 38
	69 40
	72 43
	75 45
	79 48
	83 50
	87 53
	90 57
	93 61
	96 65
	98 69
	98 72
	100 75
	97 71
	95 67
	93 63
	90 56
	88 53
	88 50
	85 45
	84 40
	82 37
	81 32
	81 29
	80 24
	79 20
	78 16
	78 12
	78 9
	78 6
	78 2
	81 0
	83 3
	86 7
	89 8
	90 11
	91 14
	91 17
	88 19
	85 21
	86 24
	89 24
	92 25
	95 26
	98 27
	102 28
	105 29
	108 30
	111 32
	114 33
	116 36
	119 38
	120 41
	122 44
	123 47
	123 50
	123 53
	120 53
	117 52
	114 51
	112 48
	110 45
	108 42
	107 39
	106 36
	105 33
	105 30
	105 27
	105 24
	108 23
	111 22
	114 22
	117 23
	120 23
	123 24
	126 24
	129 26
	132 26
	134 29
	137 31
	139 34
	142 36
	144 39
	144 42
	144 45
	141 47
	138 48
	135 47
	132 47
	130 44
	129 41
	129 38
	128 35
	128 32
	129 29
	129 26
	131 23
	133 20
	136 19
	139 18
	142 19
	145 20
	148 22
	151 25
	154 26
	157 28
	159 31
	164 35
	165 38
	165 41
	168 44
	170 47
	172 50
	175 53
	177 56
	179 59
	181 62
	184 65
	185 68
	186 71
	188 74
	190 77
	192 81
	193 84
	195 87
	197 90
	198 93
	195 93
	192 92
	189 89
	187 86
	185 83
	183 80
	182 77
	180 74
	179 71
	177 68
	175 65
	174 62
	172 59
	171 56
	170 53
	168 50
	167 47
	166 44
	166 41
	166 38
	166 35
	167 32
	170 30
	172 27
	175 27
	178 28
	180 31
	183 32
	184 35
	185 38
	187 41
	189 44
	190 47
	191 50
	194 49
	196 46
	199 46
	202 46
	205 46
	208 46
	211 47
	214 48
	217 48
	220 49
	222 52
	225 53
	226 56
	227 59
	227 62
	229 65
	229 68
	229 71
	227 74
	224 75
	221 72
	218 70
	217 67
	214 64
	212 61
	210 58
	210 55
	208 52
	207 49
	206 46
	206 43
	206 40
	206 37
	207 34
	208 30
	209 27
	210 24
	211 21
	211 18
	212 15
	215 13
	218 14
	221 15
	224 18
	228 20
	231 22
	234 25
	235 28
	236 31
	239 33
	239 36
	239 39
	238 42
	235 42
	232 43
	229 42
	227 39
	227 36
	226 33
	226 30
	226 27
	227 24
	230 22
	231 19
	234 18
	237 18
	241 18
	244 18
	247 18
	251 18
	254 19
	258 19
	261 20
	264 20
	269 20
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	77 12
	80 15
	81 18
	81 21
	79 24
	75 28
	72 31
	69 31
	66 28
	65 24
	63 19
	63 16
	63 13
	63 8
	65 5
	68 2
	71 2
	74 4
	77 6
	79 10
	81 14
	82 17
	82 14
	82 11
	83 7
	84 4
	88 3
	91 1
	94 0
	97 0
	102 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	83 0
	86 2
	89 4
	91 7
	95 9
	98 13
	101 16
	104 20
	106 23
	109 26
	110 29
	112 33
	113 36
	113 39
	110 41
	111 37
	114 35
	118 34
	122 33
	126 33
	128 30
	128 26
	128 23
	127 20
	125 16
	122 13
	120 10
	120 7
	121 4
	125 5
	128 6
	131 9
	137 12
	140 14
	144 17
	145 20
	147 23
	148 26
	149 29
	150 33
	150 36
	147 36
	143 34
	140 31
	138 28
	135 25
	133 22
	133 19
	133 16
	133 13
	135 10
	137 7
	141 5
	145 6
	148 6
	151 7
	156 8
	159 11
	162 14
	166 16
	169 20
	172 22
	175 26
	179 29
	180 32
	177 33
	174 32
	171 31
	168 29
	165 26
	164 22
	162 19
	161 16
	161 12
	164 12
	168 10
	172 10
	176 10
	181 12
	185 13
	189 16
	192 19
	194 23
	196 26
	198 29
	201 30
	205 32
	209 33
	212 33
	209 34
	206 35
	203 34
	200 33
	197 31
	195 28
	192 25
	191 22
	191 19
	190 16
	189 13
	189 10
	192 8
	195 8
	199 10
	202 11
	205 13
	208 16
	211 19
	212 22
	214 25
	216 29
	219 33
	220 37
	222 41
	223 44
	223 48
	224 52
	225 55
	226 58
	226 61
	227 65
	224 63
	224 60
	222 57
	220 53
	218 50
	217 46
	215 43
	213 38
	213 35
	212 32
	211 29
	211 26
	211 20
	211 17
	214 13
	217 10
	221 7
	223 4
	227 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	120 31
	120 28
	120 24
	121 21
	121 18
	122 14
	123 10
	123 7
	123 12
	125 16
	125 19
	126 22
	128 25
	130 29
	134 31
	135 28
	136 24
	136 19
	136 14
	136 10
	137 6
	139 4
.PEN_UP
.PEN_DOWN
	148 15
	151 13
	154 12
	157 12
	161 13
	165 15
	166 18
	166 22
	165 25
	161 26
	157 24
	154 21
	151 17
	151 13
	151 9
	153 6
	155 3
	160 1
	164 0
	168 0
	172 1
	177 4
	180 5
	183 6
	188 9
	191 12
	192 15
	192 18
	192 22
	191 25
	188 27
	185 27
	181 24
	178 21
	176 18
	176 15
	176 12
	177 8
	180 7
	182 4
	188 2
	192 2
	195 2
	198 2
.PEN_UP
.PEN_DOWN
	221 16
	219 20
	215 21
	212 21
	209 20
	206 20
	202 17
	200 14
	199 11
	199 8
	199 5
	202 4
	205 4
	209 5
	213 8
	216 11
	219 15
	222 21
