.VERSION 1.0
.INCLUDE kar/kar2.doc
.INCLUDE kar/data/kar2/mmp_0082.dat
.SEGMENT WORD 0 ? "ayes"
.SEGMENT WORD 4-6 ? "benefactor"
.SEGMENT WORD 11-16 ? "contributory"
.SEGMENT WORD 17-20 ? "daughtridge"
.SEGMENT WORD 22-23 ? "edwin"
.SEGMENT WORD 32-35 ? "fineberg"
.SEGMENT WORD 36-39 ? "friesz"
.SEGMENT WORD 45-46 ? "irregular"
.SEGMENT WORD 49-50 ? "kirchner"
.SEGMENT WORD 51-53 ? "kremlin"
.SEGMENT WORD 54 ? "krumholz"
.SEGMENT WORD 55 ? "larzelere"
.SEGMENT WORD 56-58 ? "latino"
.SEGMENT WORD 61-62 ? "lieder"
.SEGMENT WORD 64 ? "newlan"
.SEGMENT WORD 67 ? "pea"
.SEGMENT WORD 68 ? "peaches"
.SEGMENT WORD 69-70 ? "penton"
.SEGMENT WORD 71-72 ? "reichl"
.SEGMENT WORD 74 ? "sember"
.SEGMENT WORD 77-79 ? "sheltering"
.SEGMENT WORD 84 ? "surely"
.SEGMENT WORD 100-101 ? "viles"
.SEGMENT WORD 102 ? "wohlwend"
.SEGMENT WORD 105 ? "zupan"
