
.WRITER_ID Kristin_Weber
.STYLE MIXED

.PEN_DOWN
544 15592
542 15595
542 15595
543 15585
546 15548
552 15498
560 15442
569 15399
575 15373
578 15363
578 15363
577 15377
573 15416
567 15465
560 15521
553 15579
550 15634
552 15654
551 15656
562 15650
586 15625
612 15583
634 15531
651 15479
658 15436
657 15406
649 15387
640 15377
623 15377
601 15381
579 15390
563 15400
558 15405
556 15406
560 15400
573 15390
592 15381
617 15381
643 15390
669 15406
690 15429
707 15455
716 15482
718 15504
716 15511
711 15508
701 15478
694 15438
694 15399
702 15374
716 15359
737 15355
763 15368
788 15394
802 15423
803 15456
799 15497
786 15533
766 15547
740 15546
714 15530
701 15520
697 15510
701 15495
716 15478
738 15464
770 15458
802 15463
831 15478
852 15500
870 15530
877 15566
878 15605
872 15643
862 15671
850 15677
835 15670
819 15640
808 15595
803 15540
805 15487
813 15442
829 15410
850 15390
875 15381
901 15390
925 15416
946 15453
959 15506
964 15566
963 15635
958 15677
948 15696
937 15697
922 15686
905 15653
889 15604
878 15553
878 15509
890 15474
910 15448
937 15432
967 15429
993 15434
1011 15448
1026 15469
1035 15501
1041 15536
1044 15563
1046 15573
1047 15572
1058 15562
1067 15550
1074 15536
1080 15527
1083 15523
1085 15521
1085 15521
1085 15527
1082 15540
1074 15556
1060 15562
1041 15552
1013 15520
998 15485
993 15455
998 15432
1009 15416
1022 15412
1039 15416
1056 15432
1074 15459
1088 15491
1096 15529
1099 15557
1096 15564
1087 15555
1076 15524
1069 15491
1065 15458
1069 15432
1075 15416
1084 15408
1093 15407
1108 15422
1121 15446
1130 15478
1143 15521
1161 15560
1171 15578
1174 15578
1176 15559
1175 15527
1171 15493
1171 15464
1176 15442
1182 15433
1190 15431
1201 15436
1210 15451
1217 15476
1223 15508
1230 15543
1238 15570
1245 15578
1251 15575
1260 15560
1269 15537
1277 15510
1282 15484
1286 15461
1284 15442
1279 15432
1271 15426
1260 15428
1244 15436
1232 15449
1226 15459
1225 15465
1228 15469
1238 15471
1255 15474
1271 15478
1284 15481
1297 15486
1315 15494
1331 15501
1346 15508
1359 15514
1367 15517
1370 15517
1370 15517
1371 15517
1375 15517
1381 15517
1384 15517
1384 15517
1384 15517
1385 15517
1384 15517
1386 15521
1393 15526
.PEN_UP
.PEN_DOWN
1466 15397
1468 15383
1475 15370
1488 15360
1507 15360
1532 15371
1562 15391
1583 15416
1594 15443
1598 15478
1598 15510
1594 15533
1585 15543
1568 15536
1546 15504
1527 15460
1520 15419
1526 15386
1540 15364
1555 15357
1570 15357
1585 15368
1601 15390
1615 15422
1626 15458
1635 15497
1643 15521
1646 15524
1650 15517
1654 15487
1653 15442
1653 15403
1659 15373
1666 15354
1669 15347
1670 15347
1668 15351
1667 15373
1672 15407
1685 15455
1700 15498
1709 15517
1713 15519
1722 15505
1726 15478
1730 15448
1734 15423
1742 15407
1752 15399
1765 15397
1776 15403
1785 15419
1789 15435
1793 15452
1795 15475
1797 15500
1800 15519
1803 15530
1804 15534
1807 15534
1813 15517
1813 15484
1808 15442
1804 15399
1802 15351
1807 15306
1817 15263
1826 15221
1826 15188
1817 15165
1809 15153
1800 15152
1782 15158
1759 15178
1739 15204
1730 15237
1731 15277
1742 15316
1761 15352
1786 15387
1810 15413
1830 15432
1843 15445
1856 15458
1862 15469
1865 15478
1867 15488
1865 15491
1865 15494
1865 15494
1863 15494
1860 15481
1856 15455
1853 15423
1854 15387
1859 15359
1867 15341
1876 15334
1888 15335
1902 15350
1914 15374
1921 15406
1923 15442
1917 15478
1899 15507
1872 15521
1843 15523
1826 15521
1824 15520
1826 15517
1835 15511
1857 15510
1882 15513
1904 15517
1921 15524
1932 15530
1938 15530
