.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Handprinted Characters

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY CHARACTER
.STYLE PRINTED

.COMMENT previously: .WRITER_ID KWBA4613
.WRITER_ID kw

.PEN_DOWN
1872 2547 1248005
1872 2543 1248019
1872 2536 1248033
1872 2536 1248047
1872 2536 1248061
1868 2540 1248075
1868 2543 1248089
1868 2555 1248103
1868 2567 1248117
1872 2587 1248131
1880 2611 1248145
1888 2642 1248159
1900 2674 1248173
1912 2713 1248187
1931 2749 1248201
1951 2792 1248215
1971 2832 1248229
1995 2875 1248243
2018 2915 1248257
2050 2954 1248271
2078 2986 1248285
2109 3014 1248299
2137 3041 1248313
2169 3057 1248327
2193 3073 1248341
2220 3081 1248355
2244 3085 1248369
2268 3085 1248383
2292 3081 1248397
2315 3073 1248411
2335 3065 1248425
2355 3053 1248439
2367 3045 1248453
2379 3037 1248467
2391 3025 1248481
2398 3014 1248495
2406 3010 1248509
2410 3002 1248523
2414 2998 1248537
2414 2990 1248551
2414 2990 1248565
2406 2990 1248579
2402 2994 1248593
2391 2994 1248607
2379 3002 1248621
2363 3006 1248635
2347 3014 1248649
2323 3022 1248663
2307 3025 1248677
2280 3029 1248691
2256 3033 1248705
2232 3037 1248719
2204 3037 1248733
2181 3037 1248747
2153 3033 1248761
2129 3025 1248775
2106 3010 1248789
2086 2994 1248803
2062 2974 1248817
2042 2950 1248831
2022 2923 1248845
2007 2891 1248859
1991 2860 1248873
1979 2824 1248887
1967 2788 1248901
1959 2745 1248915
1959 2705 1248929
1959 2666 1248943
1963 2626 1248957
1971 2591 1248971
1983 2559 1248985
2003 2532 1248999
2018 2512 1249013
2034 2496 1249027
2054 2484 1249041
2078 2476 1249055
2098 2480 1249069
2121 2492 1249083
2145 2508 1249097
2165 2532 1249111
2189 2567 1249125
2208 2603 1249139
2228 2646 1249153
2248 2694 1249167
2268 2745 1249181
2288 2804 1249195
2307 2863 1249209
2323 2931 1249223
2339 2998 1249237
2355 3061 1249251
2371 3128 1249265
2387 3191 1249279
2394 3247 1249293
2402 3302 1249307
2410 3353 1249321
2414 3393 1249335
2414 3432 1249349
2418 3464 1249363
2418 3488 1249377
2418 3500 1249391
2414 3500 1249405
2406 3492 1249419
2402 3476 1249433
2391 3448 1249447
2383 3421 1249461
2375 3381 1249475
2367 3342 1249489
2355 3298 1249503
2351 3243 1249517
2343 3191 1249531
2335 3132 1249545
2331 3077 1249559
2327 3018 1249573
2327 2966 1249587
2347 2781 1249601
2363 2741 1249615
2375 2701 1249629
2391 2670 1249643
2410 2638 1249657
2430 2615 1249671
2454 2595 1249685
2478 2583 1249699
2501 2579 1249713
2525 2587 1249727
2549 2607 1249741
.PEN_UP
