.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Handprinted Characters

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY CHARACTER
.STYLE PRINTED

.COMMENT previously: .WRITER_ID KWBA4691
.WRITER_ID kw

.PEN_DOWN
1820 2781 1664776
1820 2777 1664790
1820 2773 1664804
1824 2769 1664818
1832 2769 1664832
1844 2773 1664846
1856 2781 1664860
1876 2796 1664874
1896 2816 1664888
1915 2840 1664902
1935 2871 1664916
1959 2907 1664930
1983 2942 1664944
2007 2978 1664958
2030 3022 1664972
2050 3061 1664986
2070 3104 1665000
2086 3144 1665014
2098 3180 1665028
2106 3211 1665042
2113 3235 1665056
2121 3259 1665070
2121 3278 1665084
2125 3290 1665098
2125 3298 1665112
2125 3302 1665126
2129 3306 1665140
2133 3302 1665154
2141 3290 1665168
2149 3278 1665182
2161 3266 1665196
2173 3247 1665210
2193 3231 1665224
2208 3207 1665238
2232 3184 1665252
2260 3156 1665266
2288 3128 1665280
2315 3101 1665294
2343 3073 1665308
2367 3049 1665322
2391 3022 1665336
2414 2998 1665350
2434 2974 1665364
2446 2950 1665378
2458 2927 1665392
2466 2907 1665406
2462 2887 1665420
2454 2871 1665434
2438 2856 1665448
2418 2840 1665462
2391 2828 1665476
2363 2820 1665490
2335 2812 1665504
2299 2800 1665518
2268 2792 1665532
2236 2788 1665546
2204 2788 1665560
2173 2792 1665574
2145 2796 1665588
2125 2804 1665602
.PEN_UP
