.WRITER_ID	ghr
.STYLE		MIXED

.DATE		11 10 92
.HAND		R
.SKILL		BAD
.COUNTRY	PAKISTAN
.SEX		M
.WRITER_INFO
         Place of Residence:	UK
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
2003 2797
2007 2805
2007 2809
2016 2818
2016 2822
2007 2830
2007 2839
2003 2839
1995 2839
1995 2843
1990 2843
1990 2839
1982 2839
1978 2839
1969 2839
1961 2830
1957 2830
1948 2830
1944 2822
1936 2822
1932 2818
1923 2818
1923 2809
1915 2805
1902 2797
1898 2793
1898 2784
1890 2784
1885 2776
1885 2772
1877 2772
1877 2763
1877 2759
1877 2751
1885 2751
1890 2751
1898 2759
1902 2759
1911 2759
1915 2759
1923 2763
1932 2763
1936 2772
1944 2776
1948 2776
1957 2784
1961 2784
1969 2793
1978 2793
1978 2797
1982 2805
1990 2805
1990 2809
1995 2809
1990 2809
1990 2805
1982 2805
1978 2797
1978 2793
1969 2793
1969 2784
1969 2776
1969 2772
1969 2763
1978 2759
1982 2759
1982 2751
1990 2751
1995 2751
2003 2751
2007 2751
2007 2759
2016 2759
2024 2759
2028 2763
2037 2763
2037 2772
2041 2772
2041 2776
.PEN_UP
.PEN_DOWN
2146 2776
2158 2793
2158 2797
2158 2805
2154 2805
2154 2809
2146 2809
2142 2809
2133 2809
2129 2818
2121 2818
2112 2809
2108 2809
2100 2809
2095 2809
2087 2809
2083 2805
2074 2805
2066 2797
2062 2793
2053 2793
2053 2784
2049 2784
2049 2776
2049 2772
2041 2763
2041 2759
2049 2751
2049 2746
2053 2738
2062 2738
2066 2738
2066 2746
2074 2746
2083 2746
2087 2751
2095 2759
2100 2763
2108 2772
2121 2776
2129 2784
2129 2793
2133 2805
2142 2809
2146 2818
2154 2822
2158 2830
2167 2839
2167 2843
2171 2851
2179 2851
2179 2856
2179 2864
2188 2864
2179 2864
2171 2856
2171 2851
2167 2843
2158 2839
2158 2830
2154 2822
2154 2818
2146 2809
2146 2805
2146 2797
2142 2793
2142 2784
2133 2776
2133 2772
2133 2763
2133 2759
2133 2751
2133 2746
2142 2738
2146 2738
2154 2738
2158 2738
2167 2738
2171 2738
2179 2746
2188 2746
2192 2746
2192 2751
2200 2751
2205 2751
2213 2759
2217 2759
2226 2763
2234 2763
.PEN_UP
.PEN_DOWN
2251 2763
2259 2763
2259 2772
2259 2776
2263 2784
2263 2793
2263 2797
2263 2805
2263 2809
2259 2809
2251 2809
2247 2809
2238 2809
2234 2809
2226 2809
2217 2805
2213 2805
2205 2797
2200 2797
2200 2793
2192 2793
2188 2784
2188 2776
2179 2772
2171 2772
2171 2763
2167 2763
2167 2759
2167 2751
2158 2746
2158 2738
2158 2734
2167 2734
2167 2725
2171 2725
2179 2725
2188 2725
2192 2734
2200 2738
2205 2738
2213 2746
2217 2746
2226 2751
2234 2759
2238 2763
2247 2772
2251 2776
2259 2784
2259 2793
2272 2797
2280 2805
2280 2818
2284 2822
2293 2822
2297 2830
2297 2839
2305 2843
2305 2851
2310 2851
2310 2856
2318 2864
2310 2864
2310 2856
2305 2856
2297 2851
2297 2843
2293 2843
2293 2839
2284 2839
2284 2830
2280 2822
2280 2818
2272 2818
2272 2809
2263 2805
2263 2797
2263 2793
2259 2793
2259 2784
2259 2776
2259 2772
2259 2763
2259 2759
2259 2751
2263 2751
2272 2759
2272 2751
2280 2759
2284 2759
2293 2763
2297 2763
2305 2772
2310 2776
2318 2776
2322 2784
2331 2793
2339 2797
2343 2805
2343 2809
2352 2818
2356 2822
2364 2822
2364 2830
2368 2839
2368 2843
2377 2851
2377 2856
2377 2864
2368 2864
2364 2856
2364 2851
2356 2851
2356 2843
2352 2839
2352 2830
