.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Handprinted Characters

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY CHARACTER
.STYLE PRINTED

.COMMENT previously: .WRITER_ID OABA4662
.WRITER_ID oa

.PEN_DOWN
2173 3507 1857784
2173 3507 1857798
2177 3511 1857812
2181 3515 1857826
2189 3527 1857840
2197 3531 1857854
2204 3543 1857868
2216 3555 1857882
2228 3567 1857896
2240 3579 1857910
2256 3594 1857924
2272 3610 1857938
2292 3626 1857952
2307 3638 1857966
2327 3650 1857980
2347 3666 1857994
2363 3673 1858008
2379 3681 1858022
2394 3689 1858036
2410 3693 1858050
2426 3697 1858064
2438 3697 1858078
2450 3697 1858092
2458 3697 1858106
2470 3701 1858120
2474 3701 1858134
2482 3701 1858148
2486 3701 1858162
2489 3701 1858176
2493 3701 1858190
2493 3701 1858204
2493 3701 1858218
2489 3701 1858232
2489 3705 1858246
2486 3705 1858260
2482 3709 1858274
2482 3709 1858288
2474 3709 1858302
2466 3709 1858316
2462 3709 1858330
2450 3709 1858344
2442 3709 1858358
2430 3709 1858372
2422 3709 1858386
2410 3709 1858400
2402 3709 1858414
2391 3705 1858428
2379 3701 1858442
2367 3701 1858456
2355 3693 1858470
2347 3689 1858484
2335 3685 1858498
2331 3677 1858512
2323 3673 1858526
2315 3666 1858540
2307 3658 1858554
2299 3650 1858568
2296 3642 1858582
2292 3630 1858596
2284 3622 1858610
2280 3610 1858624
2280 3602 1858638
2280 3590 1858652
2280 3579 1858666
2280 3567 1858680
2280 3559 1858694
2280 3547 1858708
2284 3535 1858722
2288 3527 1858736
2296 3519 1858750
2303 3511 1858764
2311 3504 1858778
2323 3500 1858792
2339 3496 1858806
2355 3492 1858820
2371 3488 1858834
2391 3492 1858848
2406 3500 1858862
2426 3507 1858876
2442 3523 1858890
.PEN_UP
