.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Handprinted Characters

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY CHARACTER
.STYLE PRINTED

.COMMENT previously: .WRITER_ID OABA4606
.WRITER_ID oa

.PEN_DOWN
2042 3448 1516480
2042 3448 1516494
2046 3448 1516508
2050 3452 1516522
2058 3456 1516536
2066 3464 1516550
2074 3472 1516564
2090 3480 1516578
2102 3496 1516592
2117 3507 1516606
2129 3523 1516620
2145 3543 1516634
2161 3559 1516648
2173 3575 1516662
2189 3590 1516676
2201 3606 1516690
2208 3618 1516704
2220 3630 1516718
2224 3642 1516732
2232 3650 1516746
2236 3654 1516760
2236 3662 1516774
2240 3662 1516788
2240 3666 1516802
2244 3669 1516816
2244 3669 1516830
2244 3666 1516844
2240 3666 1516858
2240 3666 1516872
2236 3662 1516886
2232 3658 1516900
2228 3650 1516914
2224 3642 1516928
2220 3630 1516942
2212 3618 1516956
2208 3606 1516970
2201 3590 1516984
2189 3575 1516998
2181 3559 1517012
2177 3543 1517026
2169 3527 1517040
2161 3511 1517054
2157 3500 1517068
2157 3484 1517082
2153 3472 1517096
2153 3464 1517110
2153 3456 1517124
2153 3448 1517138
2157 3440 1517152
2165 3436 1517166
2173 3432 1517180
2185 3432 1517194
2193 3432 1517208
2208 3436 1517222
2216 3440 1517236
2232 3448 1517250
2244 3456 1517264
2260 3468 1517278
2276 3480 1517292
2288 3492 1517306
2299 3507 1517320
2315 3523 1517334
2327 3539 1517348
2343 3551 1517362
2355 3567 1517376
2363 3583 1517390
2375 3590 1517404
2383 3606 1517418
2387 3614 1517432
2391 3626 1517446
2394 3634 1517460
2402 3642 1517474
2406 3646 1517488
2406 3650 1517502
2406 3654 1517516
2410 3654 1517530
2406 3658 1517544
2406 3658 1517558
2406 3658 1517572
2402 3658 1517586
2402 3658 1517600
2402 3654 1517614
2398 3650 1517628
2394 3646 1517642
2391 3642 1517656
2387 3638 1517670
2383 3630 1517684
2375 3626 1517698
2371 3614 1517712
2367 3606 1517726
2363 3594 1517740
2359 3579 1517754
2351 3567 1517768
2347 3551 1517782
2339 3535 1517796
2335 3519 1517810
2331 3507 1517824
2327 3496 1517838
2327 3484 1517852
2323 3472 1517866
2327 3464 1517880
2327 3456 1517894
2331 3452 1517908
2339 3448 1517922
2347 3452 1517936
2359 3456 1517950
2375 3464 1517964
2394 3476 1517978
2414 3492 1517992
2434 3511 1518006
.PEN_UP
