.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Handprinted Characters

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY CHARACTER
.STYLE PRINTED

.COMMENT previously: .WRITER_ID OABA4607
.WRITER_ID oa

.PEN_DOWN
1979 3531 1521313
1983 3531 1521327
1987 3531 1521341
1995 3535 1521355
1999 3539 1521369
2010 3547 1521383
2022 3555 1521397
2038 3567 1521411
2058 3579 1521425
2082 3598 1521439
2106 3614 1521453
2129 3634 1521467
2153 3654 1521481
2177 3673 1521495
2197 3693 1521509
2220 3709 1521523
2240 3725 1521537
2256 3741 1521551
2272 3752 1521565
2284 3764 1521579
2292 3772 1521593
2299 3776 1521607
2303 3780 1521621
2311 3784 1521635
2311 3788 1521649
2311 3788 1521663
2311 3792 1521677
2307 3788 1521691
2307 3788 1521705
2303 3788 1521719
2299 3784 1521733
2292 3780 1521747
2288 3776 1521761
2280 3772 1521775
2272 3764 1521789
2264 3756 1521803
2256 3748 1521817
2248 3741 1521831
2244 3729 1521845
2236 3721 1521859
2232 3713 1521873
2228 3701 1521887
2224 3693 1521901
2224 3685 1521915
2224 3677 1521929
2228 3666 1521943
2228 3658 1521957
2232 3646 1521971
2236 3634 1521985
2236 3622 1521999
2240 3610 1522013
2240 3594 1522027
2244 3583 1522041
2244 3571 1522055
2240 3555 1522069
2236 3543 1522083
2232 3527 1522097
2224 3515 1522111
2216 3507 1522125
2208 3500 1522139
2201 3492 1522153
2193 3488 1522167
2185 3484 1522181
2177 3488 1522195
2169 3492 1522209
2161 3500 1522223
.PEN_UP
