.WRITER_ID     monu
.STYLE         PRINTED
.DATE          ?
.COUNTRY       Germany

.PEN_DOWN
408 60
408 57
417 57
411 63
408 66
408 66
405 72
402 72
399 81
378 81
366 81
354 78
342 72
333 66
327 60
321 48
318 36
318 27
321 12
333 6
342 0
360 0
372 3
381 6
390 9
393 15
396 27
405 36
408 48
411 57
408 60
411 60
411 60
411 60
417 54
420 42
423 27
429 12
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
1146 48
1146 45
1146 45
1155 48
1158 48
1167 51
1176 54
1185 57
1188 60
1191 69
1191 75
1191 81
1179 84
1170 81
1155 78
1146 78
1140 69
1134 60
1131 48
1128 39
1128 27
1134 18
1143 9
1152 3
1161 0
1167 0
1179 3
.PEN_UP
.PEN_DOWN
1332 192
1335 189
1335 195
1332 201
1332 204
1329 207
1323 204
1317 201
1311 195
1308 186
1305 168
1305 150
1302 126
1305 99
1302 75
1302 60
1302 48
1299 39
1299 30
1296 21
1299 12
1299 6
1299 0
1296 0
.PEN_UP
.PEN_DOWN
1329 84
1332 84
1326 84
1323 84
1320 84
1314 84
1308 84
1299 84
1287 81
1275 81
1269 81
1263 81
1260 81
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
1698 66
1698 66
1698 63
1698 63
1701 60
1698 57
1695 51
1698 42
1695 30
1692 21
1695 12
1695 12
1698 3
1707 0
1719 6
1725 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
315 84
315 84
315 84
321 78
315 75
315 69
315 60
318 48
318 36
321 24
327 15
327 9
330 6
330 6
333 9
333 15
336 30
342 39
345 48
348 57
354 60
363 66
366 69
375 66
381 63
384 60
384 48
387 39
387 27
390 18
390 9
390 6
390 6
390 9
393 18
399 30
399 39
402 48
405 57
417 63
417 66
423 69
429 66
432 63
438 60
441 51
444 39
450 24
447 15
450 6
450 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
483 81
483 81
483 84
483 84
486 90
489 99
498 105
510 108
522 111
534 111
546 108
558 108
570 99
576 90
582 78
585 63
585 48
582 36
576 24
564 12
552 3
537 0
522 3
510 9
495 18
489 33
486 42
486 48
492 60
498 75
507 87
516 96
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
1437 105
1437 111
1437 111
1440 114
1440 111
1449 114
1458 114
1476 111
1485 105
1494 102
1500 99
1503 93
1503 90
1500 78
1494 69
1485 63
1473 54
1464 42
1458 33
1449 24
1440 15
1434 12
1434 9
1434 6
1437 0
1443 0
1452 0
1461 0
1470 0
1476 3
1488 6
1494 6
1500 6
1503 3
.PEN_UP
.PEN_DOWN
1494 60
1497 60
1497 60
1497 60
1497 63
1497 63
1494 63
1491 63
1488 60
1479 60
1473 60
1464 60
1458 63
1452 63
1449 60
1446 60
.PEN_UP
.PEN_DOWN
390 126
390 123
393 126
390 126
387 129
387 129
387 135
390 144
396 156
408 165
414 165
423 162
435 162
441 153
450 144
456 132
459 117
462 93
456 69
450 51
444 30
435 18
423 6
408 0
399 0
390 6
384 18
378 39
375 63
375 90
378 114
381 129
381 138
.PEN_UP
.PEN_DOWN
558 60
555 57
558 60
564 66
570 75
573 84
585 96
597 105
603 117
603 120
612 126
612 126
609 123
609 120
606 111
606 102
603 87
600 66
600 48
597 30
597 12
591 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
1086 162
1089 162
1089 165
1089 165
1089 162
1089 159
1086 150
1083 138
1080 126
1077 114
1074 105
1074 102
1077 96
1083 90
1092 90
1101 90
1110 84
1122 81
1131 81
1140 96
1146 108
1152 105
1149 105
1149 105
.PEN_UP
.PEN_DOWN
1161 144
1161 144
1161 144
1161 144
1155 141
1158 132
1155 117
1152 96
1152 72
1149 54
1143 36
1143 21
1143 9
1143 3
1143 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
1488 105
1488 111
1491 117
1491 126
1491 129
1491 129
1491 129
1488 126
1485 123
1476 114
1467 102
1461 90
1452 72
1443 57
1434 39
1431 27
1434 15
1437 6
1443 0
1455 0
1467 6
1482 15
1494 27
1497 36
1494 42
1482 51
1470 57
1458 54
1452 48
1443 48
.PEN_UP
.PEN_DOWN
1602 159
1602 159
1602 162
1602 168
1602 174
1599 183
1596 192
1593 195
1593 195
1590 192
1593 192
1596 189
1605 186
1617 183
1632 183
1644 180
1650 180
1653 174
1662 168
1662 162
1662 153
1662 138
1659 120
1653 99
1644 78
1638 57
1632 36
1629 18
1629 3
1629 0
1632 3
.PEN_UP
.PEN_DOWN
1686 81
1689 84
1692 84
1689 84
1686 84
1674 81
1656 78
1644 75
1632 78
1620 78
1614 78
1608 78
1608 78
.PEN_UP
.PEN_DOWN
1845 108
1848 108
1851 111
1857 114
1857 117
1863 123
1866 129
1869 135
1863 141
1857 147
1845 150
1833 150
1824 144
1815 138
1803 129
1794 117
1791 108
1788 102
1791 96
1800 90
1812 84
1821 78
1827 72
1836 63
1845 54
1848 45
1851 33
1851 24
1848 12
1839 3
1827 0
1815 3
1800 9
1794 18
1794 33
1800 54
1812 69
1827 93
1839 108
1851 117
.PEN_UP
