.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID hwaa1363
.WRITER_ID hw

.PEN_DOWN
2906 2657 3767636
2918 2659 3767651
2936 2669 3767666
2962 2697 3767681
2966 2721 3767696
2964 2743 3767711
2954 2759 3767726
2918 2779 3767741
2884 2779 3767756
2852 2755 3767771
2816 2703 3767786
2786 2633 3767801
2786 2597 3767816
2796 2587 3767831
2822 2589 3767846
2880 2641 3767861
2932 2695 3767876
2970 2757 3767891
3004 2815 3767906
3026 2859 3767921
3030 2865 3767936
3030 2865 3767951
3020 2845 3767966
3000 2801 3767981
2966 2747 3767996
2936 2689 3768011
2922 2637 3768026
2922 2605 3768041
2934 2593 3768056
2950 2591 3768071
2992 2603 3768086
3024 2637 3768101
3056 2671 3768116
3074 2699 3768131
3076 2715 3768146
3072 2715 3768161
3052 2715 3768176
3030 2689 3768191
3016 2653 3768206
3016 2631 3768221
3034 2613 3768236
3062 2597 3768251
3112 2581 3768266
3136 2577 3768281
3150 2579 3768296
3156 2585 3768311
3164 2613 3768326
3172 2645 3768341
3174 2669 3768356
3178 2685 3768371
3200 2713 3768386
.PEN_UP
