.VERSION 1.0
.INCLUDE kai/word.lex
.INCLUDE kai/kai2.doc
.INCLUDE kai/data/kai2/yklyu5.dat
.SEGMENT CHARACTER 9:0-11:5 OK  "A"
.SEGMENT CHARACTER 12:0-12:42 OK  "g"
.SEGMENT CHARACTER 13:0-13:20 OK  "o"
.SEGMENT CHARACTER 20:0-21:39 OK  "B"
.SEGMENT CHARACTER 22:0-22:26 OK  "a"
.SEGMENT CHARACTER 23:0-23:19 OK  "c"
.SEGMENT CHARACTER 24:0-26:6 OK  "k"
.SEGMENT CHARACTER 33:0-34:36 OK  "B"
.SEGMENT CHARACTER 35:0-36:7 OK  "u"
.SEGMENT CHARACTER 37:0-38:20 OK  "t"
.SEGMENT CHARACTER 39:0-39:33 OK  "C"
.SEGMENT CHARACTER 40:0-40:25 OK  "a"
.SEGMENT CHARACTER 41:0-41:27 OK  "n"
.SEGMENT CHARACTER 42:0-42:32 OK  "C"
.SEGMENT CHARACTER 43:0-44:1 OK  "i"
.SEGMENT CHARACTER 45:0-46:15 OK  "t"
.SEGMENT CHARACTER 47:0-47:44 OK  "y"
.SEGMENT CHARACTER 52:0-53:24 OK  "D"
.SEGMENT CHARACTER 54:0-54:20 OK  "a"
.SEGMENT CHARACTER 55:0-55:38 OK  "y"
.SEGMENT CHARACTER 56:0-57:24 OK  "D"
.SEGMENT CHARACTER 58:0-58:19 OK  "o"
.SEGMENT CHARACTER 83:0-86:6 OK  "F"
.SEGMENT CHARACTER 87:0-87:25 OK  "a"
.SEGMENT CHARACTER 88:0-88:15 OK  "s"
.SEGMENT CHARACTER 89:0-90:18 OK  "t"
.SEGMENT CHARACTER 91:0-94:7 OK  "F"
.SEGMENT CHARACTER 95:0-95:16 OK  "l"
.SEGMENT CHARACTER 96:0-96:46 OK  "y"
.SEGMENT CHARACTER 123:0-125:22 OK  "H"
.SEGMENT CHARACTER 126:0-126:36 OK  "e"
.SEGMENT CHARACTER 127:0-127:18 OK  "l"
.SEGMENT CHARACTER 128:0-129:25 OK  "p"
