.VERSION 1.0
.INCLUDE kai/word.lex
.INCLUDE kai/kai2.doc
.INCLUDE kai/data/kai2/scoh5.dat
.SEGMENT CHARACTER 0:0-0:53 OK  "m"
.SEGMENT CHARACTER 0:54-0:63 OK  "\@"
.SEGMENT CHARACTER 0:64-0:97 OK  "a"
.SEGMENT CHARACTER 0:98-0:101 OK  "\@"
.SEGMENT CHARACTER 0:102-0:127 OK  "n"
.SEGMENT CHARACTER 3:0-3:49 OK  "b"
.SEGMENT CHARACTER 3:50-3:52 OK  "\@"
.SEGMENT CHARACTER 3:53-3:72 OK  "u"
.SEGMENT CHARACTER 3:73-4:11 OK  "t"
.SEGMENT CHARACTER 6:0-6:23 OK  "r"
.SEGMENT CHARACTER 6:24-6:25 OK  "\@"
.SEGMENT CHARACTER 6:26-6:50 OK  "e"
.SEGMENT CHARACTER 6:51-6:52 OK  "\@"
.SEGMENT CHARACTER 6:53-6:74 OK  "e"
.SEGMENT CHARACTER 6:75-6:81 OK  "\@"
.SEGMENT CHARACTER 6:82-6:124 OK  "d"
.SEGMENT CHARACTER 7:0-7:30 OK  "t"
.SEGMENT CHARACTER 7:31-7:81 OK  "h"
.SEGMENT CHARACTER 7:82-7:99 OK  "e"
.SEGMENT CHARACTER 8:0-8:13 OK  "\@"
.SEGMENT CHARACTER 9:0-9:51 OK  "m"
.SEGMENT CHARACTER 9:52-9:56 OK  "\@"
.SEGMENT CHARACTER 9:57-9:90 OK  "o"
.SEGMENT CHARACTER 9:91-9:119 OK  "s"
.SEGMENT CHARACTER 9:120-10:13 OK  "t"
.SEGMENT CHARACTER 11:0-11:62 OK  "f"
.SEGMENT CHARACTER 11:63-11:67 OK  "\@"
.SEGMENT CHARACTER 11:68-11:91 OK  "e"
.SEGMENT CHARACTER 11:92-11:113 OK  "e"
.SEGMENT CHARACTER 11:114-11:116 OK  "\@"
.SEGMENT CHARACTER 11:117-11:164 OK  "b"
.SEGMENT CHARACTER 11:165-11:167 OK  "\@"
.SEGMENT CHARACTER 11:168-11:207 OK  "l"
.SEGMENT CHARACTER 11:208-11:211 OK  "\@"
.SEGMENT CHARACTER 11:212-11:235 OK  "e"
.SEGMENT CHARACTER 12:0-12:31 OK  "t"
.SEGMENT CHARACTER 12:32-12:95 OK  "h"
.SEGMENT CHARACTER 12:96-12:112 OK  "i"
.SEGMENT CHARACTER 12:113-12:120 OK  "\@"
.SEGMENT CHARACTER 12:121-12:144 OK  "n"
.SEGMENT CHARACTER 12:145-12:152 OK  "\@"
.SEGMENT CHARACTER 12:153-12:192 OK  "g"
.SEGMENT CHARACTER 12:193-14:2 OK  "\@"
.SEGMENT CHARACTER 21:0-21:51 OK  "h"
.SEGMENT CHARACTER 21:52-21:53 OK  "\@"
.SEGMENT CHARACTER 21:54-21:72 OK  "e"
.SEGMENT CHARACTER 22:0-22:17 OK  "i"
.SEGMENT CHARACTER 22:18-22:46 OK  "s"
.SEGMENT CHARACTER 23:0-23:5 OK  "\@"
.SEGMENT CHARACTER 30:0-30:29 OK  "t"
.SEGMENT CHARACTER 30:30-30:82 OK  "h"
.SEGMENT CHARACTER 30:83-30:107 OK  "e"
.SEGMENT CHARACTER 31:0-31:12 OK  "\@"
.SEGMENT CHARACTER 32:0-32:31 OK  "e"
.SEGMENT CHARACTER 32:32-32:35 OK  "\@"
.SEGMENT CHARACTER 32:36-32:68 OK  "n"
.SEGMENT CHARACTER 32:69-32:107 OK  "t"
.SEGMENT CHARACTER 32:108-32:127 OK  "i"
.SEGMENT CHARACTER 32:128-32:153 OK  "r"
.SEGMENT CHARACTER 32:154-32:159 OK  "\@"
.SEGMENT CHARACTER 32:160-32:190 OK  "e"
.SEGMENT CHARACTER 33:0-34:2 OK  "\@"
.SEGMENT CHARACTER 35:0-35:39 OK  "u"
.SEGMENT CHARACTER 35:40-35:49 OK  "\@"
.SEGMENT CHARACTER 35:50-35:87 OK  "n"
.SEGMENT CHARACTER 35:88-35:105 OK  "i"
.SEGMENT CHARACTER 35:106-35:110 OK  "\@"
.SEGMENT CHARACTER 35:111-35:137 OK  "v"
.SEGMENT CHARACTER 35:138-35:166 OK  "e"
.SEGMENT CHARACTER 35:167-35:187 OK  "r"
.SEGMENT CHARACTER 35:188-35:226 OK  "s"
.SEGMENT CHARACTER 35:227-35:253 OK  "e"
.SEGMENT CHARACTER 36:0-36:3 OK  "\@"
.SEGMENT CHARACTER 41:0-41:17 OK  "i"
.SEGMENT CHARACTER 41:18-41:20 OK  "\@"
.SEGMENT CHARACTER 41:21-41:53 OK  "t"
.SEGMENT CHARACTER 41:54-41:56 OK  "\@"
.SEGMENT CHARACTER 41:57-41:83 OK  "s"
.SEGMENT CHARACTER 41:84-41:87 OK  "\@"
.SEGMENT CHARACTER 41:88-41:108 OK  "e"
.SEGMENT CHARACTER 41:109-41:148 OK  "l"
.SEGMENT CHARACTER 41:149-41:216 OK  "f"
.SEGMENT CHARACTER 42:0-43:10 OK  "\@"
