
.WRITER_ID David_Navi
.STYLE MIXED

.PEN_DOWN
726 15769
725 15769
725 15772
726 15772
726 15767
724 15756
718 15737
716 15714
711 15694
711 15674
711 15658
712 15645
714 15638
713 15635
713 15635
714 15637
718 15646
726 15668
742 15700
754 15740
757 15781
746 15812
735 15822
725 15821
708 15808
688 15786
665 15756
639 15721
617 15688
601 15655
591 15623
582 15599
573 15578
568 15570
.PEN_UP
.PEN_DOWN
748 15704
751 15710
747 15717
731 15718
701 15712
664 15701
623 15688
579 15665
.PEN_UP
.PEN_DOWN
942 15645
946 15650
948 15652
949 15655
948 15662
946 15664
941 15668
937 15673
928 15678
924 15682
917 15682
907 15682
892 15678
874 15665
858 15646
847 15623
841 15601
845 15586
855 15577
871 15576
892 15585
914 15603
935 15628
953 15655
965 15684
975 15701
977 15704
982 15691
975 15665
961 15632
943 15593
921 15547
901 15495
888 15436
881 15380
862 15341
843 15325
831 15321
823 15331
831 15363
847 15409
868 15438
.PEN_UP
.PEN_DOWN
1078 15649
1083 15655
1091 15665
1099 15673
1100 15679
1102 15682
1096 15687
1080 15688
1057 15687
1035 15680
1020 15666
1015 15641
1024 15616
1048 15601
1078 15599
1102 15605
1119 15619
1125 15639
1117 15658
.PEN_UP
.PEN_DOWN
1215 15720
1209 15721
1198 15720
1183 15707
1172 15677
1166 15648
1170 15624
1182 15610
1198 15608
1219 15621
1240 15645
1252 15670
1257 15700
1256 15722
1252 15723
1243 15707
1234 15668
1230 15632
1233 15592
.PEN_UP
.PEN_DOWN
1415 15713
1417 15717
1418 15717
1418 15717
1417 15717
1417 15716
1415 15715
1410 15714
1404 15714
1399 15716
1390 15720
1381 15721
1376 15723
1372 15723
1369 15723
1364 15720
1357 15711
1350 15704
1343 15694
1340 15683
1338 15668
1339 15658
1342 15648
1344 15641
1344 15637
1344 15636
1344 15636
1344 15642
1344 15659
1344 15682
1344 15696
1342 15697
1342 15695
1340 15678
1338 15656
1338 15633
.PEN_UP
.PEN_DOWN
1526 15700
1525 15717
1522 15730
1511 15734
1500 15732
1487 15720
1474 15691
1466 15659
1466 15636
1481 15616
1497 15610
1516 15616
1535 15635
1548 15661
1556 15687
1556 15697
1556 15698
1556 15682
1554 15655
1552 15626
1552 15596
.PEN_UP
.PEN_DOWN
1694 15749
1693 15752
1691 15753
1689 15746
1682 15727
1681 15701
1680 15675
1683 15651
1686 15626
1691 15603
1693 15592
1695 15589
1697 15592
.PEN_UP
.PEN_DOWN
1762 15767
1760 15756
1755 15733
1749 15700
1751 15665
1759 15632
1770 15603
1777 15583
1779 15577
1777 15579
.PEN_UP
.PEN_DOWN
1805 15662
1803 15664
1796 15672
1781 15675
1760 15681
1732 15682
1699 15682
.PEN_UP
.PEN_DOWN
1895 15710
1895 15713
1897 15711
1894 15701
1893 15682
1892 15662
1894 15642
1898 15626
1904 15613
1912 15605
1922 15600
.PEN_UP
.PEN_DOWN
2006 15740
2005 15740
1999 15733
1993 15713
1987 15687
1987 15655
1989 15629
2000 15606
2012 15592
2023 15586
2029 15586
.PEN_UP
.PEN_DOWN
2075 15747
2075 15750
2075 15746
2072 15731
2066 15711
2059 15687
2058 15659
2060 15632
2072 15608
2087 15593
2103 15589
2121 15590
.PEN_UP
.PEN_DOWN
2240 15720
2237 15727
2227 15730
2214 15725
2197 15711
2186 15687
2185 15668
2189 15648
2195 15637
2205 15628
2216 15623
2229 15619
2233 15616
2231 15613
2216 15605
2178 15599
.PEN_UP
.PEN_DOWN
1929 15812
1931 15812
1931 15811
1931 15812
1924 15815
1919 15816
1916 15816
1918 15812
.PEN_UP
.PEN_DOWN
600 15292
596 15295
594 15298
592 15298
592 15298
594 15288
598 15268
609 15242
