
.WRITER_ID David_Navi
.STYLE MIXED

.PEN_DOWN
589 15627
594 15629
602 15631
613 15639
634 15653
660 15672
686 15695
707 15714
712 15730
712 15744
701 15759
682 15776
660 15780
634 15776
604 15763
567 15736
536 15700
515 15658
510 15621
523 15596
547 15587
581 15596
616 15615
647 15642
662 15668
663 15691
.PEN_UP
.PEN_DOWN
851 15665
851 15665
853 15667
853 15668
861 15666
870 15668
883 15674
903 15687
926 15710
948 15736
958 15759
960 15785
948 15812
935 15821
920 15817
900 15803
876 15777
853 15744
831 15700
823 15655
827 15608
819 15573
802 15549
782 15538
769 15540
771 15551
.PEN_UP
.PEN_DOWN
901 15642
896 15641
881 15634
860 15628
834 15622
.PEN_UP
.PEN_DOWN
1054 15662
1074 15668
1093 15678
1113 15691
1130 15707
1143 15733
1151 15759
1151 15786
1138 15821
1125 15835
1109 15832
1087 15807
1067 15760
1048 15704
1033 15652
1024 15605
1018 15573
1018 15560
.PEN_UP
.PEN_DOWN
1142 15643
1142 15645
1142 15646
1141 15646
1134 15644
1123 15645
1110 15645
1087 15642
1055 15642
1020 15639
997 15636
982 15629
979 15623
.PEN_UP
.PEN_DOWN
1317 15727
1316 15735
1314 15739
1314 15740
1312 15740
1304 15733
1293 15708
1283 15675
1272 15645
1263 15616
1263 15589
.PEN_UP
.PEN_DOWN
1561 15753
1559 15760
1550 15770
1535 15780
1511 15785
1483 15780
1454 15767
1427 15731
1407 15687
1402 15648
1417 15618
1440 15603
1462 15602
1484 15612
1504 15629
.PEN_UP
.PEN_DOWN
1674 15657
1679 15659
1691 15665
1709 15677
1730 15691
1747 15711
1761 15733
1764 15760
1757 15789
1746 15812
1732 15816
1710 15801
1682 15763
1661 15714
1653 15668
1659 15623
1677 15590
1697 15577
1718 15580
.PEN_UP
.PEN_DOWN
1939 15769
1938 15776
1930 15780
1918 15780
1899 15770
1880 15754
1867 15734
1857 15710
1852 15690
1847 15682
1847 15681
1844 15687
1844 15708
1847 15735
1848 15753
1847 15754
1841 15738
1831 15704
1818 15664
1811 15622
.PEN_UP
.PEN_DOWN
497 15341
496 15344
495 15344
494 15346
493 15344
497 15334
504 15315
515 15288
525 15253
532 15219
531 15194
525 15181
523 15173
521 15173
521 15171
525 15177
530 15182
.PEN_UP
.PEN_DOWN
472 15367
474 15375
481 15380
493 15384
512 15386
538 15380
568 15364
596 15348
610 15331
610 15315
592 15299
560 15289
526 15282
493 15282
465 15291
451 15304
449 15314
457 15317
469 15315
478 15303
.PEN_UP
.PEN_DOWN
648 15279
639 15288
630 15289
621 15282
621 15262
628 15232
645 15200
663 15171
673 15160
680 15160
688 15173
691 15200
692 15229
690 15256
686 15276
686 15279
692 15268
701 15242
709 15211
716 15171
729 15125
733 15101
731 15099
.PEN_UP
.PEN_DOWN
766 15407
766 15409
766 15409
768 15397
776 15371
791 15334
814 15285
846 15226
872 15170
879 15145
877 15136
867 15138
849 15160
838 15193
836 15233
838 15266
852 15282
878 15278
905 15258
926 15228
943 15193
945 15161
926 15144
892 15141
853 15150
.PEN_UP
.PEN_DOWN
1063 15172
1063 15171
1066 15171
1067 15171
1067 15170
1068 15172
1072 15176
1083 15184
1099 15200
1114 15227
1123 15256
1120 15294
1102 15337
1073 15376
1054 15400
1044 15404
1036 15397
1035 15373
1039 15338
1048 15293
1068 15240
1093 15184
1107 15151
1112 15138
1113 15136
1116 15137
1117 15145
.PEN_UP
.PEN_DOWN
1170 15260
1171 15263
1171 15259
1174 15246
1179 15219
1186 15191
1197 15158
1206 15128
1207 15114
.PEN_UP
.PEN_DOWN
1291 15258
1288 15272
1283 15281
1274 15289
1262 15282
1249 15258
1241 15222
1247 15184
1264 15143
1284 15125
