
.WRITER_ID David_Navi
.STYLE MIXED

.PEN_DOWN
729 15794
729 15793
725 15791
717 15786
703 15783
685 15776
661 15767
628 15757
586 15746
544 15736
514 15731
497 15727
491 15724
491 15722
499 15721
.PEN_UP
.PEN_DOWN
618 15754
618 15749
611 15737
598 15727
587 15710
573 15694
566 15672
559 15655
556 15639
549 15631
546 15626
544 15623
542 15623
541 15623
543 15626
.PEN_UP
.PEN_DOWN
817 15785
815 15783
813 15776
806 15759
798 15740
789 15720
783 15699
775 15678
766 15655
757 15639
750 15632
747 15629
747 15629
750 15638
765 15655
790 15684
812 15701
826 15711
840 15711
853 15706
864 15695
870 15682
870 15668
866 15651
864 15639
871 15632
896 15632
934 15648
975 15667
.PEN_UP
.PEN_DOWN
1132 15674
1134 15673
1138 15677
1144 15681
1149 15682
1151 15686
1151 15698
1144 15718
1134 15737
1127 15750
1117 15758
1100 15759
1076 15747
1054 15730
1040 15704
1042 15672
1065 15645
1099 15631
1137 15633
1164 15648
1174 15670
1171 15700
.PEN_UP
.PEN_DOWN
1376 15743
1370 15749
1357 15759
1340 15767
1325 15772
1314 15771
1303 15763
1301 15740
1301 15714
1307 15682
1312 15652
1314 15639
1314 15638
1314 15641
1312 15664
1311 15700
1312 15736
1306 15759
1304 15763
1303 15760
1300 15740
1299 15714
1303 15678
1310 15642
.PEN_UP
.PEN_DOWN
1534 15789
1541 15783
1545 15772
1546 15754
1546 15727
1546 15691
1546 15668
1545 15654
1546 15646
1550 15641
1554 15641
.PEN_UP
.PEN_DOWN
1635 15790
1636 15785
1635 15776
1625 15772
1602 15769
1567 15772
1526 15779
1493 15779
1477 15769
.PEN_UP
.PEN_DOWN
1729 15704
1736 15713
1732 15728
1723 15740
1702 15747
1679 15746
1655 15732
1644 15706
1643 15673
1664 15642
1689 15632
1715 15632
1737 15652
1747 15684
1749 15718
1741 15746
.PEN_UP
.PEN_DOWN
1854 15772
1854 15766
1852 15754
1852 15733
1854 15700
1861 15661
1867 15628
1866 15610
1864 15605
1864 15609
1869 15628
1879 15660
1894 15701
1905 15736
1918 15754
1923 15754
1931 15739
1939 15717
1942 15701
1944 15698
1954 15704
1967 15721
1979 15746
1984 15770
.PEN_UP
.PEN_DOWN
562 15308
562 15309
564 15312
564 15317
564 15320
564 15321
564 15321
564 15318
559 15311
556 15298
551 15278
551 15253
557 15227
566 15204
574 15189
581 15183
591 15181
609 15191
627 15209
641 15236
648 15253
651 15259
652 15258
656 15243
660 15218
661 15193
668 15170
673 15164
688 15167
709 15185
728 15217
735 15255
731 15295
718 15321
.PEN_UP
.PEN_DOWN
840 15299
840 15301
838 15301
834 15290
828 15275
823 15255
821 15232
823 15213
831 15200
851 15191
875 15187
.PEN_UP
.PEN_DOWN
991 15317
991 15317
991 15321
990 15320
990 15321
988 15324
988 15325
988 15325
987 15324
986 15324
978 15315
969 15299
964 15276
962 15245
965 15209
979 15177
995 15159
1010 15151
1027 15148
1038 15150
1044 15155
1045 15157
.PEN_UP
.PEN_DOWN
1127 15351
1128 15357
1128 15361
1126 15360
1123 15351
1119 15331
1117 15301
1117 15268
1117 15231
1119 15197
1119 15180
1119 15166
1121 15164
1128 15168
.PEN_UP
.PEN_DOWN
1235 15305
1234 15294
1230 15282
1217 15266
1198 15258
1172 15252
1151 15253
1142 15255
1141 15255
1144 15249
1163 15239
1185 15223
1203 15209
1223 15190
1239 15176
1252 15164
.PEN_UP
.PEN_DOWN
1351 15317
1351 15316
1353 15314
1351 15299
1345 15281
1344 15252
1337 15226
1337 15191
1337 15164
1338 15144
1344 15131
.PEN_UP
.PEN_DOWN
1483 15324
1484 15327
1483 15324
1481 15311
1474 15289
1472 15259
1468 15229
