
.WRITER_ID Wally_Block
.STYLE MIXED

.PEN_DOWN
628 15720
632 15728
632 15731
633 15732
633 15731
628 15725
620 15705
608 15671
595 15634
581 15597
568 15569
559 15549
553 15536
553 15537
.PEN_UP
.PEN_DOWN
726 15701
728 15708
735 15715
748 15722
766 15728
784 15725
797 15712
799 15695
795 15673
782 15650
757 15627
731 15610
706 15601
693 15600
687 15604
688 15611
698 15621
715 15630
737 15634
757 15628
775 15617
796 15607
.PEN_UP
.PEN_DOWN
938 15715
924 15709
917 15709
913 15704
915 15708
922 15712
937 15719
957 15725
982 15725
998 15719
1004 15708
998 15698
987 15688
968 15675
955 15667
950 15666
948 15665
955 15656
971 15654
988 15647
998 15638
1001 15630
999 15623
988 15611
971 15603
953 15597
938 15593
928 15593
921 15596
.PEN_UP
.PEN_DOWN
1242 15726
1242 15728
1242 15728
1242 15728
1242 15727
1237 15718
1228 15704
1219 15688
1209 15667
1203 15658
1202 15654
1202 15649
1209 15644
1226 15644
1247 15644
1264 15645
1277 15647
1282 15650
1286 15650
1287 15655
.PEN_UP
.PEN_DOWN
1328 15731
1326 15728
1317 15709
1299 15681
1279 15651
1262 15623
1249 15601
1242 15583
1242 15583
.PEN_UP
.PEN_DOWN
1416 15711
1415 15712
1416 15711
1415 15712
1415 15710
1413 15704
1411 15698
1411 15691
1415 15681
1426 15673
1438 15664
1451 15658
1460 15650
1464 15641
1460 15628
1449 15617
1430 15605
1409 15597
1389 15597
1371 15604
.PEN_UP
.PEN_DOWN
1419 15738
1419 15739
1420 15738
1426 15736
1444 15736
1468 15739
1500 15748
1539 15758
1573 15769
.PEN_UP
.PEN_DOWN
560 15280
548 15279
538 15280
536 15279
536 15279
539 15283
550 15286
566 15286
591 15286
624 15283
651 15277
669 15263
676 15252
673 15235
660 15215
642 15191
623 15171
608 15154
597 15141
593 15134
594 15131
.PEN_UP
.PEN_DOWN
808 15270
809 15279
806 15283
799 15283
789 15278
784 15272
782 15260
782 15249
791 15239
806 15229
826 15216
844 15202
855 15181
860 15165
857 15151
844 15141
824 15131
799 15131
779 15138
768 15151
771 15171
784 15199
804 15229
831 15259
861 15286
882 15303
886 15307
879 15306
862 15299
839 15290
822 15283
813 15278
808 15277
.PEN_UP
.PEN_DOWN
994 15299
999 15304
999 15306
995 15314
991 15317
982 15321
967 15313
951 15300
942 15286
944 15272
953 15266
967 15266
984 15276
998 15287
1008 15296
1009 15296
1008 15287
1004 15262
999 15232
995 15198
993 15172
991 15152
991 15141
993 15135
.PEN_UP
.PEN_DOWN
1266 15279
1267 15283
1266 15286
1263 15287
1258 15286
1249 15283
1238 15277
1227 15263
1217 15239
1211 15215
1213 15195
1222 15177
1234 15169
1248 15170
1264 15178
1277 15195
1286 15214
1291 15233
1286 15249
1273 15269
1259 15283
1251 15293
1247 15293
1246 15290
1251 15287
1264 15278
.PEN_UP
.PEN_DOWN
1436 15326
1437 15326
1433 15310
1424 15286
1418 15255
1412 15223
1411 15191
1415 15175
1419 15164
1428 15164
.PEN_UP
.PEN_DOWN
594 14841
597 14857
598 14865
595 14867
586 14867
575 14864
563 14854
551 14838
535 14807
524 14767
522 14727
538 14704
566 14692
595 14693
618 14705
636 14726
646 14750
644 14773
633 14796
616 14821
592 14844
571 14857
564 14863
561 14855
564 14845
.PEN_UP
.PEN_DOWN
779 14847
775 14850
773 14855
768 14851
764 14846
766 14831
776 14818
788 14797
808 14777
831 14757
848 14738
858 14720
857 14705
848 14696
831 14692
811 14696
793 14705
783 14726
779 14746
786 14773
801 14799
823 14828
846 14851
859 14861
862 14867
855 14874
840 14875
815 14872
793 14864
777 14858
770 14853
771 14848
777 14844
.PEN_UP
.PEN_DOWN
