
.WRITER_ID Wally_Block
.STYLE MIXED

.PEN_DOWN
506 15789
503 15791
502 15791
500 15790
497 15790
493 15785
491 15780
491 15775
495 15770
504 15762
519 15748
539 15742
561 15742
583 15752
602 15769
617 15785
624 15800
627 15811
624 15813
619 15807
604 15783
584 15748
561 15698
536 15650
509 15607
476 15575
447 15549
427 15540
419 15539
417 15549
424 15566
440 15586
464 15601
493 15610
526 15617
559 15614
588 15613
613 15617
635 15627
655 15637
.PEN_UP
.PEN_DOWN
802 15661
800 15664
800 15668
799 15674
798 15677
795 15682
791 15681
782 15677
772 15668
762 15654
753 15637
748 15623
752 15613
762 15607
775 15607
790 15617
804 15634
817 15652
824 15668
824 15685
818 15692
809 15694
800 15688
797 15684
797 15681
800 15681
809 15677
831 15681
855 15688
876 15696
891 15704
900 15705
908 15709
.PEN_UP
.PEN_DOWN
935 15615
929 15617
928 15619
927 15620
926 15620
926 15620
928 15620
937 15623
953 15630
968 15641
982 15655
998 15667
1009 15687
1018 15701
1022 15712
1026 15722
1026 15726
1028 15728
1030 15729
1033 15728
1036 15724
1039 15715
1043 15708
1048 15698
1049 15684
1046 15668
1040 15654
1033 15641
1029 15630
1028 15623
1029 15617
1033 15608
1039 15600
1051 15596
1066 15594
.PEN_UP
.PEN_DOWN
1164 15618
1162 15618
1162 15618
1162 15618
1164 15614
1169 15613
1180 15616
1193 15623
1204 15634
1217 15648
1227 15661
1233 15674
1234 15688
1231 15698
1226 15702
1215 15702
1202 15693
1188 15672
1179 15654
1179 15634
1186 15618
1202 15610
1224 15607
1246 15612
1268 15617
.PEN_UP
.PEN_DOWN
1342 15614
1340 15614
1338 15613
1337 15610
1337 15610
1342 15609
1357 15617
1380 15633
1404 15650
1428 15664
1451 15674
1462 15678
1464 15675
1458 15664
1442 15645
1426 15629
1411 15617
1404 15613
1404 15613
1406 15613
1419 15627
1442 15641
1468 15658
1491 15671
1508 15677
1518 15675
1517 15667
1511 15655
1502 15640
1498 15631
1500 15619
1511 15614
1529 15613
.PEN_UP
.PEN_DOWN
1619 15620
1617 15620
1616 15621
1615 15617
1615 15617
1614 15617
1618 15623
1631 15630
1653 15639
1682 15655
1711 15667
1735 15677
1746 15683
1748 15682
1748 15682
1746 15677
1737 15669
1722 15659
1708 15650
1697 15644
1691 15637
1689 15634
1689 15630
1691 15631
1695 15631
1700 15630
1702 15634
1702 15634
1702 15634
1702 15634
1702 15634
1702 15634
1702 15634
1701 15634
1702 15634
1702 15634
1702 15634
1702 15634
1702 15634
1700 15637
1699 15637
1700 15638
1700 15638
1700 15637
1700 15638
1699 15637
1698 15637
1698 15637
1698 15637
1698 15638
1699 15640
1704 15641
1711 15640
1722 15641
1731 15640
1737 15637
1739 15630
1739 15618
1731 15597
1720 15577
1704 15560
1684 15547
1662 15533
1638 15523
1626 15522
1622 15526
1624 15536
1635 15549
1656 15567
1678 15585
1702 15601
1726 15609
1747 15612
1759 15607
.PEN_UP
.PEN_DOWN
1915 15678
1919 15684
1918 15688
1917 15691
1917 15694
1912 15697
1902 15695
1888 15688
1873 15674
1860 15658
1853 15645
1857 15634
1869 15628
1884 15627
1902 15638
1917 15650
1929 15665
1934 15675
1933 15685
1926 15690
1920 15694
1916 15695
1915 15691
1917 15688
1928 15684
1951 15684
1975 15688
1997 15691
2016 15698
2031 15704
.PEN_UP
.PEN_DOWN
483 15321
480 15320
480 15320
480 15318
480 15317
482 15314
486 15310
496 15306
510 15304
527 15306
547 15314
562 15321
576 15331
579 15337
582 15337
582 15337
580 15330
575 15306
564 15270
553 15229
538 15195
518 15165
493 15142
466 15121
440 15108
422 15104
415 15109
413 15118
420 15135
437 15149
458 15161
484 15164
515 15164
