.INCLUDE pri/pri.doc
.WRITER_ID 150

.DATE 9 30 94


.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
	2854 5013
	2854 5013
	2855 5015
	2856 5018
	2857 5022
	2859 5025
	2860 5029
	2860 5034
	2860 5038
	2859 5042
	2856 5046
	2851 5049
	2845 5053
	2837 5054
	2828 5054
	2819 5054
	2811 5054
	2803 5052
	2797 5049
	2792 5046
	2789 5040
	2787 5036
	2787 5032
	2789 5028
	2793 5024
	2799 5021
	2807 5021
	2817 5021
	2827 5023
	2837 5025
	2845 5029
	2853 5034
	2858 5039
	2861 5046
	2863 5053
	2865 5062
	2865 5072
	2865 5083
	2865 5091
	2865 5096
	2865 5101
	2864 5105
	2864 5106
	2863 5106
	2862 5102
	2862 5097
	2862 5089
	2862 5079
	2862 5069
	2864 5059
	2867 5049
	2871 5041
	2875 5032
	2881 5024
	2886 5019

.PEN_DOWN
	3512 5006
	3512 5007
	3512 5007
	3512 5008
	3512 5009
	3513 5009
	3515 5009
	3519 5010
	3523 5012
	3529 5013
	3536 5016
	3545 5020
	3552 5024
	3560 5028
	3565 5032
	3570 5038
	3572 5043
	3573 5048
	3573 5054
	3571 5058
	3567 5062
	3562 5063
	3556 5063
	3550 5062
	3545 5059
	3540 5053
	3536 5046
	3534 5040
	3534 5033
	3535 5026
	3540 5019
	3547 5013
	3557 5009
	3569 5006
	3583 5005
	3598 5005

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
	5901 5098
	5900 5100
	5898 5103
	5895 5106
	5893 5109
	5890 5110
	5888 5111
	5886 5108
	5884 5105
	5882 5098
	5882 5090
	5882 5080
	5884 5069
	5887 5057
	5891 5045
	5896 5033
	5900 5022
	5905 5014
	5909 5007
	5913 5003
	5916 5001
	5920 5001
	5923 5002
	5928 5007
	5933 5012
	5938 5018
	5943 5022
	5947 5028
	5951 5030
	5956 5032
	5960 5032
	5965 5030
	5969 5026
	5974 5021
	5979 5015
	5984 5007
	5990 5000
	5998 4993

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
	5844 4082
	5845 4083
	5846 4085
	5847 4089
	5847 4093
	5847 4098
	5846 4103
	5844 4109
	5842 4115
	5838 4118
	5834 4121
	5828 4123
	5821 4123
	5813 4123
	5805 4121
	5797 4117
	5790 4114
	5783 4111
	5779 4107
	5777 4104
	5777 4101
	5780 4098
	5786 4095
	5793 4092
	5800 4089
	5808 4085
	5815 4080
	5820 4076
	5826 4071
	5830 4067
	5835 4062
	5839 4056
	5843 4051
	5848 4046
	5852 4040
	5856 4033
	5860 4026
	5864 4018
	5868 4010
	5872 4001
	5875 3991
	5878 3982
	5882 3973
	5885 3964
	5888 3956
	5890 3950
	5893 3945
	5896 3942
	5899 3939
	5903 3939
	5908 3939
	5912 3942
	5916 3945
	5920 3950
	5922 3957
	5922 3964
	5920 3973
	5917 3982
	5910 3991
	5902 3999
	5892 4007
