.COMMENT    this include file is a documentation file
.WRITER_ID  wes
.STYLE      CURSIVE
.DATE       09 26 94
.HAND       R
.SKILL      OK
.COUNTRY    Germany
.AGE        64
.SEX        M
.WRITER_INFO
            First name:          Werner
            Last name:           Sendler
            Native language:     German
            Other languages:     English
            Place of Birth:      Breslau
            Where educated:      university
            Place of Residence:  Goettingen
            Computer experiance: client-server-arch.
            Occupation:          manager
            Vision:              myopic
.START_BOX
.PEN_DOWN
7099 20722 168000
7099 20722 168000
7099 20722 168000
7099 20722 168000
7087 20722 220000
7083 20727 220000
7083 20727 220000
7083 20727 220000
7083 20727 220000
7083 20727 220000
7083 20727 220000
7083 20727 220000
7083 20727 220000
7076 20729 220000
7076 20729 220000
7076 20729 220000
7076 20729 220000
7076 20729 220000
7076 20729 220000
7076 20727 220000
7076 20727 220000
7076 20727 220000
7076 20727 220000
7076 20727 220000
7076 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20727 220000
7074 20726 220000
7074 20726 220000
7074 20726 220000
7074 20726 220000
7074 20726 220000
7074 20726 220000
7074 20726 220000
7078 20726 220000
7078 20726 220000
7078 20726 220000
7078 20726 220000
7078 20726 220000
7078 20726 220000
7082 20726 220000
7082 20726 220000
7082 20726 220000
7082 20726 220000
7082 20726 220000
7082 20726 220000
7090 20729 220000
7090 20729 220000
7090 20729 220000
7090 20729 220000
7090 20729 220000
7102 20733 220000
7112 20735 220000
7112 20735 220000
7112 20735 220000
7112 20735 220000
7112 20735 220000
7129 20735 220000
7146 20735 220000
7146 20735 220000
7146 20735 220000
7146 20735 220000
7154 20733 220000
7198 20729 220000
7210 20728 220000
7210 20728 220000
7229 20723 220000
7229 20723 220000
7229 20723 220000
7258 20719 220000
7278 20716 220000
7278 20716 220000
7283 20712 220000
7283 20712 220000
7283 20712 220000
7283 20712 220000
7297 20709 220000
7298 20711 220000
7298 20711 220000
7298 20711 220000
7298 20711 220000
7298 20711 220000
7298 20711 220000
7298 20711 220000
7298 20713 220000
7298 20713 220000
7298 20713 220000
7298 20713 220000
7298 20713 220000
7298 20713 220000
7297 20713 204000
7297 20713 204000
7297 20713 204000
7297 20713 204000
7297 20713 204000
7297 20713 204000
7297 20704 204000
7297 20704 204000
7297 20704 204000
7297 20704 204000
7297 20704 204000
7297 20623 204000
7277 20498 204000
7266 20461 204000
7266 20461 204000
7266 20461 204000
7233 20307 254000
7214 20229 254000
7214 20229 254000
7211 20216 254000
7211 20216 254000
7211 20216 254000
7211 20216 254000
7211 20216 254000
7211 20216 254000
7177 20129 320000
7177 20129 320000
7177 20129 320000
7177 20129 320000
7177 20129 320000
7117 20141 320000
7117 20141 320000
7117 20141 320000
7104 20148 320000
7104 20148 320000
7104 20148 320000
7058 20166 320000
7028 20172 339000
7028 20172 339000
7028 20172 339000
7024 20181 339000
7024 20181 339000
6996 20199 339000
6996 20199 339000
6988 20204 286000
6988 20204 286000
6988 20204 286000
6988 20204 286000
6988 20204 286000
6988 20204 286000
6974 20224 274000
6974 20224 274000
6974 20224 274000
6974 20224 274000
6973 20231 274000
6973 20231 274000
6973 20231 274000
6975 20230 254000
6975 20230 254000
6975 20230 254000
6975 20230 254000
6975 20230 254000
6975 20230 254000
6978 20228 236000
6978 20228 236000
6978 20228 236000
6978 20228 236000
6978 20228 236000
6978 20228 236000
6980 20227 236000
6980 20227 236000
6980 20227 236000
6980 20227 236000
6980 20227 236000
6980 20227 236000
6983 20230 236000
6983 20230 236000
6983 20230 236000
6983 20230 236000
6983 20230 236000
6983 20230 236000
6995 20232 236000
6995 20232 236000
6995 20232 236000
6995 20232 236000
6995 20232 236000
6995 20232 236000
6995 20232 236000
7159 20262 220000
7159 20262 220000
7159 20262 220000
7232 20282 220000
7259 20289 220000
7259 20289 220000
7265 20290 220000
7265 20290 220000
7265 20290 220000
7265 20290 220000
7265 20290 220000
7265 20290 220000
7292 20298 220000
7292 20298 220000
7292 20298 220000
7292 20298 220000
7308 20287 204000
7311 20269 204000
7311 20269 204000
7311 20269 204000
7311 20269 204000
7313 20246 204000
7312 20207 204000
7312 20207 204000
7312 20207 204000
7315 20195 204000
7315 20195 204000
7315 20195 204000
7315 20195 204000
7327 20186 204000
7327 20186 204000
7343 20191 204000
7343 20191 204000
7343 20191 204000
7343 20191 204000
7388 20214 204000
7423 20227 204000
7423 20227 204000
7423 20227 204000
7430 20232 204000
7430 20232 204000
7430 20232 204000
7430 20232 204000
7528 20271 204000
7528 20271 204000
7528 20271 204000
7528 20271 204000
7528 20271 204000
7539 20247 204000
7544 20221 204000
7544 20221 204000
7544 20221 204000
7544 20221 204000
7546 20205 204000
7546 20205 204000
7547 20153 204000
7547 20153 204000
7547 20153 204000
7551 20151 220000
7551 20151 220000
7554 20145 168000
7554 20145 168000
7554 20145 168000
7554 20145 168000
7554 20145 168000
