.COMMENT    this include file is a documentation file
.WRITER_ID  isk
.STYLE      CURSIVE
.DATE       09 26 94
.HAND       R
.SKILL      GOOD
.COUNTRY    Germany
.AGE        43
.SEX        F
.WRITER_INFO
            First name:          Iselona
            Last name:           Klenk
            Native language:     German
            Other languages:     English
            Place of Birth:      Darmstadt
            Where educated:      high school (Gymnasium)
            Place of Residence:  Gross-Bieberau
            Computer experiance: AutoCad, ...
            Occupation:          engineering draftsman
            Vision:              normal
.START_BOX
.PEN_DOWN
6461 20687 97000
6481 20652 97000
6481 20652 97000
6497 20638 97000
6518 20626 105000
6518 20626 105000
6518 20626 105000
6542 20621 105000
6588 20633 105000
6588 20633 105000
6594 20637 105000
6594 20637 105000
6594 20637 105000
6594 20637 105000
6594 20637 105000
6594 20637 105000
6594 20637 105000
6634 20701 105000
6634 20701 105000
6634 20701 105000
6638 20721 112000
6638 20732 119000
6638 20732 119000
6640 20742 126000
6640 20742 126000
6640 20742 126000
6640 20742 126000
6643 20753 133000
6643 20753 133000
6643 20753 133000
6643 20753 133000
6643 20753 133000
6643 20753 133000
6643 20753 133000
6643 20753 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6643 20757 133000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6642 20757 140000
6644 20759 147000
6644 20759 147000
6644 20759 147000
6644 20759 147000
6644 20759 147000
6644 20759 147000
6647 20765 161000
6647 20765 161000
6647 20765 161000
6647 20765 161000
6647 20765 161000
6647 20765 161000
6647 20770 161000
6647 20770 161000
6647 20770 161000
6647 20770 161000
6647 20770 161000
6647 20770 161000
6645 20766 161000
6645 20766 161000
6645 20766 161000
6645 20766 161000
6645 20766 161000
6645 20766 161000
6642 20756 161000
6642 20756 161000
6642 20756 161000
6642 20756 161000
6642 20756 161000
6642 20653 161000
6645 20603 161000
6645 20587 161000
6645 20587 161000
6645 20587 161000
6645 20587 161000
6652 20508 161000
6656 20459 161000
6656 20459 161000
6654 20444 161000
6654 20444 161000
6654 20444 161000
6654 20444 161000
6632 20360 161000
6632 20360 161000
6632 20360 161000
6632 20360 161000
6626 20351 161000
6626 20351 161000
6609 20334 186000
6609 20334 186000
6609 20334 186000
6609 20334 186000
6598 20331 186000
