
.COMMENT Mandatory declarations---------------------------

.DATA_SOURCE AachenTechnicalUniversity
.DATA_ID atu
.START_SET
.COORD X Y T P
.HIERARCHY TEXT

.COMMENT Data documentation-------------------------------

.DATA_CONTACT Schmidt@techinfo.rwth-aachen.de
.DATA_INFO Alphabet: Latin
.PAD Digitizer tablet WACOM SD-420E

.COMMENT Unit System---------------------------------------

.X_POINTS_PER_INCH 1270
.Y_POINTS_PER_INCH 1270
.POINTS_PER_SECOND 200

.COMMENT Data annotations-----------------------------------

.DATE 10/27/1994
.STYLE CURSIVE
.COMMENT previously: .WRITER_ID ABO27
.WRITER_ID ABO
.COUNTRY Germany
.HAND R
.AGE ?
.SEX F
.SKILL OK
.PEN_DOWN
0	0	0	0
0	0	0	2
3	-2	3942	5
4	-3	8803	9
6	-3	13603	13
8	-3	18546	17
8	-4	23468	21
7	-7	28390	24
4	-11	33210	28
0	-15	38275	31
-5	-20	43136	35
-11	-24	48038	38
-16	-28	52879	41
-21	-30	57801	44
-25	-30	62621	46
-28	-26	67625	48
-30	-21	72486	49
-30	-13	77449	50
-28	-2	82351	51
-25	9	87294	51
-22	23	92196	52
-17	37	97241	52
-11	52	101980	52
-4	66	106923	52
5	82	112234	52
15	97	117320	53
26	110	122181	53
37	122	127185	53
49	131	132005	53
61	138	137030	53
74	143	141973	53
87	145	146834	53
98	144	151859	53
111	140	156741	53
122	135	161745	53
134	128	166565	53
145	120	171508	53
155	110	176369	53
163	100	181434	53
170	89	186152	53
175	78	191177	53
178	67	196038	53
180	56	201001	53
179	45	205883	53
176	34	210908	53
172	24	215728	53
167	15	220753	53
161	6	225696	54
155	-1	230659	53
148	-8	235561	53
141	-14	240504	53
134	-18	245386	52
128	-21	250329	51
122	-21	255190	50
118	-20	260153	48
115	-16	265035	45
113	-12	269917	42
112	-7	274778	38
111	-2	279598	33
109	2	284418	27
107	5	289749	22
105	8	294406	15
105	12	299369	9
106	15	304169	5
108	19	309194	0
214	36	383828	0
222	38	388689	1
230	42	393611	4
237	45	398370	7
243	48	403374	12
249	51	408174	16
254	53	413117	21
258	55	417917	24
261	56	422860	27
264	57	427680	30
266	58	432643	33
269	60	437382	35
272	64	442325	37
276	68	447064	39
279	74	452007	41
283	80	456889	43
286	88	461750	44
289	96	466611	45
291	105	471513	46
294	114	476395	47
296	123	481358	48
298	132	486240	48
299	141	491183	49
300	149	496105	49
300	156	501048	49
300	162	505930	50
299	166	510893	50
299	169	515754	50
297	170	525211	50
295	168	534586	50
294	166	539590	50
293	163	544472	50
292	159	549415	50
289	153	554235	50
287	147	559260	50
284	140	564080	50
281	130	569105	50
277	120	573905	50
274	109	578848	50
272	98	583750	50
270	87	588775	50
270	77	593657	51
270	67	598906	51
272	58	603767	51
275	49	608628	51
278	42	613407	51
281	36	618432	51
285	30	623395	51
290	25	628338	50
295	22	633077	50
300	20	638040	49
307	20	642860	48
315	21	647742	46
324	24	652624	43
333	28	657506	40
343	32	662326	36
352	36	667289	31
361	39	672109	26
367	42	676970	22
371	46	682117	16
375	50	687285	11
378	54	692105	7
380	60	697150	3
382	67	701991	1
386	76	706934	0
415	133	726440	0
422	147	731301	3
428	158	736305	7
431	167	741146	12
431	172	745946	18
430	174	750950	23
426	173	755607	28
421	170	760693	33
415	164	765432	38
410	159	770334	41
406	155	775134	43
403	152	780138	44
402	148	784836	45
401	145	789799	46
400	140	794517	46
399	134	799480	47
398	126	804137	47
396	117	809080	48
394	105	813778	48
391	92	818762	48
389	77	823664	49
387	63	828546	49
387	49	833366	49
388	37	838411	49
389	25	843231	49
391	14	848194	49
394	6	853116	49
398	-1	857998	49
403	-6	862920	49
407	-10	867822	49
411	-12	872622	49
416	-13	877544	48
421	-12	882364	48
427	-9	887266	48
434	-4	892066	48
442	3	897029	47
451	13	901849	47
461	24	906812	47
472	38	911632	47
483	53	916514	47
494	70	921293	47
505	87	926297	47
514	103	931117	47
522	118	935978	47
528	130	940798	47
533	141	945802	48
536	150	950622	48
538	157	955647	49
540	162	960467	49
541	167	965553	50
541	171	970578	50
542	175	975603	50
543	180	980485	50
544	184	985489	51
546	188	990452	51
547	193	995313	51
549	199	1000235	51
550	203	1005137	51
552	208	1010019	51
553	212	1015023	51
554	216	1019823	51
556	220	1025236	51
557	225	1030138	51
558	230	1035387	51
559	234	1040187	51
559	238	1045252	51
560	242	1050215	51
561	248	1055076	51
562	254	1060080	51
563	262	1064941	51
564	270	1069966	51
565	279	1074848	51
566	288	1079873	50
567	297	1084775	50
568	306	1089779	50
569	314	1094579	50
569	321	1099542	50
570	325	1104485	51
569	328	1109407	51
569	330	1114268	51
569	332	1123704	51
568	332	1128729	52
568	330	1142434	51
568	328	1151727	51
569	326	1156833	51
569	324	1161715	51
568	319	1166719	51
567	311	1171621	51
565	301	1176625	51
563	289	1181466	51
560	273	1186450	51
556	253	1191332	51
551	230	1196193	51
545	205	1201075	51
540	179	1206038	51
536	153	1211001	51
531	127	1215923	51
528	101	1220805	51
525	78	1225687	51
524	57	1230569	51
523	40	1235594	51
524	25	1240414	51
525	14	1245418	51
526	6	1250300	51
528	1	1255202	50
529	-1	1260145	50
531	-2	1265170	50
532	0	1270235	50
534	3	1275178	50
538	8	1280080	50
542	14	1285043	50
547	22	1289904	50
554	30	1294867	50
561	40	1299728	50
570	50	1304691	50
579	59	1309634	50
587	68	1314454	50
