.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID gsaa1111
.WRITER_ID gs

.PEN_DOWN
2879 3357 510857
2885 3363 510872
2887 3367 510887
2889 3387 510902
2887 3403 510917
2871 3409 510932
2845 3409 510947
2795 3381 510962
2765 3341 510977
2751 3309 510992
2757 3285 511007
2811 3285 511022
2859 3307 511037
2905 3341 511052
2948 3383 511067
2976 3417 511082
3002 3451 511097
3010 3475 511112
3010 3475 511127
2990 3461 511142
2962 3423 511157
2924 3371 511172
2895 3301 511187
2895 3267 511202
2920 3261 511217
2948 3263 511232
.PEN_UP
.PEN_DOWN
3058 3343 511382
3058 3343 511397
3064 3349 511412
3064 3363 511427
3064 3375 511442
3058 3385 511457
3042 3385 511472
3006 3365 511487
2992 3339 511502
2978 3307 511517
2978 3283 511532
2996 3269 511547
3028 3269 511562
3058 3277 511577
3080 3299 511592
3108 3333 511607
3120 3351 511622
3120 3353 511637
3116 3349 511652
3108 3329 511667
3108 3307 511682
3112 3287 511697
3134 3275 511712
3156 3277 511727
3182 3291 511742
3204 3317 511757
3220 3363 511772
3222 3381 511787
.PEN_UP
.PEN_DOWN
3196 3363 511832
3194 3351 511847
3196 3345 511862
3212 3345 511877
3254 3355 511892
3294 3357 511907
3321 3357 511922
3333 3347 511937
3335 3311 511952
3331 3283 511967
3312 3255 511982
3286 3243 511997
.PEN_UP
