.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID gsaa1774
.WRITER_ID gs

.PEN_DOWN
4149 2931 549250
4160 2931 549265
4168 2933 549280
4168 2935 549295
4162 2927 549310
4143 2911 549325
4119 2876 549340
4109 2840 549355
4113 2816 549370
4131 2816 549385
4156 2820 549400
4176 2834 549415
4200 2858 549430
4214 2870 549445
4214 2870 549460
4214 2862 549475
4222 2840 549490
4228 2822 549505
4240 2816 549520
4270 2820 549535
4292 2836 549550
4306 2854 549565
4312 2870 549580
4314 2885 549595
4312 2903 549610
4312 2903 549625
4312 2903 549640
4312 2901 549655
4316 2899 549670
4338 2895 549685
4362 2897 549700
4392 2909 549715
4406 2917 549730
4412 2921 549745
4414 2927 549760
4414 2931 549775
4404 2935 549790
4392 2931 549805
4376 2925 549820
4360 2901 549835
4354 2880 549850
4360 2862 549865
4374 2852 549880
4398 2856 549895
4420 2864 549910
4444 2878 549925
4462 2897 549940
4474 2909 549955
4478 2909 549970
4478 2909 549985
4474 2895 550000
4474 2874 550015
4474 2858 550030
4478 2856 550045
4490 2856 550060
4514 2874 550075
4528 2889 550090
4544 2905 550105
4550 2913 550120
4554 2911 550135
4550 2901 550150
4548 2887 550165
4548 2876 550180
4550 2866 550195
4558 2866 550210
4578 2878 550225
4600 2895 550240
4618 2909 550255
4634 2921 550270
4644 2925 550285
4644 2921 550300
4644 2907 550315
4638 2889 550330
4636 2874 550345
4642 2870 550360
.PEN_UP
