


.DATE		07 ? 93
.STYLE		MIXED
.WRITER_ID	ykryu
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				YoungKwon
	Last name:				Ryu
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	62 47
	61 44
	60 41
	59 37
	59 33
	59 29
	58 25
	58 22
	58 19
	58 15
	60 11
	62 7
	63 4
	66 2
	69 0
	72 1
	75 2
	77 5
	79 8
	81 12
	83 17
	83 20
	83 23
	83 26
	83 29
	85 33
	85 36
	86 39
	86 35
	86 32
	86 27
	86 24
	86 21
	86 16
	87 13
	88 10
	90 7
	93 6
	95 6
.PEN_UP
.PEN_DOWN
	105 18
	103 21
	103 24
	103 27
	104 30
	105 33
	107 36
	110 38
	111 41
	114 41
	117 41
	118 38
	118 35
	118 32
	118 29
	118 25
	118 21
	118 18
	118 14
	117 10
	116 7
	116 10
	116 13
	117 16
	119 20
	119 23
	120 26
	120 29
	122 32
	122 35
	125 38
	128 41
	131 41
	134 38
	134 35
	134 31
	134 28
	134 25
	134 21
	134 18
	134 14
	134 11
	135 8
	138 7
.PEN_UP
.PEN_DOWN
	147 37
	151 38
	157 39
	162 39
	167 39
	171 39
	172 39
.PEN_UP
.PEN_DOWN
	156 60
	156 56
	156 53
	156 50
	156 46
	156 42
	155 38
	155 33
	155 29
	155 25
	155 21
	155 17
	155 14
	156 11
	158 8
	161 8
	164 9
	167 11
	170 13
	172 16
	175 17
	178 19
	178 20
.PEN_UP
.PEN_DOWN
	192 37
	192 32
	192 29
	192 25
	192 22
	192 19
	192 16
	192 13
	193 13
.PEN_UP
.PEN_DOWN
	189 52
	192 50
	195 49
.PEN_UP
.PEN_DOWN
	205 2
	208 4
	212 8
	215 10
	218 14
	220 18
	220 21
	223 25
	223 30
	225 33
	226 37
	227 41
	228 46
	229 50
	230 53
	231 57
	231 62
	232 65
	232 68
	232 72
	232 76
	232 79
	231 82
	228 83
	225 80
	223 76
	220 72
	220 68
	220 64
	218 59
	218 56
	218 53
	218 49
	218 45
	218 40
	218 35
	218 32
	219 28
	220 24
	221 20
	222 16
	224 13
	227 13
	230 13
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
