


.DATE		07 ? 93
.STYLE		MIXED
.WRITER_ID	swlee
.COUNTRY	Korea
.HAND		R
.AGE		20
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				SoonWoong
	Last name:				Lee
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	83 83
	81 78
	79 73
	76 68
	74 63
	71 57
	67 51
	63 38
	60 32
	58 26
	57 21
	55 18
	54 14
	53 11
	52 7
	51 4
	49 0
	51 4
	51 6
.PEN_UP
.PEN_DOWN
	82 78
	82 75
	82 72
	82 69
	82 66
	82 62
	83 58
	83 54
	83 49
	83 44
	83 35
	83 31
	83 27
	83 23
	83 20
	83 17
	83 14
	83 11
	83 8
	83 4
	83 8
	83 10
.PEN_UP
.PEN_DOWN
	65 40
	72 41
	75 42
	78 42
	81 42
	85 43
	88 43
	92 43
	94 44
.PEN_UP
.PEN_DOWN
	101 74
	105 74
	108 74
	114 74
	117 75
	120 76
	123 76
	126 76
	129 77
	134 77
	138 77
	142 78
	144 78
.PEN_UP
.PEN_DOWN
	103 73
	103 70
	102 67
	101 61
	100 58
	99 54
	99 51
	98 44
	97 41
	97 38
	97 35
	96 32
	96 28
	96 24
	96 21
	96 18
	97 18
.PEN_UP
.PEN_DOWN
	101 46
	104 48
	108 48
	113 49
	117 49
	120 50
	123 51
	126 51
	126 52
.PEN_UP
.PEN_DOWN
	121 60
	120 56
	118 50
	118 47
	117 42
	117 38
	117 34
	117 31
	117 30
.PEN_UP
.PEN_DOWN
	125 71
	128 71
	132 71
	135 72
	141 72
	145 72
	149 72
	153 73
	156 73
	159 74
	164 74
	169 75
	172 75
	175 75
	178 75
	181 75
	182 74
.PEN_UP
.PEN_DOWN
	152 72
	151 66
	150 63
	149 59
	149 55
	148 51
	147 46
	146 40
	146 36
	145 31
	145 27
	144 23
	144 19
	144 14
	144 11
	144 8
	144 4
	145 2
.PEN_UP
.PEN_DOWN
	173 75
	177 75
	182 75
	186 76
	192 77
	196 77
	199 77
.PEN_UP
.PEN_DOWN
	175 72
	174 68
	173 63
	172 60
	171 56
	170 53
	169 50
	168 47
	167 43
	166 40
	165 35
	165 32
	165 28
	165 25
	165 22
	169 20
	172 20
	176 22
	180 23
	184 25
	189 25
	192 25
	194 25
.PEN_UP
.PEN_DOWN
	176 58
	180 59
	183 59
	186 59
	189 59
	192 59
	195 59
	198 59
	201 59
.PEN_UP
.PEN_DOWN
	214 78
	213 75
	213 72
	212 68
	210 60
	209 55
	208 50
	208 45
	207 40
	206 34
	205 29
	205 25
	204 21
	204 18
	204 14
	204 11
	203 6
	203 3
	203 0
	204 0
.PEN_UP
.PEN_DOWN
	204 68
	206 71
	209 73
	213 74
	216 75
	219 76
	226 76
	231 76
	236 73
	239 69
	240 65
	240 61
	238 53
	235 50
	230 46
	227 44
	223 42
	218 39
	213 38
	209 36
	206 35
	203 34
	206 33
	209 31
	213 28
	216 27
	221 23
	228 18
	231 17
	236 14
	239 13
	244 11
	247 11
	250 11
	254 11
.PEN_UP
.PEN_DOWN
	96 71
	94 67
	93 62
	90 57
	89 53
	87 49
	85 45
	83 42
	82 38
	81 35
	80 31
	79 28
	77 22
	75 19
	73 15
	71 12
	71 9
	72 12
	72 13
.PEN_UP
.PEN_DOWN
	97 62
	97 59
	97 54
	97 51
	97 48
	97 45
	97 41
	96 38
	96 34
	96 31
	95 25
	95 22
	94 19
	94 15
	93 11
	92 8
	92 5
	92 8
	92 9
.PEN_UP
.PEN_DOWN
	83 39
	86 39
	90 40
	94 40
	97 40
	101 40
	106 39
	108 39
.PEN_UP
.PEN_DOWN
	144 64
	144 67
	143 70
	140 71
	135 70
	131 69
	128 66
	124 62
	122 59
	118 55
	116 52
	112 45
	110 40
	110 37
	109 32
	109 27
	111 23
	115 18
	118 16
	121 15
	125 15
	129 17
	132 19
	136 25
	138 30
	139 33
	140 37
	140 39
.PEN_UP
.PEN_DOWN
	120 39
	124 39
	128 39
	132 39
	136 39
	140 39
	144 40
	141 40
	139 37
	138 34
	137 29
	135 26
	135 23
	134 20
	134 17
	132 12
	131 8
	130 4
	130 0
	131 4
	133 8
.PEN_UP
.PEN_DOWN
	161 43
	158 42
	155 41
	153 38
	151 35
	148 31
	146 26
	145 21
	145 17
	146 14
	148 10
	151 8
	154 7
	159 7
	163 8
	167 11
	169 15
	171 19
	172 22
	172 25
	172 29
	171 33
	169 36
	166 38
	161 39
	158 39
	155 38
	154 36
.PEN_UP
.PEN_DOWN
	95 65
	93 62
	91 57
	90 53
	88 48
	86 44
	85 40
	83 36
	82 32
	79 29
	78 25
	76 22
	74 16
	73 13
	72 10
	71 6
	69 3
	68 0
	68 3
	70 8
.PEN_UP
.PEN_DOWN
	98 68
	98 65
	98 60
	98 57
	98 54
	98 51
	98 47
	98 44
	98 41
	98 37
	98 34
	97 31
	97 23
	97 20
	97 16
	97 12
	96 9
	96 6
	95 9
	95 12
	96 17
.PEN_UP
.PEN_DOWN
	81 40
	84 40
	87 40
	91 40
	96 40
	100 40
	104 40
	107 40
	109 40
.PEN_UP
.PEN_DOWN
	124 66
	123 61
	122 56
	120 52
	120 49
	119 46
	119 43
	118 39
	117 36
	117 33
	115 28
	113 23
	112 20
	112 17
	112 14
	110 11
	113 11
	116 11
	119 11
	122 11
	125 11
	129 10
	131 13
	131 16
.PEN_UP
.PEN_DOWN
	168 63
	167 66
	163 68
	159 68
	156 68
	152 66
	149 65
	146 63
	144 60
	141 57
	139 53
	139 50
	139 46
	139 42
	140 39
	144 37
	147 35
	150 34
	153 33
	156 31
	158 28
	158 25
	155 21
	153 18
	150 16
	147 14
	143 13
	139 13
	136 14
	134 17
	133 20
	133 23
	133 25
.PEN_UP
.PEN_DOWN
	191 59
	190 62
	187 63
	184 62
	182 59
	179 56
	176 53
	172 47
	170 44
	168 39
	167 36
	165 31
	165 26
	165 21
	166 14
	167 10
	168 7
	172 4
	175 4
	182 7
	187 12
	192 17
	194 20
	196 23
	198 26
	200 29
	202 32
	204 36
	205 39
	206 45
	206 49
	206 52
	206 55
	206 58
	204 62
	200 66
	197 67
	192 68
	189 68
	186 68
	182 67
	179 65
	177 62
	176 57
.PEN_UP
.PEN_DOWN
	84 81
	84 78
	83 73
	82 70
	81 65
	80 62
	78 58
	76 50
	75 46
	74 41
	72 36
	71 32
	69 28
	68 24
	67 20
	66 17
	65 14
	65 11
	63 4
	62 0
	62 3
	63 8
	65 11
	66 15
.PEN_UP
.PEN_DOWN
	78 65
	81 66
	84 66
	87 66
	90 66
	94 65
	97 64
	100 62
	103 60
	103 57
	103 54
	100 51
	98 48
	95 46
	92 44
	89 42
	86 41
	83 40
	81 43
	82 46
	84 49
	88 51
	91 52
	94 53
	97 53
	102 51
	105 50
	108 47
	108 43
	108 40
	107 35
	105 32
	102 29
	99 27
	95 25
	92 23
	89 22
	85 21
	82 20
	78 20
	73 20
	70 20
	67 21
	64 23
	63 26
	64 29
	66 32
.PEN_UP
.PEN_DOWN
	128 70
	128 73
	128 69
	126 65
	125 62
	123 56
	121 52
	120 48
	118 44
	116 39
	115 35
	113 31
	112 28
	111 24
	110 21
	108 18
	105 11
	104 8
	104 5
	103 2
	103 5
	104 8
	105 10
.PEN_UP
.PEN_DOWN
	124 69
	125 66
	126 63
	128 55
	129 49
	129 46
	130 42
	130 38
	131 35
	131 31
	131 28
	132 25
	132 20
	132 17
	132 14
	132 11
	132 8
	131 11
	131 12
.PEN_UP
.PEN_DOWN
	118 36
	122 35
	126 34
	130 34
	134 34
	138 34
	139 34
.PEN_UP
.PEN_DOWN
	172 58
	172 61
	172 64
	171 67
	168 68
	165 70
	162 70
	158 69
	155 67
	150 64
	146 59
	142 55
	140 52
	139 48
	137 45
	137 42
	137 39
	137 36
	137 32
	139 24
	142 20
	145 19
	148 16
	153 14
	157 14
	162 15
	166 18
	169 22
.PEN_UP
.PEN_DOWN
	191 78
	190 75
	189 71
	188 68
	186 64
	186 60
	184 56
	183 53
	182 50
	182 46
	180 42
	180 38
	179 32
	178 29
	177 26
	177 22
	176 18
	176 15
	175 12
	179 16
	180 17
.PEN_UP
.PEN_DOWN
	215 65
	212 63
	209 62
	203 58
	198 56
	194 53
	189 51
	186 50
	183 48
	183 45
	185 42
	186 39
	189 34
	191 30
	194 26
	198 22
	202 19
	207 15
	214 10
	217 9
	220 7
	223 5
	224 8
	225 11
.PEN_UP
.PEN_DOWN
	93 63
	92 60
	91 57
	91 54
	89 51
	88 46
	87 43
	86 40
	84 35
	83 31
	81 25
	80 20
	79 16
	78 13
	77 10
	79 12
.PEN_UP
.PEN_DOWN
	94 59
	100 61
	103 63
	107 64
	110 64
	113 63
	115 60
	115 57
	115 54
	115 51
	113 48
	112 45
	111 42
	108 40
	104 38
	101 36
	98 35
	95 35
	91 35
	94 37
	97 38
	100 38
	103 38
	107 37
	110 35
	111 32
	112 29
	112 26
	111 23
	109 19
	107 16
	104 13
	101 11
	98 10
	95 9
	91 8
	87 7
	84 7
	81 7
	78 7
	75 8
	70 10
	69 13
	69 17
	69 20
	71 25
.PEN_UP
.PEN_DOWN
	138 58
	136 55
	133 52
	131 48
	130 44
	129 41
	128 37
	127 33
	127 29
	127 26
	127 22
	127 18
	129 15
	129 12
	131 9
	136 9
	139 10
	143 12
	146 16
	149 20
	153 26
	156 31
	157 36
	159 41
	161 46
	161 49
	161 54
	161 58
	160 61
	157 64
	154 66
	149 66
	144 66
	138 65
	134 63
	131 61
	130 58
	130 55
.PEN_UP
.PEN_DOWN
	172 59
	175 59
	178 59
	182 60
	185 60
	189 60
	192 60
	199 58
	203 58
	206 58
	210 57
	213 57
	216 56
	213 58
.PEN_UP
.PEN_DOWN
	195 60
	193 55
	192 52
	191 47
	189 42
	189 39
	188 36
	187 33
	185 28
	184 25
	183 21
	182 18
	182 14
	181 11
	180 8
	179 5
	180 8
	182 12
.PEN_UP
.PEN_DOWN
	219 70
	219 67
	218 63
	217 60
	216 57
	215 54
	215 50
	214 47
	213 44
	211 38
	211 35
	210 32
