


.DATE		07 ? 93
.STYLE		MIXED
.WRITER_ID	yslee
.COUNTRY	Korea
.HAND		R
.AGE		19
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				YoungSuck
	Last name:				Lee
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	31 49
	34 50
	37 50
	41 52
	44 53
	47 54
	50 54
	53 55
	57 55
	60 55
	63 56
	67 56
	72 57
	75 57
.PEN_UP
.PEN_DOWN
	69 77
	66 74
	63 71
	63 68
	60 65
	58 62
	57 59
	56 56
	54 53
	53 49
	51 45
	51 42
	51 39
	49 35
	49 32
	48 29
	48 26
	47 23
	47 20
	48 17
	51 16
	54 16
	57 16
	60 17
	63 18
	67 19
	70 19
.PEN_UP
.PEN_DOWN
	75 44
	75 41
	75 37
	74 32
	74 28
	74 25
	73 22
	73 18
	74 15
	74 12
	76 9
	79 7
	82 9
	84 12
	86 15
	87 18
	89 21
	91 24
	92 27
	94 31
	96 34
	97 37
	98 41
	98 38
	98 35
	98 32
	97 29
	97 25
	97 21
	96 18
	96 15
	96 12
	97 9
	100 10
	103 12
	105 15
	107 18
	109 21
	111 24
	112 27
	113 30
	115 33
	116 36
	116 40
	116 43
	116 44
.PEN_UP
.PEN_DOWN
	143 36
	140 37
	136 37
	133 35
	130 33
	127 30
	125 27
	122 25
	121 21
	121 17
	121 13
	121 10
	121 6
	123 3
	126 1
	129 0
	132 1
	135 2
	138 4
	142 7
	145 9
	147 12
	148 15
	150 19
	153 21
	154 24
	155 27
	155 30
	155 33
	155 37
	154 40
	151 43
	148 46
	145 46
	141 46
	139 43
	139 41
.PEN_UP
.PEN_DOWN
	46 44
	49 43
	53 41
	56 41
	59 41
	63 39
	66 39
	69 39
	73 39
	76 39
	79 40
	82 41
	85 43
	87 43
.PEN_UP
.PEN_DOWN
	78 72
	76 69
	75 66
	75 63
	73 60
	71 56
	69 53
	69 49
	67 46
	66 42
	66 39
	66 36
	64 33
	64 30
	64 27
	64 24
	64 21
	67 18
	71 17
	74 16
	78 18
	81 19
	84 21
	87 21
.PEN_UP
.PEN_DOWN
	106 75
	106 72
	103 67
	103 64
	102 61
	101 58
	99 54
	98 50
	98 47
	96 43
	95 40
	94 37
	93 34
	92 31
	91 28
	88 24
	87 20
	86 15
	85 12
	85 9
	85 6
	84 9
	86 12
	88 16
	91 19
	93 24
	96 26
	97 29
	100 32
	103 35
	106 39
	109 40
	112 41
	115 41
	116 38
	117 34
	116 31
	115 28
	114 25
	113 21
	112 18
	111 14
	112 12
.PEN_UP
.PEN_DOWN
	138 38
	137 34
	136 31
	134 28
	133 24
	133 21
	132 18
	130 15
	129 12
	129 9
	129 6
	128 3
	130 3
.PEN_UP
.PEN_DOWN
	144 56
	147 56
	147 53
.PEN_UP
.PEN_DOWN
	169 33
	167 36
	164 38
	161 38
	158 38
	156 34
	153 32
	151 29
	151 26
	150 23
	154 22
	157 21
	160 21
	163 20
	166 19
	169 17
	172 14
	172 11
	172 8
	172 5
	170 2
	167 0
	164 0
	161 1
	158 1
	154 2
	151 3
	149 6
	148 9
	147 12
.PEN_UP
.PEN_DOWN
	74 45
	71 46
	67 48
	64 48
	61 48
	58 48
	54 48
	50 47
	48 44
	46 41
	46 38
	46 35
	46 32
	48 29
	53 27
	56 26
	60 26
	63 25
	67 24
	70 22
	74 18
	75 15
	77 12
	78 9
	76 5
	73 2
	70 1
	67 0
	64 0
	61 0
	58 0
	55 1
	52 2
	49 6
	49 9
	49 12
.PEN_UP
.PEN_DOWN
	85 35
	89 34
	93 34
	96 34
	100 34
	105 34
	109 34
	112 33
	116 33
	119 33
	122 32
	125 32
.PEN_UP
.PEN_DOWN
	122 68
	120 65
	118 61
	116 58
	113 53
	112 49
	110 44
	108 40
	107 36
	106 33
	106 30
	104 26
	103 23
	102 20
	102 17
	102 13
	101 10
	101 7
	104 5
	107 5
	111 5
	114 6
	117 7
	120 7
	123 7
.PEN_UP
.PEN_DOWN
	155 35
	154 38
	152 41
	149 42
	146 42
	142 41
	139 39
	135 36
	132 32
	130 29
	128 26
	127 23
	126 20
	125 16
	124 13
	124 10
	125 7
	125 4
	128 3
	132 2
	136 3
	141 4
	144 7
	147 9
	148 12
	150 15
	153 21
	156 25
	158 28
	159 31
	160 34
	160 37
	158 34
	157 31
	156 28
	155 25
	155 21
	155 16
	155 13
	155 10
	156 7
	161 5
.PEN_UP
.PEN_DOWN
	173 42
	172 39
	172 35
	171 29
	170 25
	169 22
	169 18
	168 15
	167 11
	164 7
	164 4
	164 7
	165 10
	168 13
	170 16
	172 19
	175 23
	178 25
	181 28
	184 30
	187 31
	190 33
	193 33
	197 33
	200 33
	200 31
.PEN_UP
.PEN_DOWN
	204 40
	207 39
	210 38
	213 38
	218 38
	221 38
	225 38
	229 37
	233 37
	233 36
.PEN_UP
.PEN_DOWN
	232 64
	230 61
	227 58
	225 55
	223 51
	220 47
	218 42
	215 38
	213 33
	211 29
	210 26
	209 23
	208 19
	208 16
	208 13
	209 9
	212 7
	215 7
	218 7
	221 7
	224 9
	226 9
.PEN_UP
.PEN_DOWN
	72 39
	71 36
	70 33
	69 30
	68 27
	68 24
	66 20
	65 16
	65 13
	65 10
	65 7
	68 6
	72 7
	75 8
	77 11
	80 13
	81 16
	83 19
	85 22
	86 25
	88 28
	91 31
	93 34
	93 37
	94 40
	93 37
	92 34
	91 31
	90 27
	90 24
	89 20
	89 17
	89 14
	91 11
	92 10
.PEN_UP
.PEN_DOWN
	103 41
	103 38
	103 35
	103 32
	102 28
	101 25
	100 21
	98 18
	98 15
	97 12
	97 15
	98 18
	100 23
	102 26
	104 29
	105 32
	107 35
	109 38
	112 41
	115 42
	118 42
	121 41
	124 41
	124 38
	124 35
	124 32
	124 29
	122 26
	121 23
	121 19
	121 16
	119 13
	119 10
	121 8
.PEN_UP
.PEN_DOWN
	130 42
	133 41
	136 41
	139 41
	142 41
	146 41
	150 41
	153 41
	157 40
	160 40
	163 40
.PEN_UP
.PEN_DOWN
	156 71
	155 68
	153 65
	151 62
	151 59
	149 56
	149 53
	146 49
	145 43
	145 39
	143 35
	142 32
	142 29
	140 25
	139 21
	139 18
	139 15
	142 13
	145 13
	148 13
	151 14
	154 16
	157 18
	161 19
.PEN_UP
.PEN_DOWN
	166 36
	166 32
	166 28
	165 25
	165 21
	164 18
	163 14
	162 11
.PEN_UP
.PEN_DOWN
	168 53
	171 52
	175 49
.PEN_UP
.PEN_DOWN
	191 66
	190 63
	190 59
	189 55
	188 51
	187 47
	187 42
	185 38
	185 34
	183 30
	182 27
	180 22
	180 18
	178 14
	178 10
	176 7
	176 4
	175 1
	176 0
.PEN_UP
.PEN_DOWN
	91 40
	91 43
	88 46
	84 49
	81 49
	78 49
	75 49
	72 48
	69 46
	66 44
	66 41
	65 38
	65 35
	68 33
	72 31
	75 30
	78 29
	81 28
	84 27
	87 26
	90 26
	92 23
	94 19
	95 16
	95 13
	95 10
	91 7
	88 6
	85 5
	82 5
	77 5
	74 6
	70 8
	67 12
	65 15
	64 18
	66 18
.PEN_UP
.PEN_DOWN
	132 40
	129 42
	126 44
	122 44
	119 44
	115 44
	112 42
	110 39
	107 38
	105 35
	104 32
	102 29
	102 26
	102 23
	102 20
	102 17
	104 13
	106 9
	109 6
	113 5
	116 5
	122 7
	125 8
	127 11
	131 11
.PEN_UP
.PEN_DOWN
	141 47
	141 44
	141 41
	140 37
	140 34
	140 30
	140 27
	139 23
	138 20
	138 17
	137 14
	137 17
	140 21
	142 25
	144 28
	146 31
	149 34
	151 38
	154 39
	157 42
	160 43
	163 43
	166 43
	168 42
.PEN_UP
.PEN_DOWN
	169 29
	172 28
	176 26
	179 26
	182 26
	185 26
	188 28
	191 29
	193 32
	194 35
	194 38
	192 41
	187 42
	184 42
	181 42
	178 42
	175 42
	172 40
	170 37
	168 34
	167 31
	165 27
	165 24
	165 21
	166 18
	167 14
	168 11
	171 9
	175 7
	178 8
	181 8
	184 9
	187 9
.PEN_UP
.PEN_DOWN
	196 27
	200 26
	203 26
	207 26
	210 26
	213 26
	216 28
	219 30
	221 33
	222 36
	221 39
	219 43
	216 43
	213 44
	209 44
	204 44
	202 41
	199 38
	197 34
	196 31
	195 28
	194 24
	195 21
	196 16
	198 13
	201 11
	204 9
	207 9
	211 10
	214 11
	218 13
.PEN_UP
.PEN_DOWN
	227 38
	228 35
	228 31
	228 28
	228 25
	227 22
	227 19
	226 16
	226 13
	225 10
	224 6
	222 3
	220 0
	220 3
	221 7
	222 10
	224 13
	225 17
	228 21
	232 24
	234 27
	236 30
	239 31
	242 34
	245 36
	248 37
	251 38
	254 38
	256 35
	255 31
	255 27
	253 24
	252 21
	251 17
	250 13
	250 10
	250 7
	251 4
	252 4
.PEN_UP
.PEN_DOWN
	83 34
	83 37
	80 40
	76 43
	72 42
	67 41
	63 40
	61 37
	59 34
	58 31
	58 28
	59 25
	62 23
	64 20
	68 20
	72 20
	75 19
	78 19
	81 16
	84 13
	84 10
	83 7
	80 5
	77 3
	74 2
	70 1
	67 3
	64 5
	61 6
	58 8
	57 11
	56 14
	56 17
.PEN_UP
.PEN_DOWN
	111 65
	109 62
	108 59
	108 56
	107 53
	107 50
	105 47
	105 43
	103 39
	102 34
	101 30
	100 27
	98 21
	98 18
	97 15
	97 12
	95 9
	95 6
	95 3
	97 3
.PEN_UP
.PEN_DOWN
	128 42
	124 41
	122 38
	119 33
	117 30
	114 26
	114 23
	113 20
	112 16
	112 13
	112 10
	112 7
	112 3
	116 1
	120 0
	123 1
	126 2
	130 3
	133 7
	136 8
	137 11
	140 14
	142 17
	143 20
	145 24
	145 27
	145 30
	145 34
	143 38
	141 42
	138 43
	135 45
	132 46
	131 46
.PEN_UP
.PEN_DOWN
	153 33
	152 30
	152 27
	151 24
	149 20
	149 16
	149 13
	149 10
	149 7
	149 4
	152 4
	156 5
	159 9
	162 11
	165 16
	167 19
	169 22
	171 26
	174 28
	174 31
	176 34
	176 37
	176 34
	175 31
	174 28
	174 25
