.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Notepad NCR 3125
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 400
.Y_POINTS_PER_INCH 400
.POINTS_PER_SECOND 100

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID htca1293
.WRITER_ID ht

.PEN_DOWN
1310 2974 3150663
1314 2970 3150677
1314 2970 3150691
1314 2970 3150705
1310 2970 3150719
1310 2978 3150733
1306 2986 3150747
1306 2994 3150761
1302 3006 3150775
1298 3014 3150789
1290 3025 3150803
1282 3033 3150817
1270 3041 3150831
1258 3049 3150845
1246 3053 3150859
1235 3053 3150873
1223 3045 3150887
1211 3033 3150901
1199 3018 3150915
1187 2994 3150929
1175 2966 3150943
1167 2939 3150957
1159 2907 3150971
1155 2875 3150985
1155 2844 3150999
1159 2812 3151013
1163 2781 3151027
1171 2761 3151041
1183 2741 3151055
1191 2729 3151069
1203 2725 3151083
1219 2729 3151097
1231 2737 3151111
1246 2753 3151125
1262 2777 3151139
1278 2808 3151153
1290 2848 3151167
1306 2887 3151181
1318 2935 3151195
1330 2982 3151209
1341 3025 3151223
1349 3077 3151237
1361 3120 3151251
1365 3168 3151265
1373 3203 3151279
1377 3235 3151293
1381 3259 3151307
1381 3270 3151321
1381 3278 3151335
1381 3274 3151349
1377 3263 3151363
1373 3239 3151377
1369 3211 3151391
1365 3176 3151405
1361 3136 3151419
1357 3093 3151433
1353 3049 3151447
1349 3002 3151461
1345 2962 3151475
1345 2919 3151489
1341 2883 3151503
1345 2852 3151517
1349 2824 3151531
1353 2808 3151545
1361 2796 3151559
1373 2792 3151573
1385 2792 3151587
1397 2800 3151601
1409 2816 3151615
1425 2836 3151629
1440 2856 3151643
1452 2883 3151657
1464 2911 3151671
1472 2939 3151685
1480 2962 3151699
1484 2986 3151713
1488 3006 3151727
1488 3022 3151741
1488 3033 3151755
1484 3033 3151769
1480 3029 3151783
1476 3018 3151797
1472 3002 3151811
1468 2978 3151825
1464 2950 3151839
1460 2923 3151853
1460 2895 3151867
1464 2863 3151881
1468 2832 3151895
1472 2804 3151909
1480 2781 3151923
1488 2765 3151937
1496 2757 3151951
1508 2753 3151965
1524 2757 3151979
1535 2769 3151993
1551 2788 3152007
1563 2808 3152021
1575 2836 3152035
1583 2860 3152049
1591 2887 3152063
1599 2911 3152077
1603 2935 3152091
1607 2950 3152105
1607 2958 3152119
1607 2962 3152133
1607 2958 3152147
1603 2950 3152161
1595 2935 3152175
1595 2911 3152189
1591 2887 3152203
1591 2860 3152217
1591 2832 3152231
1595 2808 3152245
1603 2784 3152259
1611 2765 3152273
1623 2753 3152287
1630 2749 3152301
1642 2745 3152315
1654 2749 3152329
.PEN_UP
