.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Notepad NCR 3125
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 400
.Y_POINTS_PER_INCH 400
.POINTS_PER_SECOND 100

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID htca1824
.WRITER_ID ht

.PEN_DOWN
1330 3132 2789641
1330 3132 2789655
1330 3136 2789669
1322 3132 2789683
1314 3132 2789697
1306 3128 2789711
1294 3120 2789725
1278 3112 2789739
1258 3101 2789753
1239 3081 2789767
1219 3061 2789781
1199 3033 2789795
1179 3006 2789809
1159 2978 2789823
1148 2946 2789837
1136 2915 2789851
1128 2883 2789865
1124 2856 2789879
1124 2828 2789893
1128 2804 2789907
1140 2784 2789921
1151 2773 2789935
1163 2761 2789949
1183 2757 2789963
1199 2753 2789977
1219 2753 2789991
1235 2757 2790005
1246 2761 2790019
1258 2769 2790033
1270 2777 2790047
1282 2781 2790061
1286 2784 2790075
1290 2788 2790089
1290 2792 2790103
1286 2792 2790117
1274 2788 2790131
1262 2781 2790145
1246 2769 2790159
1231 2757 2790173
1211 2741 2790187
1191 2721 2790201
1175 2701 2790215
1159 2678 2790229
1148 2654 2790243
1136 2630 2790257
1128 2607 2790271
1124 2583 2790285
1124 2563 2790299
1132 2547 2790313
1144 2536 2790327
1159 2528 2790341
1183 2524 2790355
1207 2524 2790369
1235 2532 2790383
1258 2547 2790397
1290 2563 2790411
1318 2587 2790425
1341 2611 2790439
1365 2634 2790453
1385 2662 2790467
1401 2686 2790481
1417 2709 2790495
1421 2729 2790509
1425 2749 2790523
1425 2765 2790537
1421 2777 2790551
1421 2781 2790565
1413 2788 2790579
1409 2788 2790593
1405 2784 2790607
1401 2781 2790621
1405 2773 2790635
1409 2765 2790649
1417 2753 2790663
1425 2741 2790677
1436 2729 2790691
1448 2709 2790705
1460 2690 2790719
1468 2670 2790733
1480 2646 2790747
1484 2622 2790761
1488 2599 2790775
1484 2575 2790789
1480 2551 2790803
1472 2532 2790817
1456 2516 2790831
1440 2508 2790845
1429 2500 2790859
1413 2496 2790873
1401 2492 2790887
1389 2496 2790901
1381 2504 2790915
1377 2516 2790929
1377 2528 2790943
1381 2543 2790957
.PEN_UP
.PEN_DOWN
1528 2599 2791377
1528 2595 2791391
1528 2599 2791405
1531 2603 2791419
1539 2611 2791433
1543 2626 2791447
1551 2642 2791461
1559 2658 2791475
1567 2678 2791489
1575 2701 2791503
1583 2725 2791517
1591 2749 2791531
1599 2769 2791545
1603 2792 2791559
1603 2812 2791573
1607 2828 2791587
1607 2840 2791601
1607 2852 2791615
1603 2856 2791629
1603 2856 2791643
1599 2856 2791657
1599 2852 2791671
1599 2844 2791685
1603 2836 2791699
1607 2824 2791713
1615 2812 2791727
1623 2792 2791741
1634 2777 2791755
1646 2753 2791769
1658 2733 2791783
1670 2709 2791797
1682 2678 2791811
1690 2654 2791825
1694 2622 2791839
1698 2595 2791853
1698 2571 2791867
1694 2547 2791881
1682 2528 2791895
1674 2520 2791909
1662 2508 2791923
1646 2504 2791937
1634 2500 2791951
1623 2504 2791965
1611 2512 2791979
1603 2516 2791993
1595 2528 2792007
1591 2540 2792021
1591 2555 2792035
.PEN_UP
.PEN_DOWN
1741 2611 2792301
1741 2607 2792315
1741 2607 2792329
1741 2603 2792343
1745 2603 2792357
1753 2603 2792371
1757 2607 2792385
1761 2611 2792399
1773 2619 2792413
1781 2626 2792427
1789 2638 2792441
1797 2650 2792455
1809 2670 2792469
1813 2686 2792483
1820 2701 2792497
1820 2721 2792511
1820 2737 2792525
1817 2753 2792539
1817 2765 2792553
1809 2769 2792567
1801 2773 2792581
1793 2765 2792595
1785 2753 2792609
1777 2741 2792623
1769 2721 2792637
1765 2701 2792651
1761 2678 2792665
1761 2650 2792679
1761 2622 2792693
1765 2599 2792707
1769 2575 2792721
1777 2559 2792735
1789 2543 2792749
1797 2536 2792763
1805 2536 2792777
1817 2536 2792791
1824 2543 2792805
1836 2555 2792819
1848 2571 2792833
1860 2591 2792847
1872 2611 2792861
1884 2634 2792875
1896 2654 2792889
1904 2674 2792903
1912 2694 2792917
1919 2709 2792931
1927 2721 2792945
1939 2733 2792959
1943 2733 2792973
1951 2729 2792987
1951 2721 2793001
1955 2705 2793015
1955 2690 2793029
1955 2670 2793043
1955 2650 2793057
1955 2630 2793071
1955 2607 2793085
1955 2587 2793099
1955 2571 2793113
1955 2555 2793127
1955 2547 2793141
1955 2543 2793155
1959 2547 2793169
1963 2555 2793183
1971 2567 2793197
1979 2587 2793211
1991 2607 2793225
2003 2630 2793239
2010 2654 2793253
2022 2674 2793267
2034 2698 2793281
2042 2713 2793295
2054 2733 2793309
2066 2741 2793323
2074 2745 2793337
2082 2745 2793351
2086 2737 2793365
2086 2721 2793379
2086 2705 2793393
2086 2686 2793407
2086 2662 2793421
2082 2634 2793435
2082 2611 2793449
2078 2583 2793463
2078 2555 2793477
2078 2536 2793491
2078 2516 2793505
2086 2500 2793519
2094 2488 2793533
2102 2484 2793547
2113 2480 2793561
2129 2484 2793575
2141 2488 2793589
.PEN_UP
