.WRITER_ID	rkp
.STYLE		MIXED

.DATE		11 10 92
.HAND		R
.SKILL		GOOD
.COUNTRY	POLAND
.SEX		M
.WRITER_INFO
         Place of Residence:	UK
.PEN_DOWN
235 2717
235 2725
226 2725
222 2725
214 2725
210 2725
201 2717
193 2717
189 2717
189 2713
180 2713
176 2704
168 2700
163 2692
155 2688
155 2679
147 2679
147 2671
147 2667
142 2658
142 2654
142 2646
142 2641
142 2633
147 2633
155 2625
163 2633
168 2633
176 2633
180 2633
180 2641
189 2641
189 2646
193 2646
201 2654
201 2658
210 2658
210 2667
214 2667
222 2671
222 2679
226 2688
226 2692
235 2700
235 2704
239 2713
235 2713
226 2713
226 2704
226 2700
222 2700
222 2692
222 2688
214 2679
214 2671
214 2667
214 2658
214 2654
222 2646
222 2641
226 2641
235 2641
239 2641
247 2641
256 2646
260 2646
260 2654
268 2658
273 2667
281 2671
285 2679
294 2688
294 2692
298 2700
306 2713
315 2717
319 2725
319 2734
327 2746
327 2751
331 2759
331 2763
340 2772
340 2776
340 2784
344 2793
344 2797
344 2805
340 2805
340 2797
331 2793
331 2784
327 2776
319 2772
319 2763
319 2759
315 2746
315 2738
306 2734
306 2725
306 2713
298 2704
298 2700
298 2692
294 2688
294 2679
294 2671
294 2658
294 2654
294 2646
298 2641
298 2633
306 2633
315 2633
319 2633
327 2641
331 2646
340 2654
340 2658
344 2658
344 2667
344 2671
344 2679
344 2688
340 2692
340 2700
331 2700
327 2700
319 2700
319 2692
327 2692
331 2692
340 2692
344 2692
352 2692
361 2692
365 2692
373 2692
378 2692
386 2692
390 2692
399 2700
407 2700
411 2700
420 2700
424 2700
432 2700
436 2704
445 2704
445 2700
436 2700
436 2692
432 2692
424 2688
424 2679
420 2679
420 2671
411 2671
411 2667
407 2667
407 2658
399 2654
399 2646
399 2641
399 2633
407 2633
411 2633
420 2633
424 2641
432 2641
436 2646
445 2654
445 2658
449 2667
449 2671
457 2671
457 2679
457 2688
457 2692
457 2700
449 2700
445 2700
445 2692
445 2688
436 2679
436 2671
436 2667
436 2658
436 2654
436 2646
436 2641
436 2633
445 2633
445 2625
449 2625
457 2625
457 2633
466 2633
470 2641
478 2641
478 2646
483 2646
491 2654
495 2658
504 2667
512 2671
512 2679
516 2688
525 2692
529 2700
529 2692
529 2688
525 2679
525 2671
525 2667
516 2658
516 2654
516 2646
516 2641
512 2641
516 2641
525 2641
529 2646
537 2646
541 2654
550 2658
558 2658
562 2667
571 2667
571 2671
575 2671
575 2679
583 2679
588 2688
596 2688
596 2679
600 2679
600 2671
609 2671
609 2667
609 2658
609 2654
609 2646
600 2646
600 2641
600 2633
596 2625
.PEN_UP
.PEN_DOWN
722 2692
714 2700
709 2700
701 2700
701 2692
693 2692
688 2688
680 2688
680 2679
676 2679
667 2671
663 2667
655 2658
646 2654
646 2646
646 2641
655 2641
663 2641
667 2641
676 2646
680 2646
688 2654
688 2658
693 2658
701 2667
709 2671
709 2679
714 2688
722 2700
722 2704
726 2713
735 2717
735 2725
739 2734
739 2738
747 2746
747 2751
751 2759
751 2763
751 2772
751 2776
747 2772
739 2763
735 2759
735 2751
735 2746
726 2738
726 2734
722 2725
722 2713
714 2704
714 2692
714 2688
709 2679
709 2671
709 2667
709 2658
709 2654
709 2646
709 2641
714 2641
714 2633
722 2633
726 2633
735 2633
739 2633
747 2641
751 2641
760 2646
768 2646
772 2646
772 2654
781 2654
785 2658
793 2667
798 2667
806 2671
814 2671
814 2679
819 2679
819 2688
827 2688
831 2688
831 2692
831 2688
827 2688
819 2688
819 2679
814 2679
806 2671
806 2667
798 2667
798 2658
793 2658
793 2654
785 2646
785 2641
785 2633
793 2633
793 2625
798 2625
