
.WRITER_ID Dave_Washburn
.STYLE MIXED

.PEN_DOWN
673 15637
686 15649
695 15653
700 15650
697 15636
677 15599
648 15557
614 15509
585 15464
565 15433
560 15423
.PEN_UP
.PEN_DOWN
700 15530
698 15527
697 15526
696 15526
696 15523
701 15519
712 15523
729 15526
751 15527
769 15524
780 15517
782 15500
775 15481
765 15458
751 15437
740 15421
738 15417
737 15417
743 15427
749 15444
747 15457
740 15468
720 15475
694 15479
669 15475
653 15464
647 15451
645 15440
652 15431
672 15424
698 15421
725 15423
746 15428
758 15434
.PEN_UP
.PEN_DOWN
777 15410
776 15406
775 15406
777 15413
784 15433
791 15455
802 15475
813 15492
829 15503
848 15509
869 15509
883 15502
893 15488
898 15468
890 15441
884 15421
882 15407
.PEN_UP
.PEN_DOWN
1052 15517
1068 15524
1079 15533
1090 15537
1092 15541
1084 15543
1055 15536
1022 15526
997 15513
983 15500
977 15492
976 15486
981 15485
997 15486
1013 15492
1021 15492
1025 15492
1028 15489
1028 15481
1028 15469
1023 15457
1021 15440
1019 15417
1019 15386
1019 15348
1012 15307
997 15272
978 15246
957 15235
936 15235
915 15245
900 15259
891 15274
888 15290
.PEN_UP
.PEN_DOWN
1135 15534
1137 15534
1137 15534
1130 15526
1114 15506
1100 15485
1090 15464
1088 15451
1099 15440
1125 15444
1152 15455
1173 15475
1190 15499
1203 15523
1207 15541
1209 15548
1209 15548
1209 15544
.PEN_UP
.PEN_DOWN
1259 15557
1255 15557
1255 15557
1256 15557
1265 15558
1283 15560
1305 15563
1327 15565
1340 15561
1344 15551
1342 15532
1329 15510
1320 15493
1311 15475
1309 15462
1309 15456
1310 15454
1313 15455
1316 15461
1316 15471
1309 15482
1292 15493
1267 15502
1246 15502
1234 15499
1226 15492
1225 15478
1227 15464
1241 15451
1262 15444
1287 15444
1311 15448
1327 15458
.PEN_UP
.PEN_DOWN
1438 15540
1444 15544
1448 15550
1447 15558
1437 15561
1413 15560
1391 15551
1378 15541
1371 15526
1373 15512
1385 15502
1406 15502
1424 15510
1431 15519
1435 15523
1431 15527
1429 15533
1422 15530
1411 15518
1401 15495
1396 15468
1400 15431
1409 15387
1418 15344
1420 15304
1410 15272
1395 15252
1375 15242
1353 15252
1331 15276
1314 15304
.PEN_UP
.PEN_DOWN
1484 15522
1488 15517
1498 15508
1513 15508
1535 15513
1553 15524
1561 15537
1561 15548
1546 15554
1513 15554
1484 15544
1460 15527
1444 15502
1441 15479
1453 15462
1482 15451
1515 15448
1548 15453
1575 15464
1591 15475
.PEN_UP
.PEN_DOWN
678 15112
687 15115
689 15115
685 15101
669 15077
645 15036
618 14991
596 14943
587 14909
587 14896
.PEN_UP
.PEN_DOWN
704 15012
701 15002
703 14999
709 14998
724 15000
747 15012
775 15023
793 15033
802 15040
802 15043
788 15040
760 15031
727 15019
700 15005
682 14991
675 14981
676 14970
689 14961
712 14954
730 14951
745 14948
756 14950
765 14951
.PEN_UP
.PEN_DOWN
831 15049
823 15047
824 15046
839 15048
860 15054
884 15056
906 15057
920 15053
926 15046
926 15033
919 15016
911 14999
904 14982
898 14964
895 14951
895 14946
895 14944
897 14950
900 14961
899 14971
888 14984
868 14998
844 15005
823 15006
813 15001
807 14995
808 14985
819 14971
842 14957
867 14944
890 14940
903 14937
908 14937
.PEN_UP
.PEN_DOWN
963 15049
966 15049
968 15047
973 15047
977 15047
980 15046
984 15042
986 15035
986 15019
983 14995
979 14968
975 14940
977 14923
979 14913
980 14912
983 14916
991 14930
1001 14957
1014 14985
1030 15015
1048 15039
1065 15056
1077 15067
1085 15067
1088 15068
1090 15067
1085 15063
.PEN_UP
.PEN_DOWN
1115 15054
1121 15050
1122 15050
1126 15047
